NO,NAMA SEKOLAH,TINGKATAN,STATUS (NEGERI/SWASTA/YAYASAN),ALAMAT,RT,RW,KELURAHAN
71,PAUD DADALI,PAUD/KOBER,SWASTA,JL. MALEBER UTARA,02,03,GARUDA
72,PAUD KARTINI,PAUD/KOBER,SWASTA,JL. MALEBER UTARA,02,04,GARUDA
73,PAUD AR RIZQI,PAUD/KOBER/TK/ RA,SWASTA,JL. MALEBER UTARA NO. 169,05,06,GARUDA
74,TK DWI SAKTI,TK/RA,SWASTA,JL. LMU NURTANIO NO.58,01,02,GARUDA
75,TK YWKA,TK/RA,YAYASAN,JL. RAJAWALI BARAT 6,02,02,GARUDA
76,TKA AL GHIFARI,TK/RA,SWASTA,JL. RAJAWALI I NO.3,03,02,GARUDA
77,TKA JAMIATUL HASANAH,TK/RA,SWASTA,JL. WALIK UJUNG NO.84,02,03,GARUDA
78,TKQ BAITUL MUTAQIN,TK/RA,SWASTA,JL. TUNDUNG SARI,05,03,GARUDA
79,TKQ AL MAARIF,TK/RA,SWASTA,JL. MALEBER UTARA,02,04,GARUDA
80,TK MELATI,TK/RA,YAYASAN,JL. MALEBER UTARA NO. 27,03,04,GARUDA
81,SD DWISAKTI,SD/MI,SWASTA,JL. LMU NURTANIO NO.58,01,02,GARUDA
82,SD YWKA,SD/MI,YAYASAN,JL. RAJAWALI I NO.5,03,02,GARUDA
83,SD GARUDA 1, 2,SD/MI,NEGERI,JL. DADALI NO. 5,06,02,GARUDA
84,SD DADALI ,SD/MI,NEGERI,JL. DADALI NO. 5,06,02,GARUDA
85,SD MUTIARA,SD/MI,SWASTA,JL. MALEBER UTARA ,03,04,GARUDA
86,SD YP MALEBER UTARA,SD/MI,SWASTA,JL. MALEBER UTARA NO.5,04,04,GARUDA
87,SMP YWKA,SMP/MTs,YAYASAN,JL.ELANG II NO.2,02,02,GARUDA
88,SMP MUTIARA,SMP/MTs,SWASTA,JL.MALEBER UTARA,03,04,GARUDA
89,SMP PAJAJARAN 1,SMP/MTs,SWASTA,JL. MALEBER UTARA NO.5,04,04,GARUDA
90,SMA YWKA,SMA/SMK/MA,YAYASAN,JL.ELANG II NO.3,02,02,GARUDA
91,SMA MUTIARA 1,SMA/SMK/MA,SWASTA,JL.MALEBER UTARA NO.37,03,04,GARUDA
92,SMK MUTIARA 1,SMA/SMK/MA,SWASTA,JL.MALEBER UTARA NO.37,03,04,GARUDA
93,SMA PAJAJARAN 1,SMA/SMK/MA,YAYASAN,JL. MALEBER UTARA NO.5,04,04,GARUDA
94,SMK PAJAJARAN,SMA/SMK/MA,YAYASAN,JL. MALEBER UTARA NO.5,04,04,GARUDA
95,LP3I,PT/UNIV,SWASTA,JL. LMU NURTANIO NO.72A,03,05,GARUDA
96,TKA JIHADUL BANAAT,TK/RA,,JL. BELAKANG PASAR,,,KEBON JERUK
97,TKA PESANTREN DAR TAUBAH,TK/RA,,JL. HIDAYAT,,,KEBON JERUK
98,TK PASUNDAN ISTRI,TK/RA,,JL. H. ILYAS NO. 30,,,KEBON JERUK
99,TKK BPK PENABUR,TK/RA,,JL. JEND. SUDIRMAN NO. 246,,,KEBON JERUK
100,TKK BALAI KESELAMATAN,TK/RA,,JL. GARDUJATI NO. 89,,,KEBON JERUK
101,SDN DURMAN,SD/MI,,JL. DURMAN NO. 30,,,KEBON JERUK
102,SDK BPK PENABUR,SD/MI,,JL. JEND. SUDIRMAN NO. 246,,,KEBON JERUK
103,SDK TRIMULIA,SD/MI,,JL. KEBON JATI NO. 145 - 147,,,KEBON JERUK
104,SDK BALAI KESELAMATAN,SD/MI,,JL. GARDUJATI NO. 89,,,KEBON JERUK
105,SMPN 6 ,SMP/MTs,,JL. H. YAKUB NO. 36,,,KEBON JERUK
106,SMP PASUNDAN 4,SMP/MTs,,JL. KEBON JATI,,,KEBON JERUK
107,SMPK BALAI KESELAMATAN,SMP/MTs,,JL. GARDUJATI NO. 89,,,KEBON JERUK
108,SMUN 4 ,SMA/SMK/MA,,JL. GARDUJATI NO. 20,,,KEBON JERUK
109,SMU PASUNDAN 3,SMA/SMK/MA,,JL. KEBON JATI NO. 31,,,KEBON JERUK
110,SMU PASUNDAN 7,SMA/SMK/MA,,JL. KEBON JATI NO. 31,,,KEBON JERUK
111,TK TERATAI I,TK/RA,,JL. MALEBER BARAT,06,03,MALEBER
112,TK TERATAI II,TK/RA,,GG. SRIGUNTING II ,04,07,MALEBER
113,TK AL ALAMIN,TK/RA,,JL. SRIGUNTING RAYA,01,07,MALEBER
114,SD MALEBER SELATAN,SD/MI,,GG. IBU KAREES,02,02,MALEBER
115,SD MALEBER BARAT,SD/MI,,JL. MALEBER BARAT,05,06,MALEBER
116,SMK PASUNDAN,SMA/SMK/MA,,JL. PELITA KARYA,04,05,MALEBER
117,SDN CIROYOM,SD/MI,,JL.TARUNA ,03,04,CIROYOM
118,SD RAJAWALI,SD/MI,,JL.RAJAWALI TIMUR ,01,07,CIROYOM
119,SD LPPN,SD/MI,,JL.RAJAWALI TIMUR ,01,07,CIROYOM
120,SD TRINITAS,SD/MI,,JL.KELENTENG ,06,02,CIROYOM
121,SD WARINGIN,SD/MI,,JL.RAJAWALI TIMUR ,05,02,CIROYOM
122,MI BAITURRAHIM,SD/MI,,JL.CIROYOM III,02,08,CIROYOM
123,SD BUDHA BUDHITSU,SD/MI,,JL.JEND.SUDIRMAN ,01,06,CIROYOM
124,SMPN 23,SMP/MTs, ,JL.ARJUNA ,01,01,CIROYOM
125,SMPN 41,SMP/MTs,,JL.ARJUNA ,02,01,CIROYOM
126,SMPN 32,SMP/MTs,,JL.ARJUNA ,02,01,CIROYOM
127,SMP RAJAWALI,SMP/MTs,,JL.RAJAWALI TIMUR ,01,07,CIROYOM
128,SMP LPPN,SMP/MTs,,JL.RAJAWALI TIMUR ,06,02,CIROYOM
129,SMP TRINITAS,SMP/MTs,,JL.KELENTENG ,06,02,CIROYOM
130,SMP WARINGIN,SMP/MTs,,JL.RAJAWALI TIMUR ,05,02,CIROYOM
131,SMA LPPN,SMA/SMK/MA,,JL.RAJAWALI TIMUR RT.06 RW.02,06,02,CIROYOM
132,SMA RAJAWALI,SMA/SMK/MA,,JL.RAJAWALI TIMUR ,01,07,CIROYOM
133,SMA TRINITAS,SMA/SMK/MA,,JL.KELENTENG ,06,02,CIROYOM
