indikator,kecamatan,kelurahan_desa,tidak_punyaijazah,sd_sederajat,smp_sederajat,sma_sederajat,d1__d3,d4_s1,s2__s3,total_krt
"Ijazah Tertinggi",CICENDO,PAMOYANAN,2,94,55,29,0,0,0,182
"Ijazah Tertinggi",CICENDO,PAJAJARAN,113,629,211,211,3,0,0,1175
"Ijazah Tertinggi",CICENDO,"HUSEN SASTRANEGARA",24,447,194,184,6,0,0,859
"Ijazah Tertinggi",CICENDO,SUKARAJA,124,387,168,127,1,2,0,815
"Ijazah Tertinggi","BANDUNG WETAN","TAMAN SARI",61,313,171,223,5,2,0,786
"Ijazah Tertinggi","BANDUNG WETAN",CITARUM,1,14,4,6,0,0,0,25
"Ijazah Tertinggi","BANDUNG WETAN",CIHAPIT,3,17,6,7,0,0,0,34
"Ijazah Tertinggi","CIBEUNYING KIDUL",SUKAMAJU,24,162,99,131,2,2,0,421
"Ijazah Tertinggi","CIBEUNYING KIDUL",CICADAS,11,280,146,142,4,1,0,587
"Ijazah Tertinggi","CIBEUNYING KIDUL",CIKUTRA,201,364,198,244,3,5,0,1025
"Ijazah Tertinggi","CIBEUNYING KIDUL",PADASUKA,60,338,235,276,0,5,0,918
"Ijazah Tertinggi","CIBEUNYING KIDUL",PASIRLAYUNG,215,383,217,232,3,0,1,1066
"Ijazah Tertinggi","CIBEUNYING KIDUL",SUKAPADA,173,551,259,233,6,3,0,1244
"Ijazah Tertinggi","CIBEUNYING KALER",CIHAURGEULIS,35,156,88,191,3,2,0,482
"Ijazah Tertinggi","CIBEUNYING KALER",SUKALUYU,55,190,87,152,7,1,0,497
"Ijazah Tertinggi","CIBEUNYING KALER",NEGLASARI,9,206,83,81,2,0,0,386
"Ijazah Tertinggi","CIBEUNYING KALER",CIGADUNG,99,532,205,203,1,1,0,1057
"Ijazah Tertinggi",COBLONG,CIPAGANTI,66,323,125,175,1,0,0,694
"Ijazah Tertinggi",COBLONG,"LEBAK SILIWANGI",67,85,54,59,1,0,0,269
"Ijazah Tertinggi",COBLONG,"LEBAK GEDE",54,149,63,103,3,3,0,381
"Ijazah Tertinggi",COBLONG,"SADANG SERANG",154,392,266,300,5,3,0,1139
"Ijazah Tertinggi",COBLONG,SEKELOA,198,365,200,216,3,2,0,1006
"Ijazah Tertinggi",COBLONG,DAGO,260,611,217,209,2,4,0,1317
"Ijazah Tertinggi",SUKAJADI,SUKAWARNA,124,160,56,48,2,0,0,392
"Ijazah Tertinggi",SUKAJADI,SUKAGALIH,97,557,165,163,2,0,0,1012
"Ijazah Tertinggi",SUKAJADI,SUKABUNGAH,69,659,254,326,9,1,0,1322
"Ijazah Tertinggi",SUKAJADI,CIPEDES,234,541,289,244,6,1,0,1337
"Ijazah Tertinggi",SUKAJADI,PASTEUR,38,306,167,237,5,2,0,759
"Ijazah Tertinggi",SUKASARI,SARIJADI,82,227,74,141,3,1,0,534
"Ijazah Tertinggi",SUKASARI,SUKARASA,120,168,64,64,2,1,0,426
"Ijazah Tertinggi",SUKASARI,GEGERKALONG,37,345,106,109,0,1,0,600
"Ijazah Tertinggi",SUKASARI,ISOLA,24,226,62,66,1,0,0,379
"Ijazah Tertinggi",CIDADAP,HEGARMANAH,9,344,110,100,2,0,0,569
"Ijazah Tertinggi",CIDADAP,CIUMBULEUIT,269,299,76,77,2,1,0,765
"Ijazah Tertinggi",CIDADAP,LEDENG,20,168,27,47,1,1,0,268
