No.,JENIS USAHA,ALAMAT,TAHUN BERDIRI ,JML KARYAWAN,AKTIF / TDK ,KET
264,Makanan Ringan ,Jl.Alkateri No.272/13 d RW.01,1992,1 orang,Aktif,Kel.Braga
265,Nasi kuning / Lotek ,Jl.Alkateri No.276/13 d RW.01,1985,1 orang,Aktif,Kel.Braga
266,Warung sembako,Jl.Alkateri No.283/13 d RW.03,2000,1 orang,Aktif,Kel.Braga
267,Warung Nasi sate,Jl.Pacinan lama No.13 RW.02,1970,2 orang,Aktif,Kel.Braga
268,Mie baso / sirop,Jl.Pacinan lama No.18 blk RW.02,1970,1 orang,Aktif,Kel.Braga
269,Warung nasi,Jl.Pacinan lama RW.02,1970,2 orang,Aktif,Kel.Braga
270,Kupat tahu petis,Jl.Pacinan lama RW.02,1999,2 orang,Aktif,Kel.Braga
271,Warung nasi,Jl.Pacinan lama RW.02,1970,2 orang,Aktif,Kel.Braga
272,Warung nasi,Jl.Pacinan lama RW.02,1980,2 orang,Aktif,Kel.Braga
273,warung serba ada,Gg.Cikapundung no.47 RW.03,1990,1 orang,Aktif,Kel.Braga
274,Warung nasi,Gg.Cikapundung no.47 RW.03,2000,2 orang,Aktif,Kel.Braga
275,warung serba ada,Gg.Cikapundung no.52 RW.03,1995,1 orang,Aktif,Kel.Braga
276,warung serba ada,Gg.Cikapundung no.47 RW.03,1990,1 orang,Aktif,Kel.Braga
277,Warung nasi/Roko,Jl.ABC  no.28/13.RW03,1985,2 orang,Aktif,Kel.Braga
278,Warung sembako,Jl.ABC  no.28/13.RW03,1980,1 orang,Aktif,Kel.Braga
279,Warung keringan ,Jl.ABC  no.56/1 3 E RW03,1980,1 orang,Aktif,Kel.Braga
280,Warung keringan ,Gg.Cikapundung no.37 RW.03,2000,1 orang,Aktif,Kel.Braga
281,Warung sembako,Jl.ABC  no.77/11A.RW04,2000,1 orang,Aktif,Kel.Braga
282,Warung sembako,Gg.Apandi  RW no.4,2001,1 orang,Aktif,Kel.Braga
283,Warung sembako,Gg.Apandi  RW no.4,1988,1 orang,Aktif,Kel.Braga
284,Warung sembako,Gg.Apandi  no.75/11ARW no.4,1991,1 orang,Aktif,Kel.Braga
285,Warung sembako,Gg.Apandi no.103/1 1A RW no.4,1991,1 orang,Aktif,Kel.Braga
286,Warung nasi rames,Gg.Apandi  no.77 H1A RW no.4,2000,2 orang,Aktif,Kel.Braga
287,Warung makanan ,Gg.Apandi  no.58/11A RW no.4,1999,1 orang,Aktif,Kel.Braga
288,Warung keringan ,Gg.Apandi  no.17/11A RW no.4,1995,1 orang,Aktif,Kel.Braga
289,Warung nasi,Jl.Lembong/Gg.enur no.19 RW.05,1996,1 orang,Aktif,Kel.Braga
290,Warung nasi,Gg.enur no.17 RW.05,1982,1 orang,Aktif,Kel.Braga
291,Warung nasi,Gg.enur no.49/15  RW.05,1992,1 orang,Aktif,Kel.Braga
292,Warung nasi,Gg.enur no.61 RW.05,1985,2 orang,Aktif,Kel.Braga
293,Warung keringan ,Jl.Morse No.21 RW 06,1999,1 orang,Aktif,Kel.Braga
294,Mie baso / sirop,Jl.Kejaksaan No.60/11B RW.6,2003,1 orang,Aktif,Kel.Braga
295,Warung nasi,Jl.Kejaksaan No.51/11B RW.6,1985,1 orang,Aktif,Kel.Braga
296,Kios service Elektronik,Jl.Manxoni no.12 RW. 06,1976,2 orang,Aktif,Kel.Braga
297,Warung keringan ,Jl.Manxoni no.2 RW. 06,1990,1 orang,Aktif,Kel.Braga
298,Warung nasi,Gg.Cikapundung no.35/13C RW.07,1987,2 orang,Aktif,Kel.Braga
299,Warung keringan ,Gg.Cikapundung no.144/13 C RW.07,1993,2 orang,Aktif,Kel.Braga
300,warung nasi,Gg.Cikapundung no.35/13C RW.07,1998,2 orang,Aktif,Kel.Braga
301,Warung nasi/jajanan,Gg.Bancey no.09 A RW 07,2002,2 orang,Aktif,Kel.Braga
302,Warung makanan ,Gg.Bancey no.21 RW 07,1965,1 orang,Aktif,Kel.Braga
303,Warung makanan ,Gg.Bancey no.3/13C RW 07,1990,1 orang,Aktif,Kel.Braga
304,Warung keringan ,Gg.Bancey no.41,1979,1 orang,Aktif,Kel.Braga
305,Warung makanan ringan ,Gg.Bancey no.6/13C RW 07,1987,1 orang,Aktif,Kel.Braga
306,Warung makanan ringan ,Gg.Bancey no.39 RW 07,1993,1 orang,Aktif,Kel.Braga
307,Warung makanan ringan ,Gg.Bancey no.21 RW 07,1993,1 orang,Aktif,Kel.Braga
308,Warung ayam goreng,Gg.Apandi No.40 RW 08,1981,2 orang,Aktif,Kel.Braga
309,Warung jajanan ,Gg.Apandi No.42 RW 08,1997,1 orang,Aktif,Kel.Braga
310,Warung makanan ,Gg.Cikapundung No.3/11A RW.08,1988,1 orang,Aktif,Kel.Braga
311,Warung sembako,Gg.Cikapundung No.55/11A RW.08,1998,1 orang,Aktif,Kel.Braga
312,Warung kopi,Gg.Apandi No.107/11A RW 08,2001,1 orang,Aktif,Kel.Braga
313,Warung nasi,Gg.Apandi No.118/11A RW 08,1995,2 orang,Aktif,Kel.Braga
314,Warung kopi,roko Gg.Apandi No.118/11A RW 08,1990,1 orang,Aktif,Kel.Braga
315,Warung sembako,Gg.Apandi No.118/11A RW 08,1990,1 orang,Aktif,Kel.Braga
316,Warung nasi,Gg.Cikapundung No.14/110A RW.08,1985,2 orang,Aktif,Kel.Braga
317,Warung nasi,Gg.Cikapundung No.14/110A RW.08,1980,2 orang,Aktif,Kel.Braga
318,Warung jajanan ,Gg.Cikapundung No.51 RW.08,1980,1 orang,Aktif,Kel.Braga
319,Warung jajanan ,Gg.Cikapundung No.55 RW.08,1980,1 orang,Aktif,Kel.Braga
320,Warung jajanan ,Gg.Cikapundung No.55 RW.08,1980,2 orang,Aktif,Kel.Braga
321,Warung nasi,Gg.Cikapundung No.55 RW.08,2000,2 orang,Aktif,Kel.Braga
322,Warung nasi,Gg.Apandi No.40 RW 08,2003,2 orang,Aktif,Kel.Braga
323,Warung nasi,Gg.Apandi No.41 RW 08,2000,1 orang,Aktif,Kel.Braga
324,Warung jajanan ,Gg.Apandi No.41 RW 08,2004,1 orang,Aktif,Kel.Braga
325,Mie baso / sirop,Gg.Apandi No.41 RW 08,2000,1 orang,Aktif,Kel.Braga
326,Makanan Roko,Gg.Apandi No.118 RW 08,2000,1 orang,Aktif,Kel.Braga
327,Warung jajanan ,Gg.Apandi No.118 RW 08,2004,3 orang,Aktif,Kel.Braga
328,Warung nasi gule/sate,Jl.Pacinan lama No.13,1999,1 orang,Aktif,Kel.Braga
329,Jualan Donat,Gg. Apandi 576,2000,1 orang,Aktif,Kel.Braga
330,Warung roko/minuman,Gg. Apandi 136/11,2001,3 orang,Aktif,Kel.Braga
331,Warung gorengan,Gg. Apandi 160/11a,1995,1 orang,Aktif,Kel.Braga
332,Kue + Coklat,Gg. Apandi 107/11a,1990,2 orang,Aktif,Kel.Braga
333,Warung sembako,Gg. Apandi 173/11a,1990,1 orang,Aktif,Kel.Braga
334,Warung sembako,Gg. Apandi160/11a,1985,2 orang,Aktif,Kel.Braga
335,Lukisan,Jl.Braga 134,1980,3 orang,Aktif,Kel.Braga
336,Percetakan+sablon,Jl.Braga 98blk,1980,2 orang,Aktif,Kel.Braga
337,Air Brush,Jl.Cikapundung No.174/IX,1980,2 orang,Aktif,Kel.Braga
338,Warung nasi Goreng,Jl.Cikapundung No.10/11c,1980,1 orang,Aktif,Kel.Braga
339,Kupat tahu petis,Jl.Cikapundung No.47/11c,2000,2 orang,Aktif,Kel.Braga
340,Bahan Jeans,Jl.Cikapundung No.1/11c,2003,2 orang,Aktif,Kel.Braga
341,Sembako,Jl.Cikapundung No.9/11c,2000,2 orang,Aktif,Kel.Braga
342,Pes Nasi Dus,Jl.Cikapundung No.10/11c,2004,2 orang,Aktif,Kel.Braga
343,Kerupuk udang,Jl.Cikapundung No.174/IX,2000,1 orang,Aktif,Kel.Braga
344,Roko makanan,Jl.Enur No.45,2000,2 orang,Aktif,Kel.Braga
345,Mie / makanan ,Jl.Kejaksaan 60/11b,2004,1 orang,Aktif,Kel.Braga
346,Odading/cakue,Jl.Kejaksaan 60/11b,1999,2 orang,Aktif,Kel.Braga
347,Sepatu,Jl.Kejaksaan 60/11b,2000,5 orang,Aktif,Kel.Braga
348,Warung jajanan ,Jl.Lembong,1995,1 orang,Aktif,Kel.Braga
349,Standar besi pot,Jl.Morse 287/11b,1990,2 orang,Aktif,Kel.Braga
350,Tart kue basah,Jl.Otista 101b,1990,2 orang,Aktif,Kel.Braga
