nomor_izin,bulan_pengajuan,tahun_pengajuan,jenis_izin,nama_perusahaan,alamat_perusahaan,tgl_akhir,longitude,latitude
0045/IG/X/2015/BPPT,Oktober,2015,Izin Gangguan,CV. BANDUNG PRINTER,SIMPANG INDUSTRI 10,07/10/2018,107.59171,-6.912205
0045/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. KHANSA NUSA PERSADA,SETRA DAGO II 1,04/12/2018,107.6590357,-6.9109253
0046/IG/II/2016/BPPT,Februari,2016,Izin Gangguan,PT. ANUGERAH PHARMINDO LESTARI,TERUSAN HOLIS 2,18/02/2019,107.5677541,-6.9459179
0046/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,MILLENIUM\UBUD\EMPIRE,PELAJAR PEJUANG 45 27,02/03/2019,107.6246709,-6.9350738
0046/IG/IV/2016/BPPT,April,2016,Izin Gangguan,"PT. BANK CENTRAL ASIA, TBK.",SURYA SUMANTRI 33,13/04/2019,107.5813893,-6.889138233
0047/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. MIGA ORRICOM INDONESIA,TALAGA BODAS 41 D,02/03/2019,107.6238943,-6.92870396
0047/IG/IV/2016/BPPT,April,2016,Izin Gangguan,"PT. BANK CENTRAL ASIA, TBK.",JAMIKA 29,13/04/2019,107.5863607,-6.920351765
0047/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. LUMBUNG EMAS LESTARI,DR. JUNJUNAN 128,15/12/2018,107.5862134,-6.892809796
0048/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. DAYAGUNA TATADUTA,KOMPLEK CIKAWAO C-11,02/03/2019,107.6152984,-6.9280073
0048/IG/IV/2016/BPPT,April,2016,Izin Gangguan,PT. SYNA TEKNIKA,GELAP NYAWANG 4 LT. III,13/04/2019,107.609614,-6.8949473
0048/IG/XI/2015/BPPT,November,2015,Izin Gangguan,PT. RADIO KARANG TUMARITIS,SUMUR BANDUNG 12,26/11/2018,107.612654,-6.9152353
0049/IG/II/2016/BPPT,Februari,2016,Izin Gangguan,PT. BANCEUY TUNGGAL JAYA,KOPO 271-D,19/02/2019,107.6191228,-6.9174639
0050/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV.SEJAHTERA,RANCACILI -,02/03/2019,107.6775729,-6.9566865
0050/IG/VIII/2015/BPPT,Agustus,2015,Izin Gangguan,PT. AMARIS INTERNASIONAL,CIMANUK 14,31/08/2018,107.6206991,-6.904716623
0051/IG/II/2016/BPPT,Februari,2016,Izin Gangguan,LABORATORIUM PENGENDALIAN KUALITAS LINGKUNGAN,ATLAS RAYA 6,19/02/2019,107.6472989,-6.9162386
0051/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. JASMINE,HAUR MEKAR C-25,02/03/2019,107.6270017,-6.890208233
0051/IG/VIII/2015/BPPT,Agustus,2015,Izin Gangguan,PT. AKUR PRATAMA,PAHLAWAN 17,31/08/2018,107.6347895,-6.9014467
0052/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. GRAVCOMM INDONESIA,SITU 8,02/03/2019,107.5808597,-6.920567
0055/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,PT. ARANSA METAL TOOLING,KOMPLEK ALAMANDA ASRI KAV. NO. 11,13/01/2019,107.6191228,-6.9174639
0055/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,"GANS MODY""",CIBADAK 336,02/03/2019,107.6191228,-6.9174639
0056/IG/IX/2015/BPPT,September,2015,Izin Gangguan,TOKO KINERUKU,HEGARMANAH 52,25/09/2018,107.6004391,-6.8753378
0056/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,CV BINANGKIT,PAMITRAN I 14,09/07/2018,107.7020952,-6.921556297
0057/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. CIPTA ANUGRAH CENTRAL,GAGAK DALAM 91-A\/144,02/03/2019,107.5120061,-6.88610709
0057/IG/X/2015/BPPT,Oktober,2015,Izin Gangguan,PT. FELIXINDO JAYA PERKASA,LAYANG-LAYANG 7,06/10/2018,107.669869,-6.9232762
0058/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,"PT. BANK NUSANTARA PARAHYANGAN, TBK.",SUKAJADI 143,02/03/2019,107.5965818,-6.887176882
0058/IG/VIII/2015/BPPT,Agustus,2015,Izin Gangguan,POLA,PAGARSIH 45,12/08/2018,107.5972207,-6.9230849
0058/IG/X/2015/BPPT,Oktober,2015,Izin Gangguan,GLORY JAYA,TAMAN HOLIS INDAH 7 BLOK G-1,06/10/2018,107.5629107,-6.943408837
0059/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. ZOOM,BUMI PARAKAN ASRI A-3,02/03/2019,107.6191228,-6.9174639
0059/IG/IV/2016/BPPT,April,2016,Izin Gangguan,CV. NEW SURYA ABADI,KEBON JATI 41 KAV. 10,20/04/2019,107.6001545,-6.916172
0059/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PT. DAPENSI TRIO USAHA,PHH. MUSTOPA 72,09/09/2018,107.6445207,-6.9001324
0059/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,CAP KAPAL,GANDAPURA 51,09/07/2018,107.626706,-6.9120269
0061/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. CIPTA USAHA MAKMUR,ARCAMANIK 38-B,02/03/2019,107.6777669,-6.9179069
0063/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. AYU KONTRAKTOR,KOMPLEK VIJAYAKUSUMA 21 BLOK A-8,02/03/2019,107.7197778,-6.919167
0064/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. PAS,KALIJATI 19 16,02/03/2019,107.6528984,-6.9072481
0066/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. ANDJANI WALUYA ABADI,SETRA INDAH II 17,02/03/2019,107.5891151,-6.8818092
0067/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,IS,TAMAN HOLIS INDAH B1 20,03/03/2019,107.6191228,-6.9174639
0068/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. HEN JAYA,H. KURDI I 14,03/03/2019,107.606726,-6.9442063
0068/IG/X/2015/BPPT,Oktober,2015,Izin Gangguan,PT. JPPL INDONESIA,GATOT SUBROTO 289 TRANS STUDIO MALL,07/10/2018,107.6360682,-6.925685596
0069/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,BONA,DR. SETIABUDHI 170,03/03/2019,107.5937784,-6.8707632
0070/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. BRAMANTYA KENCANA EKAPADA,INDRA WARMAN 15,03/03/2019,107.5970457,-6.955626098
0071/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,PT. RIZKI LIGAR SATUTIGALIMAEMPAT,CUKANG KAWUNG 48,15/01/2019,107.6281341,-6.8919824
0071/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,ABADI JAYA PERKASA,BABAKAN CIPARAY 294,03/03/2019,107.5837281,-6.9415207
0072/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,"PT. SUMBER ALFARIA TRIJAYA, TBK.",TERUSAN CIMUNCANG 24,22/12/2018,107.6551022,-6.8946371
0073/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PD. MULTI,JENDRAL SUDIRMAN 391,03/03/2019,107.5925097,-6.919357616
0077/IG/II/2016/BPPT,Februari,2016,Izin Gangguan,CV. KURNIA ALAM,ALIYUDA 1,26/02/2019,107.6005834,-6.914737303
0078/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. BUDI JAYA ABADI,GATOT SUBROTO 289,30/03/2019,107.6361092,-6.927242507
0078/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,PT. NAULINDO TEKNIK,KOMPLEK BUMI PASUNDAN KAV. 80,10/07/2018,107.6796065,-6.899647951
0079/IG/X/2015/BPPT,Oktober,2015,Izin Gangguan,KOPERASI PRIMER PENGADILAN MILITER II-09 BANDUNG,JAWA 60,07/10/2018,107.6143272,-6.9149607
0080/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. DHIA PUTRA UTAMA,SARIWATES TIMUR IV 7,03/03/2019,107.6191228,-6.9174639
0081/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. SUNGAI SUKACITA,TAMAN PRAMUKA 173,03/03/2019,107.627781,-6.9099734
0081/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,CV VELYN FROZEN & CHILLED,KOMP. BIZPARK COMMERCIAL ESTATE A6-1,10/07/2018,107.5899771,-6.95335141
0081/IG/XI/2016/BPPT,November,2016,Izin Gangguan,PT. HEKSA GARDA UTAMA,KENCANA WANGI UTARA 01,15/11/2019,107.6521156,-6.9582752
0082/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,AGUNG JAYA MOTOR,OTO ISKANDARDINATA 482,12/07/2018,107.6034977,-6.923633825
0083/IG/II/2016/BPPT,Februari,2016,Izin Gangguan,CV. SAPTA PRATAMA,GADING BARAT III 14,28/02/2019,107.6710987,-6.9369239
0083/IG/XI/2016/BPPT,November,2016,Izin Gangguan,CV. NANJUNG,GURAME 3,15/11/2019,107.6164855,-6.9315379
0084/IG/II/2016/BPPT,Februari,2016,Izin Gangguan,CV. SAPTA PRATAMA,"AHMAD YANI 669, APARTEMEN GATEWAY TOWER SAPPHIER LT B LG UNIT 2",28/02/2019,107.6449113,-6.9068647
0084/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,SEKAWAN JAYA,PASIRKOJA 58-C,03/03/2019,107.6004494,-6.926624504
0085/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. SUDINAR ARTHA,GEGERKALONG HILIR 178,04/03/2019,107.5803456,-6.867699388
0086/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. SINERGI ADIGUNA SAMPURNA,TERUSAN PASIRKOJA C-6,04/03/2019,6,107
0086/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,PRIMA ABADI BILLIAR,SUNIARAJA 2-B,14/07/2018,107.6067638,-6.9154251
0088/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. WIJAYA PRIMA JAYA,SOEKARNO HATTA 31,04/03/2019,107.5747413,-6.9214564
0088/IG/X/2015/BPPT,Oktober,2015,Izin Gangguan,PD. PANJAYA ABADI MAKMUR,GEDEBAGE SELATAN 175,08/10/2018,107.6914119,-6.9399709
0088/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. SIGMA BANGUN PERSADA,CIPEDES TENGAH 03\/175-B,14/12/2018,107.5911473,-6.8849968
0089/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,GARUDA MOTOR,JENDRAL SUDIRMAN 646,14/12/2018,107.5763512,-6.917017289
0090/IG/V/2016/BPPT,Mei,2016,Izin Gangguan,PT. FAJAR UTAMA SEMESTA INOVASI ADHIGUNA,KOMPLEK SPBU CIBOLERANG 01,10/05/2019,107.565171,-6.9506351
0090/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,CV. MISSOURI,RUMAH SAKIT 137,14/12/2018,107.6191228,-6.9174639
0091/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. INFORMATIKA REKA MANDIRI,KOMPLEK UJUNGBERUNG INDAH 15-11,14/12/2018,107.6952733,-6.9086962
0092/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,CV. SAMBARA BOGA,TRUNOJOYO 64,14/12/2018,107.6131652,-6.9042721
0093/IG/VIII/2015/BPPT,Agustus,2015,Izin Gangguan,CV. GUDITA,BOUGENVILLE II 19,22/08/2018,107.5653089,-6.9376312
0093/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,CENTRAL,BABAKAN TAROGONG 244-B,14/12/2018,107.5926792,-6.9269351
0094/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,CV. MITRA PLASTIK,MUARA SELATAN I 10,14/12/2018,107.6191228,-6.9174639
0095/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. SARANA MEGA FORTUNA,H. KURDI TIMUR I 34,14/12/2018,107.6191228,-6.9174639
0096/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. GENERAL,BATU INDAH I 25,07/03/2019,107.6343411,-6.9521248
0096/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. PANCA MAKMUR PRIMAMULYA,SOEKARNO HATTA 20,14/12/2018,107.6191228,-6.9174639
0097/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PURI SURYALAYA,SURYALAYA 10,07/03/2019,107.6235824,-6.9430623
0097/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,VIYA MOTOR,ASTANAANYAR 206,14/12/2018,107.6191228,-6.9174639
0098/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,CV. W. S. K,TERUSAN JAKARTA 176 RUKO PELANGI,15/12/2018,107.6577455,-6.913006
0099/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. SUMBER GANDA MEKAR,GEDEBAGE -,07/03/2019,107.6984879,-6.9505768
0100/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,B S E,TAMAN HOLIS INDAH A.16,07/03/2019,107.5630857,-6.9434115
0100/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. KASAM CATUR PUTRA MANDIRI,CIGADUNG RAYA 21,15/12/2018,107.6191228,-6.9174639
0101/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,LIBRA,SARITEM 7,15/12/2018,107.5957286,-6.917383713
0102/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,PT. BENESSE INDONESIA,"SUTAMI, PROF. DR. IR RUKO. SETRA SARI MALL BLOK-B4 NO. 100",14/07/2018,107.583579,-6.881525191
0102/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,MITRA PLASTIK,SITU AKSAN 57,15/12/2018,107.6191228,-6.9174639
0103/IG/X/2015/BPPT,Oktober,2015,Izin Gangguan,CV. SENJAYATAMA LESTARI,KARANG TINEUNG INDAH 1,08/10/2018,107.5928337,-6.883948731
0105/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PD. FAJAR,LENGKONG BESAR 143,07/03/2019,107.6191228,-6.9174639
0107/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,NEW NARIPAN MOTOR,BKR 113,07/03/2019,107.612759,-6.9377207
0107/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,HIROZ,PAHLAWAN 43,10/12/2018,107.6347795,-6.9013668
0107/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,"PT. HERO SUPERMARKET, TBK.",DR. JUNJUNAN 128,15/12/2018,107.5876763,-6.8945617
0108/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,CV. PRAJA KARYA UTAMA,LEMBAH SUKA RESMI II 7,22/01/2019,107.5921512,-6.8797121
0108/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. RELTEK,SOEKARNO HATTA METRO INDAH MALL 590 \/ MTC D-3,07/03/2019,107.6587643,-6.9427216
0109/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,PT. SURYA CERIA GEMILANG \ LAND MARK,BRAGA 127-129,22/01/2019,107.6094519,-6.9179091
0109/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. MARLYN SEHATI,SOEKARNO HATTA 517,15/12/2018,107.6252762,-6.949071865
0110/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,PT. SURYA CERIA GEMILANG \ IMPERIAL,BRAGA 125,22/01/2019,107.608959,-6.915405905
0110/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,PT. PRISMA SARANA MANUNGGAL,BELITUNG -,29/07/2018,107.6157018,-6.9117429
0110/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. GEO DINAMIK KONSULTAN,MARGAHAYU RAYA BARAT 32 BLOK G-II,15/12/2018,107.6587658,-6.9482069
0111/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,REJEKI BARU,TAMIM 30,22/01/2019,107.6033407,-6.919540789
0112/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,CV. NINE STAR,NEPTUNUS BARAT 12 VI A-9,22/01/2019,107.6556684,-6.9482045
0112/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,RS. SANTO BORROMEUS,IR. H. JUANDA 100,29/07/2018,107.6132224,-6.893793366
0113/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,PD. BERKAT ABADI,DARMA KUSUMA 37,22/01/2019,107.6011452,-6.9571057
0114/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,GOLDEN EMBROIDERY,TERUSAN KIARACONDONG 19,08/03/2019,107.6191228,-6.9174639
0115/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,CV. DEBBY MARYAM PRATAMA,BUDHI 31\/14,22/01/2019,107.5589137,-6.890604719
0115/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PT. MONICA HIJAULESTARI,PASIRKALIKI 121-123 ISTANA PLAZA MALL GF-B.1,28/09/2018,107.5976348,-6.9070494
0116/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,CV. WAHANA UTAMA,KEMBAR TIMUR III 15,23/01/2019,107.6147431,-6.9433789
0118/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,CV. DWI PUTRA ABADI,EMUNG 5,23/01/2019,107.6182478,-6.9262568
0119/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,SAUYUNAN,JEND.AHMAD YANI 961,23/01/2019,107.6570159,-6.902083802
0119/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,CV.  MULTI  KARYA  SINERGI,SRIDARA 8,23/07/2018,107.6129644,-6.936124593
0120/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,CV. AGEODRIL,PACUAN KUDA 4,23/01/2019,107.6191228,-6.9174639
0120/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,GALUH MOTOR,SUKAGALIH 62,08/03/2019,107.5875009,-6.8865894
0120/IG/IV/2016/BPPT,April,2016,Izin Gangguan,PT. SUPERTECH INTERNUSA,L.L.R.E. MARTADINATA 147,10/04/2019,107.6290041,-6.91304082
0121/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,AUTO JAYA MOTOR,SIDOMUKTI 77,23/01/2019,107.6313939,-6.893310595
0121/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,BANDUNG JAYA,BABAKAN PRIANGAN 3,08/03/2019,107.6131116,-6.9470599
0122/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,CV. PUTRI AULYA JAYA,SARIWATES INDAH IV 18,23/01/2019,107.6554713,-6.9232583
0122/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. TIGRIS PRIMORDIA KENCANA,BATU API IV 7,08/03/2019,107.6348989,-6.9463688
0122/IG/IX/2015/BPPT,September,2015,Izin Gangguan,CV. INDOKARYA,DEMAK 25,15/09/2018,107.6572868,-6.9207844
0123/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. NIAGA KURNIA,KEBON JATI 6-8 RUKO NO. 23,08/03/2019,107.5973728,-6.9163185
0128/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CAHAYA ABADI,BABAKAN CIPARAY 120,10/03/2019,107.5771444,-6.942333
0129/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,PT. BINA MUDA WAHANA,TERUSAN GANG SEKOLAH 26,10/03/2019,107.6492362,-6.922740373
0130/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,CV. SPECTRA GRAHA KONSULTAN,MALEBER UTARA 24,10/03/2019,107.574157,-6.9047852
0130/IG/IV/2016/BPPT,April,2016,Izin Gangguan,TIGA EMPAT LIMA,OTO ISKANDARDINATA 361,12/04/2019,107.6036789,-6.926677947
0130/IG/IX/2015/BPPT,September,2015,Izin Gangguan,HJ. KURNIATI,RANCABOLANG 123,30/09/2018,107.6623026,-6.9490635
0131/IG/III/2016/BPPT,Maret,2016,Izin Gangguan,MELATI,JEND.AHMAD YANI 153,10/03/2019,107.6214873,-6.920076407
0131/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,CV KANGEN SEHAT BERSAMA,KOMPLEK SETRASARI MALL BLOK BO 3\/80,24/07/2018,107.581398,-6.886228731
0133/IG/IX/2015/BPPT,September,2015,Izin Gangguan,Y.I,SALAM 1,30/09/2018,107.6302064,-6.9098971
0133/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,PT. BUDI MULYA SEJAHTERA,KOMPLEK SURAPATI CORE BLOK L NO.20,27/07/2018,107.6477034,-6.90132472
0136/IG/IV/2016/BPPT,April,2016,Izin Gangguan,APC JEANS,CIROYOM 73,12/04/2019,107.5843664,-6.9116987
0137/IG/IV/2016/BPPT,April,2016,Izin Gangguan,BHO OPTICAL,DESA CIPADUNG 37,12/04/2019,107.6191228,-6.9174639
0137/IG/IX/2015/BPPT,September,2015,Izin Gangguan,FRIENDS RESTORAN,CIHAMPELAS 160,30/09/2018,107.6048361,-6.895325503
0139/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,PT. HIDUP BARU PUTRA,SOEKARNO HATTA 456,25/01/2019,107.6191228,-6.9174639
0140/IG/IV/2016/BPPT,April,2016,Izin Gangguan,PT. MARIN LIZA FARMASI,TERUSAN KIARACONDONG 43,13/04/2019,107.640677,-6.95320642
0140/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,PT. ADHI JAYA MULIA,BATUNUNGGAL INDAH RAYA 43,28/07/2018,107.6291113,-6.9543523
0140/IG/VIII/2015/BPPT,Agustus,2015,Izin Gangguan,CV. SARANA USAHA,PELANDUK 11,31/08/2018,107.62048,-6.932313
0141/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,CV. KURNIA,INDRAJAYA I BLOK B 34,25/01/2019,107.6779975,-6.934091626
0141/IG/IV/2016/BPPT,April,2016,Izin Gangguan,PT. HARJA GUNATAMA LESTARI,RANCABOLANG 62,13/04/2019,107.6896073,-6.9586416
0141/IG/VII/2015/BPPT,Juli,2015,Izin Gangguan,CV.ARTA PERKASA,CIBEUNYING PERMAI V 14A,28/07/2018,107.6285592,-6.887329572
0141/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,CV. ZANADA CORPORATION,SIDOMUKTI 99,14/12/2018,107.6346499,-6.892789744
0142/IG/IV/2016/BPPT,April,2016,Izin Gangguan,PT. HARJA GUNATAMA LESTARI,CIPAMOKOLAN 50,13/04/2019,107.6762506,-6.9437133
0142/IG/VIII/2015/BPPT,Agustus,2015,Izin Gangguan,PT. HARMONI MUKTI \ HOTEL CALIFORNIA,WASTUKENCANA 48,31/08/2018,107.6074195,-6.905822075
0143/IG/VIII/2015/BPPT,Agustus,2015,Izin Gangguan,PT. MITRA PUTRA MUSTIKA,KOPO 455,31/08/2018,107.5897321,-6.944415894
0144/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,CV. ALRISA UTAMA,CIPICUNG -,25/01/2019,107.5884089,-6.871022
0144/IG/VIII/2015/BPPT,Agustus,2015,Izin Gangguan,PT. CAHYANA EKSPANSINDO,ARUNA 5,31/08/2018,107.5884426,-6.909292704
0145/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,ATARI,SUKAJADI 39,25/01/2019,107.5889804,-6.8903936
0145/IG/V/2016/BPPT,Mei,2016,Izin Gangguan,PT. BPR KARYAJATNIKA SADAYA,MALABAR 70,13/05/2019,107.6191228,-6.9174639
0145/IG/VIII/2015/BPPT,Agustus,2015,Izin Gangguan,RPH REGOL,MARGACINTA 01,31/08/2018,107.6537265,-6.955772293
0149/IG/VIII/2015/BPPT,Agustus,2015,Izin Gangguan,CV. REVOLUSI MANDIRI,SADANG SERANG 11-B,31/08/2018,107.6260147,-6.891608883
0151/IG/VIII/2015/BPPT,Agustus,2015,Izin Gangguan,WARUNG PASTA,GANECA 4,31/08/2018,107.610129,-6.91118
0157/IG/IV/2016/BPPT,April,2016,Izin Gangguan,PT. GERAI PABERIK BADJOE,SOEKARNO HATTA 573,15/04/2019,107.638749,-6.945928
0157/IG/XI/2015/BPPT,November,2015,Izin Gangguan,"H. DUDI KUSTIJA, SH.",OTO ISKANDARDINATA 596-A,23/11/2018,107.6031504,-6.933981166
0159/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. BOGA SELERA PERDANA,DR. SETIABUDHI 45,14/12/2018,107.5992696,-6.8817538
0163/IG/XI/2015/BPPT,November,2015,Izin Gangguan,CV. MARGA GANDA UTAMA,L.L.R.E. MARTADINATA 120,23/11/2018,107.6263058,-6.9103355
0163/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. SUKSES CIPTA KELOLA PROPERTEL,SANGKURIANG 15,14/12/2018,107.6191228,-6.9174639
0165/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,CV. ROFOUS GROUP,MULYASARI 10,14/12/2018,107.6191228,-6.9174639
0166/IG/IX/2015/BPPT,September,2015,Izin Gangguan,PT. RADIO ANTASSALAM BAGJA,BURANGRANG 28,18/09/2018,107.6195733,-6.926076737
0166/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. BHAKTI KURNIA ABADI,BELAKANG PASAR 110,14/12/2018,107.6191228,-6.9174639
0168/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,CV. KORI,BABAKAN CIPARAY 5,14/12/2018,107.5841786,-6.9362445
0169/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,CV. JULIA CITRA MANDIRI,SEPAK BOLA 8,14/12/2018,107.6191228,-6.9174639
0175/IG/I/2016/BPPT,Januari,2016,Izin Gangguan,PT. INDONESIA ONLINE COM.,RUMAH SAKIT 23,19/01/2019,107.6955256,-6.925402
0175/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. RAHARJA SINERGI KOMUNIKASI,MUARA RAYA 36,15/12/2018,107.6002092,-6.9388795
0176/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,DJAJANA,YAKIN 51,15/12/2018,107.6030589,-6.9117208
0177/IG/II/2016/BPPT,Februari,2016,Izin Gangguan,CV. CATUR DAYA PRIMA,MAWAR MEKAR 6,18/02/2019,107.6961088,-6.924096
0177/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. SURYA TIRTA KENCANA,"KOPO 4, BIZPARK COMMERSIAL ESTATE BLOK B-1 NO.33",15/12/2018,107.5893662,-6.9543819
0178/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,CV. DUTA KENCANA,SURYA SUMANTRI 101,15/12/2018,107.5814479,-6.8857333
0180/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PUSPITA SALON SUPPLIER,MEKAR PUSPITA 32,15/12/2018,107.5985409,-6.951856
0181/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,PT. KOMPONEN INDUSTRI DAN TEKNOLOGI,BABAKAN TAROGONG 214,15/12/2018,107.5926792,-6.9269351
0182/IG/X/2015/BPPT,Oktober,2015,Izin Gangguan,CV. ARIZTA,PANUTAN III 3,16/10/2018,107.6191228,-6.9174639
0183/IG/XII/2015/BPPT,Desember,2015,Izin Gangguan,CV.  FATMA  JAYA  ABADI,CIKUTRA 7 SEKEJATI II,15/12/2018,107.6398194,-6.893834314
0185/IG/IV/2016/BPPT,April,2016,Izin Gangguan,PINO,PAMARSET 3,19/04/2019,107.6018226,-6.923859624
0188/IG/II/2016/BPPT,Februari,2016,Izin Gangguan,ABC JAYA,KEMBAR 1 30,18/02/2019,107.6090229,-6.9445189
0189/IG/II/2016/BPPT,Februari,2016,Izin Gangguan,HERO OPTICAL,OTO ISKANDARDINATA 263,18/02/2019,107.6040146,-6.9237928
