"nomor_izin","jenis_izin","nama_perusahaan","alamat_perusahaan","tgl_akhir","longitude","latitude"
"0031/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT. MEDIA MITRA GAMMA NETWORK"," SETRASARI II 14","14/12/2018","107.5880654","-6.875229293"
"0117/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT. SENTRA YASA PRIMA"," CIHAMPELAS 87","15/12/2018","107.515849","-6.965011"
"0119/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","CV LAFARE TRIANA MANDIRI"," MARGAHAYU RAYA BARAT 12-C BLOK C III (JL. URANUS)","15/12/2018","107.6191228","-6.9174639"
"0066/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","CV. VJ"," BABAKAN CIAMIS 18","14/12/2018","107.608215","-6.9115425"
"0116/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","CV. CEMPAKA LESTARI"," KEBONLEGA 31","15/12/2018","107.6191228","-6.9174639"
"0065/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PD. RATU (TOKO MAS RATU)"," CIROYOM BARAT BLOK J1-1","14/12/2018","107.5838381","-6.9113277"
"0076/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","CV. SAPTA JAYA EXPRESSINDO"," PAJAJARAN 156","15/12/2018","107.5936702","-6.906873923"
"0070/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","CV. MAKMUR KREATIF SUKSES"," SURYA SUMANTRI 5-E","14/12/2018","107.581454","-6.8855535"
"0115/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","CV. BOGA RASA PRIMA"," DR. CIPTO 3 ","14/12/2018","107.5978956","-6.9049604"
"0081/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT MOTION INDONESIA"," SIDOLUHUR 4","15/12/2018","107.6191228","-6.9174639"
"0033/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT. BPD JABAR BANTEN CAB. TAMANSARI"," TAMANSARI 18","15/12/2018","107.6092126","-6.895576"
"0122/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","BAROKAH MOTOR"," RAYA CIMINDI GG H. SYAFEI 7","15/12/2018","107.6191228","-6.9174639"
"0125/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","SINAR SEJATI"," DULATIP 8","15/12/2018","107.6022615","-6.9178067"
"0083/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT. RIZKI TULUS MANDIRI"," KOMPLEK BUMI PANYILEUKAN  K - 6 \/ 27","15/12/2018","107.6802232","-6.8997903"
"0120/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT. KHANSA NUSA PERSADA"," SETRA DAGO II 1","15/12/2018","107.6590357","-6.9109253"
"0120/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT.PILAR LESTARI UNGGUL MAJU"," KOMPLEK ITC KOSAMBI KAV E-7","28/12/2018","107.6191228","-6.9174639"
"0110/TDP/II/2016/BPPT","Tanda Daftar Perusahaan","CV.GOLD STAR"," DANGDEUR INDAH 2","17/02/2019","107.6191228","-6.9174639"
"0082/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","CV. SELAMAT BAHAGIA SEJAHTERA"," PELAJAR PEJUANG 45 23","15/12/2018","107.6274259","-6.9267937"
"0125/TDP/VII/2016/BPPT","Tanda Daftar Perusahaan","KIOS MAMIN"," MUARA BARU  17","29/07/2019","107.5984249","-6.9397593"
"0119/TDP/XII/2015/BPPT","Tanda Daftar Perusahaan","PT.DUNIA USAHA KARYA UNGGULAN"," IR. H. JUANDA 179","28/12/2018","107.6191228","-6.9174639"
