npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan_nama,Column,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20219734,SMAS KEMAH IND 2,SMA,SMA / sederajat,JL.SADANG SERANG,3,13,-,Sekeloa,Kec. Coblong,-6.8878,107.6252,Tidak ada,Tidak Aktif,Yayasan
20219775,SMAS PLUS MUTHAHHARI,SMA,SMA / sederajat,JL. KAMPUS 2 NO. 13-20,2,8,-,Babakan Sari,Kec. Kiaracondong,-6.9163,107.655,Tidak ada,Tidak Aktif,Yayasan
20219800,SMAS MAARIF BANDUNG,SMA,SMA / sederajat,JL. GALUNGGUNG NO. 9,6,4,-,Lingkar Selatan,Kec. Lengkong,-6.9279,107.6252,Tidak ada,Tidak Aktif,Yayasan
20219738,SMAS BPI 1 BANDUNG,SMA,SMA / sederajat,JL. BURANGRANG NO. 8,4,1,,Burangrang,Kec. Lengkong,-6.9238,107.62,Tidak ada,Tidak Aktif,Yayasan
20219148,SMKS PASUNDAN 2 BANDUNG,SMK,SMA / sederajat,PELITA KARYA 1 NO.2,4,3,-,Maleber,Kec. Andir,-6.9066,107.5719,Tidak ada,Tidak Aktif,Yayasan
20275331,SMK PUTRA NASIONAL,SMK,SMA / sederajat,JL. BABAKAN TAROGONG NO. 119 E,6,4,-,Suka Asih,Kec. Bojong Loa Kaler,-6.9331,107.6,Tidak ada,Tidak Aktif,Lainnya
20219248,SMAN 24 BANDUNG,SMA,SMA / sederajat,JL. A.H. NASUTION NO. 27,1,1,-,Pasir Endah,Kec. Ujungberung,-6.9084,107.6884,Tidak ada,Aktif,Pemerintah Daerah
20279815,SMKS BINA DHARMA,SMK,SMA / sederajat,BABAKAN SARI 1 NO.131 KIARA CONDONG BANDUNG,9,11,-,Babakan Sari,Kec. Kiaracondong,-6.915,107.6561,Tidak ada,Tidak Aktif,Yayasan
20219807,SMAS MUHAMMADIYAH 1,SMA,SMA / sederajat,JL. KANCIL,1,11,-,Malabar,Kec. Lengkong,-6.9127,107.5804,Tidak ada,Tidak Aktif,Yayasan
20219159,SMKN 15 BANDUNG,SMK,SMA / sederajat,JALAN JENDRAL GATOT SUBROTO NO.4,5,1,-,Burangrang,Kec. Lengkong,-6.9228,107.6185,Tidak ada,Aktif,Pemerintah Daerah
20219142,SMKN 6 BANDUNG,SMK,SMA / sederajat,JL. SOEKARNO-HATTA (RIUNG BANDUNG),5,10,-,Cisaranten Kidul,Kec. Gedebage,-6.8674,107.5815,Tidak ada,Aktif,Pemerintah Daerah
20219262,SMAS ALLOYSIUS 2,SMA,SMA / sederajat,JL. BATUNUNGGAL INDAH II NO. 30,1,5,Mengger,Mengger,Kec. Bandung Kidul,-6.9597,107.6343,Tidak ada,Tidak Aktif,Yayasan
20219274,SMAS YPI,SMA,SMA / sederajat,JL. MUHAMMAD NO. 17,6,6,Pamoyanan,Pamoyanan,Kec. Cicendo,-6.9014,107.5956,Tidak ada,Tidak Aktif,Yayasan
20219151,SMKS PRAKARYA INTERNASIONAL 1 BANDUNG,SMK,SMA / sederajat,JL.INHOFFTANK 146,4,8,-,Pelindung Hewan,Kec. Astanaanyar,-6.9404,107.6033,Tidak ada,Tidak Aktif,Yayasan
20265517,SMAS AL ISLAM,SMA,SMA / sederajat,JL. CILENGKRANG I,5,6,Cigagak,Cisurupan,Kec. Cibiru,-6.9092,107.723,Tidak ada,Tidak Aktif,Yayasan
20265524,SMKS BAKTI MANDIRI,SMK,SMA / sederajat,CIUMBULEUIT ATAS NO.48,3,3,Ciumbuleuit,Ciumbuleuit,Kec. Cidadap,-6.8612,107.6052,Tidak ada,Tidak Aktif,Yayasan
20219866,SLB ARRAHMAN,Keaksaraan,SMA / sederajat,Jl. Terusunan GBI no. 126,4,5,Bodogol,Mekarjaya,Kec. Rancasari,-6.957769,107.688615,"C1, D",Tidak Aktif,Yayasan
26017001,SLB NEGERI CICENDO,Keaksaraan,SMA / sederajat,Jl. Cicendo No. 2,3,1,,Babakan Ciamis,Kec. Sumur Bandung,-6.9149,107.6189,B - Tuna rungu,Aktif,Pemerintah Daerah
20219863,SLB B Sukapura ,Keaksaraan,SMA / sederajat,Jl. Sukapura No. 4,5,1,Sukapura,Sukapura,Kec. Kiaracondong,-6.936274,107.650743,"C1, D",Tidak Aktif,Yayasan
20219804,SMAS MUHAMMADIYAH 4,SMA,SMA / sederajat,JL. CILENGKRANG II NO. 7,1,8,-,Palasari,Kec. Cibiru,-6.9155,107.7179,Tidak ada,Tidak Aktif,Yayasan
20219875,SLB BC YPLAB WARTAWAN,Keaksaraan,SMA / sederajat,Jl. Komplek Wartawan Iv No 31a,5,5,,Turangga,Kec. Lengkong,-6.9402,107.6386,"C1, D",Tidak Aktif,Yayasan
20219790,SMAS LABORATORIUM - PERCONTOHAN UPI,SMA,SMA / sederajat,JL.SENJAYA GURU KAMPUS UPI BANDUNG,1,5,-,Isola,Kec. Sukasari,-6.8615,107.5926,Tidak ada,Tidak Aktif,Yayasan
20253086,SMAS PASUNDAN 9 BANDUNG,SMA,SMA / sederajat,JL. BABAKAN CIPARAY BKL NO. 5,1,11,-,Kopo,Kec. Bojong Loa Kaler,-6.9426,107.5851,Tidak ada,Tidak Aktif,Yayasan
20219272,SMAS YWKA,SMA,SMA / sederajat,JL.ELANG II NO.3,2,2,-,Garuda,Kec. Andir,-6.914,107.576,Tidak ada,Tidak Aktif,Yayasan
20219521,SMAS PURAGABAYA,SMA,SMA / sederajat,JL. H. YASIN TRSN. PASTEUR,9,2,-,Sukabungah,Kec. Sukajadi,-6.8958,107.5922,A - Tuna netra,Tidak Aktif,Yayasan
20219792,SMAS TRI MULIA,SMA,SMA / sederajat,JL. DJUNJUNAN NO. 105,3,2,-,Pajajaran,Kec. Cicendo,-6.8962,107.5894,Tidak ada,Tidak Aktif,Yayasan
20265542,SMKS PAJAJARAN 2 BANDUNG,SMK,SMA / sederajat,Jl. Banteng Dalam No.8A,10,7,-,Turangga,Kec. Lengkong,-6.9072,107.6024,Tidak ada,Tidak Aktif,Yayasan
20253131,SMKS BHAKTI KENCANA BANDUNG,SMK,SMA / sederajat,JL. SINDANGSARI NO. 100 UJUNG BERUNG BANDUNG,0,0,-,Cipadung Kulon,Kec. Panyileukan,-6.9178,107.7029,Tidak ada,Tidak Aktif,Yayasan
20219264,SMA SANTA MARIA 2,SMA,SMA / sederajat,JL. SULAKSANA BARU I NO. 18,6,7,-,Cicaheum,Kec. Kiaracondong,-6.9149,107.6339,Tidak ada,Tidak Aktif,Yayasan
20219253,SMAN 20 BANDUNG,SMA,SMA / sederajat,JL. CITARUM NO. 23,2,7,-,Citarum,Kec. Bandung Wetan,-6.9045,107.6224,Tidak ada,Aktif,Pemerintah Daerah
20255301,SMKS TADIKA PURI BANDUNG,SMK,SMA / sederajat,SOEKARNO HATTA NO.729,1,1,-,Jati Sari,Kec. Buahbatu,-6.9371,107.6679,Tidak ada,Tidak Aktif,Yayasan
20219787,SMAS MUTIARA 2 BANDUNG,SMA,SMA / sederajat,RAYA CIBEREUM NO. 10,1,1,Cibeurem,Campaka,Kec. Andir,-6.9141,107.5816,Tidak ada,Tidak Aktif,Yayasan
20219882,SLB C SILIH ASIH,Keaksaraan,SMA / sederajat,Jl. Embah Jaksa Cipadung,5,12,,Cipadung,Kec. Cibiru,-6.929701,107.706219,"C1, D",Tidak Aktif,Yayasan
20259612,SLB MUHAMMADIYAH CIPEDES,Keaksaraan,SMA / sederajat,Jl Sukagalih Gg. H. Gozali No. 119b,7,7,,Cipedes,Kec. Sukajadi,-6.895,107.5957,"C1, D",Tidak Aktif,Yayasan
20280595,SLB KASIH IBU,Keaksaraan,SMA / sederajat,Jl. Kopo Cirangrang Timur No.07,2,3,,Cirangrang,Kec. Babakan Ciparay,-6.9611,107.5944,"C1, D",Tidak Aktif,Yayasan
20219871,SLB C BUDAYA BANGSA,Keaksaraan,SMA / sederajat,Jl. CITARIP BARAT NO. 16 BLK,5,10,,Kopo,Kec. Bojong Loa Kaler,-6.9366,107.5954,"B,C,C1",Tidak Aktif,Yayasan
20265529,SMKS CHEMICA BANDUNG,SMK,SMA / sederajat,MUHAMAD NO.17 TERUSAN PASTEUR,6,6,-,Pamoyanan,Kec. Cicendo,-6.9015,107.5957,Tidak ada,Tidak Aktif,Lainnya
20219791,SMAS YAHYA,SMA,SMA / sederajat,JL. RE. MARTADINATA NO. 71A,3,7,-,Citarum,Kec. Bandung Wetan,-6.9054,107.6184,Tidak ada,Tidak Aktif,Yayasan
20219723,SMAS BPN,SMA,SMA / sederajat,JL.DESA CIPADUNG NO.213,0,0,,Cipadung,Kec. Cibiru,-6.9187,107.7174,Tidak ada,Tidak Aktif,Yayasan
20219731,SMAS BINA BHAKTI 1,SMA,SMA / sederajat,JL. BIMA NO. 9,5,4,-,Arjuna,Kec. Cicendo,-6.9122,107.5951,Tidak ada,Tidak Aktif,Yayasan
20219235,SMAN 17 BANDUNG,SMA,SMA / sederajat,JL. Tujuhbelas Caringin,1,6,-,Babakan Ciparay,Kec. Babakan Ciparay,-6.942,107.5749,Tidak ada,Aktif,Pemerintah Daerah
20219729,SMAS BINA BHAKTI 2,SMA,SMA / sederajat,JL. BIMA NO. 9,4,6,-,Arjuna,Kec. Cicendo,-6.9077,107.5842,Tidak ada,Tidak Aktif,Yayasan
20219181,SMKS MUSLIMIN 1 BANDUNG,SMK,SMA / sederajat,JL PATUHA NO.36 BANDUNG,9,2,-,Lingkar Selatan,Kec. Lengkong,-6.9326,107.62,Tidak ada,Tidak Aktif,Yayasan
20219167,SMKS LPPM 2 BANDUNG,SMK,SMA / sederajat,JL TERUSAN NILEM 49 BANDUNG,1,2,-,Pasirluyu,Kec. Regol,-6.9369,107.6191,Tidak ada,Tidak Aktif,Yayasan
69788548,SMKS BUANA KARYA,SMK,SMA / sederajat,Jl. CINAMBO NO. 3,1,5,Kelurahan Pakemitan Kecamatan Cinambo,Pakemitan,Kec. Cinambo,-6.9082,107.6015,"C1, D",Tidak Aktif,Yayasan
20265537,SMKS NASIONAL,SMK,SMA / sederajat,SADANG SERANG NO 17,9,14,-,Sekeloa,Kec. Coblong,-6.8908,107.6266,"C1, D",Tidak Aktif,Yayasan
20219761,SLB C SUMBER SARI,Keaksaraan,SMA / sederajat,Jl. Majalaya Ii No 29,2,9,,Antapani Wetan,Kec. Antapani,-6.913768,107.663158,"C,C1",Tidak Aktif,Yayasan
20219781,SMA PGII 2,SMA,SMA / sederajat,Jl. Pahlawan Blk. No. 17,7,6,Sukaluyu I,Cihaurgeulis,Kec. Cibeunying Kaler,-6.9004,107.6334,Tidak ada,Tidak Aktif,Yayasan
20280590,SLB SOLALIN,Keaksaraan,SMA / sederajat,Jl. Sarimanah Blok XII No 170,8,6,,Sarijadi,Kec. Sukasari,-6.8709,107.585,"C1, D",Tidak Aktif,Yayasan
20219722,SMAS BUDI ISTRI,SMA,SMA / sederajat,JL. MUJAHIDIN NO. 39,1,5,-,Burangrang,Kec. Lengkong,-6.939,107.6268,Tidak ada,Tidak Aktif,Yayasan
20219150,SMKS PRAKARYA INTERNASIONAL 2 BANDUNG,SMK,SMA / sederajat,JL INHOFFTANK NO.146 BANDUNG,4,8,-,Pelindung Hewan,Kec. Astanaanyar,-6.941,107.6037,Tidak ada,Tidak Aktif,Yayasan
69756151,SMKS GALUH PAKUAN,SMK,SMA / sederajat,JL. SADANG KIDUL III NO. 9 SADANG SERANG BANDUNG,2,3,Sadang Serang,Sekeloa,Kec. Coblong,-6.8894,107.6278,Tidak ada,Tidak Aktif,Yayasan
20219180,SMKS MUSLIMIN 2 BANDUNG,SMK,SMA / sederajat,JL PALASARI NO.9 BANDUNG,9,2,Lengkong,Lingkar Selatan,Kec. Lengkong,-6.9279,107.6243,Tidak ada,Tidak Aktif,Yayasan
20219291,SMKS ICB CINTA NIAGA BANDUNG,SMK,SMA / sederajat,JL. PAHLAWAN NO.19 B BANDUNG,7,6,Cihaurgeulis,Cihaurgeulis,Kec. Cibeunying Kaler,-6.8994,107.6334,Tidak ada,Tidak Aktif,Yayasan
20219721,SMAS BUNGA BANGSA BANDUNG,SMA,SMA / sederajat,JL. DAGO BENGKOK NO. 3,2,1,-,Ciumbuleuit,Kec. Cidadap,-6.8639,107.6213,Tidak ada,Tidak Aktif,Yayasan
