No,NAMA PERUSAHAAN,Persil/Lokasi,Izin,Kelurahan,Kecamatan,Wilayah
1761,"CV. VITON PERKASA MANDIRI 
Jalan Pinus 9 No. 47 Bandung",Jalan Pinus 9 No. 47 ,Izin Usaha Perdagangan,Rancabolang,Gedebage,GEDEBAGE
1762,"CV. TOP ENGINEERING 
Jalan Banceuy Permai B 2 No. 70",Komp. Banceuy Permai B 2 No. 70,Izin Usaha Perdagangan,Braga,Sumur Bandung,CIBEUNYING
1763,"TOKO SERBA JAYA 
Jalan Kopo No. 383",Jalan Kopo No. 383,Izin Usaha Perdagangan,Kebonlega,Bojongloa Kidul,TEGALLEGA
1764,"CV. ALTITAMA CIPTA KARYA 
Jalan H Mesri No. 32",Jalan H Mesri No. 32,Izin Usaha Perdagangan,Pasirkaliki,Cicendo,BOJONAGARA
1765,"CV. ZEFIRTA RAYA 
Jalan Kalpataru Blok D No. 20",Jalan Kalpataru Blok D No. 20,Izin Usaha Perdagangan,Gempolsari,Bandung Kulon,TEGALLEGA
1766,"CV.WINASIS AMENANGI IHATRA WAI 
Jalan CIBUNUT NO.95/34A BDG",JalanCIBUNUT NO.95/34A BDG,Izin Usaha Perdagangan,Pasirkaliki,Cicendo,BOJONAGARA
1767,"CV. RAI PAWITRA PRATAMA 
Jalan Sarimanah Raya No. 5 Blok 15 Bandung",Jalan Sarimanah Raya No. 5 Blok 15 ,Izin Usaha Perdagangan,Sarijadi,Sukasari,BOJONAGARA
1768,"SOLINDO 
Jalan Satria Raya IV No. 1 Bandung",Jalan Satria Raya IV No. 1 ,Izin Usaha Perdagangan,Margahayu Utara,Babakan Ciparay,TEGALLEGA
1769,"CV. JAVA FAMILEA 
Jalan Sari Bunga Bakung Residence D-50",Komp. Sari Bunga Bakung Residence D-50,Izin Usaha Perdagangan,Kujangsari,Bandung Kidul,GEDEBAGE
1770,"PT. MITRA INTI SARANA GLOBAL INDONESIA 
Jalan Subang Raya No. 61",Jalan Subang Raya No. 61,Izin Usaha Perdagangan,Antapani Tengah,Antapani,UJUNGBERUNG
1771,"PT. SANBE FARMA 
Jalan Purnawarman No. 47 Bandung",Jalan Purnawarman No. 47 ,Izin Usaha Perdagangan,Tamansari,Bandung Wetan,CIBEUNYING
1772,"PT. ROLINDO ABADI 
Sarijadi Blok 03 No. 3 Bandung",Sarijadi Blok 03 No. 3 ,Izin Usaha Perdagangan,Sarijadi,Sukasari,BOJONAGARA
1773,"PT. RADZA PANCA BUANA 
Jalan PHH. Mustofa No. 189 Bandung",Jalan PHH. Mustofa No. 189 ,Izin Usaha Perdagangan,Sukaluyu,Cibeunying Kaler,CIBEUNYING
1774,"CV. KARYA RAYA 
Jalan Caringin Raya No. 439-A Bandung",Jalan Caringin Raya No. 439-A ,Izin Usaha Perdagangan,Babakan,Babakan Ciparay,TEGALLEGA
1775,"BINTANG MOTOR 
Jalan Kopo Cirang rang No. 550",Jalan Kopo Cirang rang No. 550,Izin Usaha Perdagangan,Margasuka,Babakan Ciparay,TEGALLEGA
1776,"PT. OPTIK MELAWAI PRIMA 
Jalan Lengkong Besar No. 111Bandung",Jalan Lengkong Besar No. 111,Izin Usaha Perdagangan,Cikawao,Lengkong,KAREES
1777,"PT. OPTIK MELAWAI PRIMA 
Jalan Sukajadi No. 152 Bandung",Jalan Sukajadi No. 152 ,Izin Usaha Perdagangan,Cipedes,Sukajadi,BOJONAGARA
1778,"PT. OPTIK MELAWAI PRIMA 
Jalan Surya Sumantri Bandung",Jalan Surya Sumantri ,Izin Usaha Perdagangan,Sukagalih,Sukajadi,BOJONAGARA
1779,"CV. ARUS KUAT 
Jalan Haremis II No. 15",Jalan Haremis II No. 15,Izin Usaha Perdagangan,Turangga,Lengkong,KAREES
1780,"CV. PRAKARSA MULIA 
Jalan Pinus IX No. 27 Bandung",Jalan Pinus IX No. 27 ,Izin Usaha Perdagangan,Rancabolang,Gedebage,GEDEBAGE
1781,"PT. OPTIK MELAWAI PRIMA 
Jalan Sunda No. 44",Jalan Sunda No. 44,Izin Usaha Perdagangan,Kebon Pisang,Sumur Bandung,CIBEUNYING
1782,"PT. CHELONIND INTEGRATED 
Jalan Margahayu Raya Blok Q No. 171/70",Komp. Margahayu Raya Blok Q No. 171/70,Izin Usaha Perdagangan,Manjahlega,Rancasari,GEDEBAGE
1783,"EMPAT SEKAWAN 
Jalan Sumatra No. 19 Bandung",Jalan Sumatra No. 19 ,Izin Usaha Perdagangan,Braga,Sumur Bandung,CIBEUNYING
1784,"PT. MARGA TIRTA KENCANA 
Jalan BKR No. 140-142 Bandung",Jalan BKR No. 140-142 ,Izin Usaha Perdagangan,Cigereleng,Regol,KAREES
1785,"PT. WIN SEJAHTERA 
Jalan Soekarno Hatta no. 132 F Bandung",Jalan Soekarno Hatta no. 132 F ,Izin Usaha Perdagangan,Babakan,Babakan Ciparay,TEGALLEGA
1786,"PT. OPTIK MELAWAI PRIMA 
Jalan Soekarno Hatta No. 590 A MTC Lt. GF Blok A1 ",Jalan Soekarno Hatta No. 590 A MTC Lt. GF Blok A1 ,Izin Usaha Perdagangan,Sekejati,Buahbatu,GEDEBAGE
1787,"PT. HANURA JARINDO UTAMA KARYA 
Buahbatu Regency Blok E 1 No. 7",Buahbatu Regency Blok E 1 No. 7,Izin Usaha Perdagangan,Kujangsari,Bandung Kidul,GEDEBAGE
1788,"PT. ISSU MEDIKA VETERINDO 
Jalan Cisaranten Wetan I No. 143 Bandung ",Jalan Cisaranten Wetan I No. 143 ,Izin Usaha Perdagangan,Cisaranten Wetan,Cinambo,UJUNGBERUNG
1789,"SATU DUA EMPAT 
Jalan Otto Iskandardinata No. 124 Bandung",Jalan Bahureksa No. 11  ,Izin Usaha Perdagangan,Kebon Jeruk,Andir,BOJONAGARA
1790,"KIE SOEI LAN 
Jalan Dipatiukur No. 77",Jalan Dipatiukur No. 77,Izin Usaha Perdagangan,Lebakgede,Coblong,CIBEUNYING
1791,"ASIA AFRIKA DENTAL 
Jalan Pungkur No. 216-N Bandung",Jalan Pungkur No. 216-N ,Izin Usaha Perdagangan,Ciateul,Regol,KAREES
1792,"CV. BONE ENGINEERING 
Jalan Delta No. 3 Kav. 10 Bandung",Jalan Delta No. 3 Kav. 10 ,Izin Usaha Perdagangan,Cigadung,Cibeunying Kaler,CIBEUNYING
1793,"JAYA MANDIRI 
Jalan Cikapundung Lt. 1 Blok GG No. 14/13",Jalan Cikapundung Lt. 1 Blok GG No. 14/13,Izin Usaha Perdagangan,Braga,Sumur Bandung,CIBEUNYING
1794,"CV. MITRA RIZKI HARISANDI 
Jalan Sukapura No. 77 Bandung",Jalan Sukapura No. 77 ,Izin Usaha Perdagangan,Sukapura,Kiaracondong,KAREES
1795,"SPEED MOTOR 
Jalan Pungkur No. 121 Bandung",Jalan Pungkur No. 121 ,Izin Usaha Perdagangan,Balonggede,Regol,KAREES
1796,"PT. SARANA SANGKURIANG SAKTI 
Jalan Citarum No. 12 Bandung",Jalan Citarum No. 12 ,Izin Usaha Perdagangan,Cihapit,Bandung Wetan,CIBEUNYING
1797,"TOKO  PANDA 
Jalan Kalipah Apo No. 63 Bandung",Jalan Kalipah Apo No. 63 ,Izin Usaha Perdagangan,Karang Anyar,Astana Anyar,TEGALLEGA
1798,"CV. SANJAYA PUTRA 
Jalan Cibodas Raya No. 5 Bandung",Jalan Cibodas Raya No. 5 ,Izin Usaha Perdagangan,Antapani Tengah,Antapani,UJUNGBERUNG
1799,"CV. JADI SEHAT 
Jalan Otto Iskandardinata No. 578 A Bandung",Jalan Otto Iskandardinata No. 578 A ,Izin Usaha Perdagangan,Nyengseret,Astana Anyar,TEGALLEGA
1800,"PT. BANGTELINDO 
Jalan Mangga No. 4 Bandung",Jalan Mangga No. 4 ,Izin Usaha Perdagangan,Cihapit,Bandung Wetan,CIBEUNYING
1801,"WINS COLLECTION 
Jalan Soekarno Hatta RT. 05/06 Bandung",Jalan Soekarno Hatta RT. 05/06 ,Izin Usaha Perdagangan,Batununggal,Bandung Kidul,GEDEBAGE
1802,"SAMPURNA 
Jalan RE. Martadinata No. 122",Jalan RE. Martadinata No. 122,Izin Usaha Perdagangan,Merdeka,Sumur Bandung,CIBEUNYING
1803,"CV. DEWAM PERSADA 
Jalan Cijerokaso 11 / 178 A",Jalan Cijerokaso 11 / 178 A,Izin Usaha Perdagangan,Sarijadi,Sukasari,BOJONAGARA
1804,"PT. OPTIK MELAWAI PRIMA 
Kopo Mas 9-B ",Kopo Mas 9-B ,Izin Usaha Perdagangan,Margasuka,Babakan Ciparay,TEGALLEGA
1805,"BK 
Jalan Dr. Junjunan No. 32",Jalan Dr. Junjunan No. 32,Izin Usaha Perdagangan,Sukabungah,Sukajadi,BOJONAGARA
1806,"PD SINAR MULIA 
Jalan LEUWI PANJANG NO.100A",JalanLEUWI PANJANG NO.100A,Izin Usaha Perdagangan,Situsaeur,Bojongloa Kidul,TEGALLEGA
1807,"455 
Jalan Jend. Gatot Subroto No. 455",Jalan Jend. Gatot Subroto No. 455,Izin Usaha Perdagangan,Kebon Kangkung,Kiaracondong,KAREES
1808,"PT. MAJU NIAGA INDONESIA 
Jalan Cigadung Pesantren No. 57 Bandung",Jalan Cigadung Pesantren No. 57 ,Izin Usaha Perdagangan,Cigadung,Cibeunying Kaler,CIBEUNYING
1809,"MEGA REGENCY 
Jalan Jend. A Yani  NO. 1040",Jalan Jend. A Yani  NO. 1040,Izin Usaha Perdagangan,Jatihandap,Mandalajati,UJUNGBERUNG
1810,"PT. JAVARING 
Sari Bunga Bakung Residen B-83 Bandung",Sari Bunga Bakung Residen B-83 ,Izin Usaha Perdagangan,Cijaura,Buahbatu,GEDEBAGE
1811,"KOPERASI GEMA MASA 
Jalan Golf Barat IX No. 3 Bandung",Jalan Golf Barat IX No. 3 ,Izin Usaha Perdagangan,Sukamiskin,Arcamanik,UJUNGBERUNG
1812,"CV. EYKMAN 
Jalan Prof. Eyckman No. 30 Bandung",Jalan Prof. Eyckman No. 30 ,Izin Usaha Perdagangan,Pasteur,Sukajadi,BOJONAGARA
1813,"WISMA DAGO 
Jalan Ciungwanara No. 16",Jalan Ciungwanara No. 16,Izin Usaha Perdagangan,Lebak Siliwangi,Coblong,CIBEUNYING
1814,"MAKMUR JAYA 
Jalan Jend. A Yani No. 129",Jalan Jend. A Yani No. 129,Izin Usaha Perdagangan,Kebon Pisang,Sumur Bandung,CIBEUNYING
1815,"CV. ZAHRA 
Jalan Kiaracondong No. 40-D Bandung ",Jalan Kiaracondong No. 40-D ,Izin Usaha Perdagangan,Kebonwaru,Batununggal,KAREES
1816,"PT. ISTANA BANDUNG RAYA MOTOR 
Jalan Cicendo No. 18",Jalan Cicendo No. 18,Izin Usaha Perdagangan,Babakan Ciamis,Sumur Bandung,CIBEUNYING
1817,"ANEKA 
Jalan Jend. A. Yani No. 566 Bandung",Jalan Jend. A. Yani No. 566 ,Izin Usaha Perdagangan,Babakan Surabaya,Kiaracondong,KAREES
1818,"CV. P A M A 
Jalan Girimande B-4 No. 2 Bandung",Komp. Girimande B-4 No. 2 ,Izin Usaha Perdagangan,Karang Pamulang,Mandalajati,UJUNGBERUNG
1819,"PT. BARU DAN RAPIH 
Jalan Cibolerang  No.  145  Bandung",Jalan Cibolerang  No.  145  ,Izin Usaha Perdagangan,Margasuka,Babakan Ciparay,TEGALLEGA
1820,"PT. PURAMAYA 
Jalan Srimahi Baru No. 290-4",Jalan Srimahi Baru No. 290-4,Izin Usaha Perdagangan,Ancol,Regol,KAREES
1821,"CV. VICTORY 
Jalan Atlas Raya No. 43",Jalan Atlas Raya No. 43,Izin Usaha Perdagangan,Babakan Surabaya,Kiaracondong,KAREES
1822,"CV. TRIKARYA SAMPURNA  
Jalan Sindangsari No. 56 Bandung",Jalan Sindangsari No. 56 ,Izin Usaha Perdagangan,Cipadung Kulon,Panyileukan,GEDEBAGE
1823,"LESTARI 
Jalan Paralon No. 88 Bandung",Jalan Paralon No. 88 ,Izin Usaha Perdagangan,Cigondewah Kaler,Bandung Kulon,TEGALLEGA
1824,"KOPEG DISDIK PROVINSI JAWA BARAT 
Jalan Dr. Rajiman No. 6",Jalan Dr. Rajiman No. 6,Izin Usaha Perdagangan,Pasirkaliki,Cicendo,BOJONAGARA
1825,"PT. MUKTI HAYATI PRATAMA 
Jalan PHH. Mustopa No. 44",Jalan PHH. Mustopa No. 44,Izin Usaha Perdagangan,Cikutra,Cibeunying Kidul,CIBEUNYING
1826,"CV. CITRA PRATAMA 
Jalan Wartawan II No. 21 Bandung",Jalan Wartawan II No. 21 ,Izin Usaha Perdagangan,Turangga,Lengkong,KAREES
1827,"CV. RESTU IBU 
Jalan Cibaduyut Jalan H. Nawawi No. 100- B Bandung",Jalan Cibaduyut Gang H. Nawawi No. 100- B ,Izin Usaha Perdagangan,Cibaduyut,Bojongloa Kidul,TEGALLEGA
1828,"CV. PAKUAN JAYA 
Pondok Giri Mande Blok C III No. 2 Bandung",Pondok Giri Mande Blok C III No. 2 ,Izin Usaha Perdagangan,Karang Pamulang,Mandalajati,UJUNGBERUNG
1829,"PT. ASTA KURNIA ABADI 
Jalan Yupiter Utama No. 12",Jalan Yupiter Utama No. 12,Izin Usaha Perdagangan,Sekejati,Buahbatu,GEDEBAGE
1830,"PT. SURYA KENCANA ABADI INDONESIA 
Jalan Cibuntu Selatan RT. 01 RW. 07",Jalan Cibuntu Selatan RT. 01 RW. 07,Izin Usaha Perdagangan,Warungmuncang,Bandung Kulon,TEGALLEGA
1831,"SAERAH 
Jalan Margacinta No. 8",Jalan Margacinta No. 8,Izin Usaha Perdagangan,Margasari,Buahbatu,GEDEBAGE
1832,"TIGA EMPAT LIMA 
Jalan Oto Iskandardinata No. 361",Jalan Oto Iskandardinata No. 361,Izin Usaha Perdagangan,Balonggede,Regol,KAREES
1833,"MENTARI TOYS 
Jalan Astanaanyar No. 198 B",Jalan Astanaanyar No. 198 B,Izin Usaha Perdagangan,Nyengseret,Astana Anyar,TEGALLEGA
1834,"SITI  SALON 
Jalan Sukanegara No. 4 Bandung",Jalan Sukanegara No. 4 ,Izin Usaha Perdagangan,Antapani Kidul,Antapani,UJUNGBERUNG
1835,"PT. KIRAS MANUNGGAL 
Jalan Soekarno Hatta No. 483",Jalan Soekarno Hatta No. 483,Izin Usaha Perdagangan,Cijagra,Lengkong,KAREES
1836,"PD. LAJU JAYA PUTRA 
Jalan Raya Timur No. 960",Jalan Raya Timur No. 960,Izin Usaha Perdagangan,Antapani Wetan,Antapani,UJUNGBERUNG
1837,"CV. MEGA STRUCTURE 
Jalan  Situ RT. 06/20 Bandung",Babakan Situ RT. 06/20 ,Izin Usaha Perdagangan,Margasari,Buahbatu,GEDEBAGE
1838,"CV. SINERGY CIPTA MANDIRI 
Jalan Sekneg Blok J/1 Jakarta Selatan",Komp. Sekneg Blok J/1 Jakarta Selatan,Izin Usaha Perdagangan,Burangrang,Lengkong,KAREES
1839,"CV. BERSAMA MENUJU SUKSES GRAPHICS 
Jalan Cicukang No. 11 A Bandung",Jalan Cicukang No. 11 A ,Izin Usaha Perdagangan,Caringin,Bandung Kulon,TEGALLEGA
1840,"CV. WAYNEOLOGY ENTERPRISE 
Jalan Setrasari Plaza II A.2 Bandung",Setrasari Plaza II A.2 ,Izin Usaha Perdagangan,Sukagalih,Sukajadi,BOJONAGARA
1841,"CV. ZIBUN TRADNG INDONESIA 
Jalan Ujung Berung Regency Rt. 05 RW 07",Ujung Berung Regency Rt. 05 RW 07,Izin Usaha Perdagangan,Pasirjati,Ujungberung,UJUNGBERUNG
1842,"CV. JAGAT BANDAWASA 
Jalan Kebon Bibit No. 106/58 Bandung",Jalan Kebon Bibit No. 106/58 ,Izin Usaha Perdagangan,Tamansari,Bandung Wetan,CIBEUNYING
1843,"PT. DAYA CIPTA MANUNGGAL 
Jalan Gending Jati Blok 18",Jalan Gending Jati Blok 18,Izin Usaha Perdagangan,Pasirjati,Ujungberung,UJUNGBERUNG
1844,"CV. ESTHERINDO 
Jalan Damak No. 45",Jalan Damak No. 45,Izin Usaha Perdagangan,Antapani Kidul,Antapani,UJUNGBERUNG
1845,"CV. SUKSES JAYA TEKNIK  
Jalan Karang Mulya No. 18 Bandung",Karang Mulya No. 18 ,Izin Usaha Perdagangan,Cigondewah Kaler,Bandung Kulon,TEGALLEGA
1846,"CV. SINAR CAKRA MANDIRI 
Jalan Papanggungan Blok H No. 1 Bandung",Jalan Papanggungan Blok H No. 1 ,Izin Usaha Perdagangan,Sukapura,Kiaracondong,KAREES
1847,"CV. PASIFIC SUKSES SEJAHTERA 
Jalan Ranggamalela No. 29 Bandung",Jalan Ranggamalela No. 29 ,Izin Usaha Perdagangan,Tamansari,Bandung Wetan,CIBEUNYING
1848,"CV. NIAGA PERKASA SUKSES 
Jalan Ranggamalela No. 29 Bandung",Jalan Ranggamalela No. 29 ,Izin Usaha Perdagangan,Tamansari,Bandung Wetan,CIBEUNYING
1849,"CV. NIAGA SEJAHTERA MAKMUR 
Jalan Ranggamalela No. 29 Bandung",Jalan Ranggamalela No. 29 ,Izin Usaha Perdagangan,Tamansari,Bandung Wetan,CIBEUNYING
1850,"TIRTA SANDANG 
Jalan Dulatip No. 23  Bandung",Jalan Dulatip No. 23  ,Izin Usaha Perdagangan,Kebon Jeruk,Andir,BOJONAGARA
1851,"PD. RAHMAT 
Jalan Pacuan Kuda No. 144 Bandung",Jalan Pacuan Kuda No. 144 ,Izin Usaha Perdagangan,Sukamiskin,Arcamanik,UJUNGBERUNG
1852,"PD. N A B I L A 
Jalan Cigondewah Kaler RT. 001 RW. 09 Bandung",Jalan Cigondewah Kaler RT. 001 RW. 09 ,Izin Usaha Perdagangan,Cigondewah Kaler,Bandung Kulon,TEGALLEGA
1853,"PT. YUNIA YOGA FARMA 
Jalan Pasirluyu V No. 15 Bandung",Jalan Pasirluyu V No. 15 ,Izin Usaha Perdagangan,Ancol,Regol,KAREES
1854,"RACHMAT PUTRA 
Jalan Gedebage Selatan Rt. 01/01  Bandung",Jalan Gedebage Selatan Rt. 01/01  ,Izin Usaha Perdagangan,Cisaranten Kidul,Gedebage,GEDEBAGE
1855,"PD. SUKSES BERKAH MANDIRI 
Jalan Soekarno Hatta Blk No. 622 Bandung",Jalan Soekarno Hatta Blk No. 622 ,Izin Usaha Perdagangan,Sekejati,Buahbatu,GEDEBAGE
1856,"FEBBY COLECTION 
Jalan Ciparay Jalan Askani No. 115",Jalan Ciparay Gang Askani No. 115,Izin Usaha Perdagangan,Kujangsari,Bandung Kidul,GEDEBAGE
1857,"CV. MAJU MAKMUR 
Jalan Margahayu Raya Barat Blok A 27/4 Bandung",Komp. Margahayu Raya Barat Blok A 27/4 ,Izin Usaha Perdagangan,Sekejati,Buahbatu,GEDEBAGE
1858,"PT. CAKRAYUDHA PERSADA 
Jalan Moderen Batununggal Indah Jalan RA-11",Jalan Moderen Batununggal Indah Ruko RA-11,Izin Usaha Perdagangan,Mengger,Bandung Kidul,GEDEBAGE
1859,"CV. MADHANI UTAMA 
Jalan Ijan No. 23",Gang Ijan No. 23,Izin Usaha Perdagangan,Pungkur,Regol,KAREES
1860,"CV. SURYA GALUNGGUNG 
Jalan Parakan Mas III No. 5 Bandung",Jalan Parakan Mas III No. 5 ,Izin Usaha Perdagangan,Cisaranten Kulon,Arcamanik,UJUNGBERUNG
1861,"PT. CAHAYA RAMA PRATAMA 
Jalan Kiarasari V No. 33",Jalan Kiarasari V No. 33,Izin Usaha Perdagangan,Margasari,Buahbatu,GEDEBAGE
1862,"PT. YONTOMO SUKSES ABADI 
Jalan Adiyaksa Rt. 02 Rw. 06",Jalan Adiyaksa Rt. 02 Rw. 06,Izin Usaha Perdagangan,Kujangsari,Bandung Kidul,GEDEBAGE
1863,"CV. DWIYARA PERKASA 
Jalan DR. Setiabudhi No. 113 B",Jalan DR. Setiabudhi No. 113 B,Izin Usaha Perdagangan,Gegerkalong,Sukasari,BOJONAGARA
1864,"TOKO AR-RASYID 
Jalan No. 119",Jalan No. 119,Izin Usaha Perdagangan,Babakan Tarogong,Bojongloa Kaler,TEGALLEGA
1865,"CV. AGISNA 
Jalan Sekelimus VII No. 37",Jalan Sekelimus VII No. 37,Izin Usaha Perdagangan,Batununggal,Bandung Kidul,GEDEBAGE
1866,"CV. SURYA PUTRA PERKASA 
Jalan KADAKA A 19",Jalan KADAKA A 19,Izin Usaha Perdagangan,Antapani Kulon,Antapani,UJUNGBERUNG
1867,"CV. TRI TUNGGAL 
Jalan Baladewa No. 2",Jalan Baladewa No. 2,Izin Usaha Perdagangan,Pamoyanan,Cicendo,BOJONAGARA
1868,"CV. BORNEO 
Jalan Jend. Sudirman No. 733",Jalan Jend. Sudirman No. 733,Izin Usaha Perdagangan,Cibuntu,Bandung Kulon,TEGALLEGA
1869,"DELEG CATERING 
Jalan Jalan Hurip No. 26-3",Jalan Sumber Hurip No. 26-3,Izin Usaha Perdagangan,Babakan Ciparay,Babakan Ciparay,TEGALLEGA
1870,"PERSEGI 
Jalan Pasirkaliki No. 141",Jalan Pasirkaliki No. 141,Izin Usaha Perdagangan,Pamoyanan,Cicendo,BOJONAGARA
1871,"PT. MENARA JASA INDONESIA 
Jalan Karawitan No. 89",Jalan Karawitan No. 89,Izin Usaha Perdagangan,Turangga,Lengkong,KAREES
1872,"TOKO KILAT 
Jalan Banceuy No. 57",Jalan Banceuy No. 57,Izin Usaha Perdagangan,Braga,Sumur Bandung,CIBEUNYING
1873,"PACIFIC  
Jalan 17 Agustus I No. 2",Jalan 17 Agustus I No. 2,Izin Usaha Perdagangan,Cibangkong,Batununggal,KAREES
1874,"CV. DIAN GRAHA KONTRAKTOR 
Jalan Cirenggot - Jalan Sukamulya IV No. 9 Bandung",Jalan Cirenggot - Gg. Sukamulya IV No. 9 ,Izin Usaha Perdagangan,Sukamulya,Cinambo,UJUNGBERUNG
1875,"PT. HAIER SALES INDONESIA 
Jalan Holis Raya No. 310",Jalan Holis Raya No. 310,Izin Usaha Perdagangan,Caringin,Bandung Kulon,TEGALLEGA
1876,"CV. KURNIA KARYA PRATAMA 
Jalan Cikampek 12 No. 10  Bandung",Jalan Cikampek 12 No. 10  ,Izin Usaha Perdagangan,Antapani Tengah,Antapani,UJUNGBERUNG
1877,"KAGE 
Jalan Burangrang No. 34",Jalan Burangrang No. 34,Izin Usaha Perdagangan,Burangrang,Lengkong,KAREES
1878,"MENARA 
Jalan Holis Kav 6",Jalan Holis Kav 6,Izin Usaha Perdagangan,Babakan,Babakan Ciparay,TEGALLEGA
1879,"CV. MEGALITH 
Jalan Lamping No. 11",Jalan Lamping No. 11,Izin Usaha Perdagangan,Pasteur,Sukajadi,BOJONAGARA
1880,"CV. MEGAPLAN 
Jalan Lamping No. 1",Jalan Lamping No. 1,Izin Usaha Perdagangan,Pasteur,Sukajadi,BOJONAGARA
1881,"AYAM BAKAR MAS NONO 
Jalan Setrasari Mall Blok B.3-55 Bandung",Setrasari Mall Blok B.3-55 ,Izin Usaha Perdagangan,Sukagalih,Sukajadi,BOJONAGARA
1882,"PT. DUTA USAHA ABADI 
Jalan Rancaloa Regency No. 17 Bandung",Komp. Rancaloa Regency No. 17 ,Izin Usaha Perdagangan,Cipamokolan,Rancasari,GEDEBAGE
1883,"CV. CAKRAWALA PERSADA  
Jalan Simponi No. 29 Bandung",Jalan Simponi No. 29 ,Izin Usaha Perdagangan,Cijagra,Lengkong,KAREES
1884,"Mom n Jo 
Jalan Sabang No. 40 Bandung",Jalan Sabang No. 40 ,Izin Usaha Perdagangan,Cihapit,Bandung Wetan,CIBEUNYING
1885,"PD. WAHANA RASA 
Jalan Muara Timur I Depan No. 18",Jalan Muara Timur I Depan No. 18,Izin Usaha Perdagangan,Pelindung Hewan,Astana Anyar,TEGALLEGA
1886,"PT. ATAR TRIVA LESTARI 
Jalan Kiaracondong No. 73 Bandung",Jalan Kiaracondong No. 73 ,Izin Usaha Perdagangan,Babakan Surabaya,Kiaracondong,KAREES
1887,"CV. KARYA CITRA LESTARI 
Jalan Lingkungan Industri Kecil (LIK) A-6 ",Lingkungan Industri Kecil (LIK) A-6 ,Izin Usaha Perdagangan,Mekar Mulya,Panyileukan,GEDEBAGE
1888,"PT. TIGA MANUNGGAL ANUGERAH 
Jalan Jend. A. Yani No. 114-116 Bandung",Jalan Jend. A. Yani No. 114-116 ,Izin Usaha Perdagangan,Malabar,Lengkong,KAREES
1889,"JATAYU 
Jalan Kom. Ud. Supadio No. 41 Bandung",Jalan Kom. Ud. Supadio No. 41 ,Izin Usaha Perdagangan,Husein Sastra Negara,Cicendo,BOJONAGARA
1890,"SANDANG MAKMUR TEKSTIL 
Jalan Dulatip No. 5 Bandung",Jalan Dulatip No. 5 ,Izin Usaha Perdagangan,Kebon Jeruk,Andir,BOJONAGARA
1891,"CV. RAJA BASA PERKASA 
Jalan Kopo No. 255",Jalan Kopo No. 255,Izin Usaha Perdagangan,Situsaeur,Bojongloa Kidul,TEGALLEGA
1892,"PB. SETIA ABADI 
Jalan Cikutra No. 67",Jalan Cikutra No. 67,Izin Usaha Perdagangan,Cikutra,Cibeunying Kidul,CIBEUNYING
1893,"PT. BAKTI USAHA MENANAM NUSANTARA HIJAU LESTARI 
Jalan Hasan Saputra Raya No. 2 Bandung",Jalan Hasan Saputra Raya No. 2 ,Izin Usaha Perdagangan,Turangga,Lengkong,KAREES
1894,"BINTANG AGUNG 
Jalan Holis No. 278 - D",Jalan Holis No. 278 - D,Izin Usaha Perdagangan,Caringin,Bandung Kulon,TEGALLEGA
1895,"PT. KAGUM ZODIAK SEJATI HOTELINDO 
Jalan Cihampelas No. 180",Jalan Cihampelas No. 180,Izin Usaha Perdagangan,Cipaganti,Coblong,CIBEUNYING
1896,"PT. LAMINDO UTAMA  
Jalan Margapura II No. 11 Bandung",Jalan Margapura II No. 11 ,Izin Usaha Perdagangan,Cijaura,Buahbatu,GEDEBAGE
1897,"CV. BANDUNG ARMADA PRIMA 
Jalan Leuwisari No. 26",Jalan Leuwisari No. 26,Izin Usaha Perdagangan,Kebonlega,Bojongloa Kidul,TEGALLEGA
1898,"CV. RUNA 
Jalan Gegerkalong Hilir No. 68 Bandung",Jalan Gegerkalong Hilir No. 68 ,Izin Usaha Perdagangan,Gegerkalong,Sukasari,BOJONAGARA
1899,"PT. WAHANA INTI NUANSA 
Jalan Ters. Pasir Koja No. 100",Jalan Ters. Pasir Koja No. 100,Izin Usaha Perdagangan,Jamika,Bojongloa Kaler,TEGALLEGA
1900,"CV. RAKSA BUMI 
Jalan Pasir Impun Barat MNo. 175",Jalan Pasir Impun Barat MNo. 175,Izin Usaha Perdagangan,Karang Pamulang,Mandalajati,UJUNGBERUNG
1901,"CIHAMPELAS 
Jalan Cihampelas No. 135",Jalan Cihampelas No. 135,Izin Usaha Perdagangan,Cipaganti,Coblong,CIBEUNYING
1902,"KEDAI MIE JUHI KANGKUNG 
Jalan Pasirkaliki No. 25-27 Hypersquare Blok C-29 Bandung",Jalan Pasirkaliki No. 25-27 Hypersquare Blok C-29 ,Izin Usaha Perdagangan,Kebon Jeruk,Andir,BOJONAGARA
1903,"M V D 
Jalan  Batawi No. 70 Bandung",Babakan Batawi No. 70 ,Izin Usaha Perdagangan,Pasirjati,Ujungberung,UJUNGBERUNG
1904,"CV. HENDOKI BHAKTI 
Jalan Perum Cijerah I Blok 6 No. 70",Perum Cijerah I Blok 6 No. 70,Izin Usaha Perdagangan,Cijerah,Bandung Kulon,TEGALLEGA
1905,"TOKO SINARTEX 
Jalan Jend. Sudirman No. 49",Jalan Jend. Sudirman No. 49,Izin Usaha Perdagangan,Karang Anyar,Astana Anyar,TEGALLEGA
