NO,NAMA,ALAMAT,JENIS KEGIATAN
100,CV. Bahagia,Jl. Tegel No. 1 RT. 03 RW. 05,Perdagangan
101,PT. Griya Pratama Holis Square,Jl. Holis No. 460 RT. 01 RW. 02,Toko Modern
102,PT. Wida Jaya,Bumi Asri G 39 RT. 03 RW. 09,Perdagangan Gas
103,CV. Rekayasa Teknologi Automasi,Jl. Alamanda IV No. 11 RT. 03 RW. 04,Engineering Service
104,CV. Langsar Cikal Mandiri,Bumi Asri No. 5 RT. 04 RW. 05,Perdagangan jasa
105,PT. Sinerga Nusantara Indonesia,Jl. Dirgantara X RT. 07 RW. 05,Perdagangan Industri Makanan
106,CV. Esa Persada,Jl. Gempol Asri 4 No. 30 RT. 08 RW. 10,Perdagangan jasa
107,PT. Maxpell Technology Synergi,Jl. Mirabilis V No. 20 RT. 04 RW. 04,Perdagangan alat pembakar sampah
108,CV. Aghnia,Gempolsari Indah Jl. Wijaya Kusumah 34,Perdagangan Umum
109,PT. Wikarya Persada Utama,Jl. Marga Asri 4/B No. 72 RT. 05 RW. 08,Perdagangan Umum
110,CV. Bintang Berkah,Komp Pesona Taman Burung E/7,Perdagangan jasa konsultan sipil
111,CV. Amir Jaya Barokah,Jl. Dirgantara Raya RT. 07 RW. 05,Perdagangan Umum
112,PT. Maxpell Technology Synergi,Gempolsari Indah C.V.20 RT. 04 RW. 04,Perdagangan Umum
113,PT. Wening Arum Sari,Marga Asri VI.B.B.30 RT. 01 RW. 08,Perdagangan Umum
114,CV. Pilar Kontraktor,Jl. Taman Holis Indah II No. 30,Perdagangan jasa dan pembangunan
115,CV. Naslun Saleh,Jl. Cigondewah Kaler No. 12 A,Perdagangan jasa
116,PT. Pohon Pepaya Jaya,Jl. Paralon I No. 11 RT. 03 RW. 11,Gudang
117,PD. Cahaya Baru,Karang Mulya RT. 01 RW. 08,Jual beli Kain
118,CV. Maharani,Cigondewah Kaler RT. 02 RW. 06,Kantor Administrasi
119,CV. Hegar Sumber Kreasi,Jl. Paralon RT. 03 RW. 04,Bengkel las
120,PT. Godiva Global Niaga,Taman Holis Indah E 3 No. 37,Perdagangan jasa
121,Al Fath,Jl. Cigondewah RT. 02 RW 05,Konveksi
122,Yayasan Al Fath Nur Tjuni,Jl. Cigondewah RT. 02 RW 05,Pendidikan
123,Forum Ahli Pijat Tuna Netra,Jl. Cigondewah RT. 01 RW 04,Jasa Pijat
124,CV. Berkah,KTC Jl.Cigondewah RT. 01 RW. 05,Jual beli kain
125,PT. Sumber Jaya Kharisma Mandiri,Jl. Cibolerang Barat RT. 04 RW. 01,Bengkel bubut
126,CV. Rimus Mandiri,Jl. Cigondewah,Perdagangan Umum
127,CV. Glory Jaya,Taman Holis Indah E 1 No. 7,Perdagangan toko
128,CV. Winners Stars,Taman Holis Indah 2B No. 12 RT. 03 RW. 09,Makloon
129,PT. Coffonindo Arresta,Taman Holis Indah II A.21 RT. 03 RW. 09,Kantor Perusahaan Kapas
130,CV. Athrowies,Taman Holis Indah I A No. 42A  RT. 08 RW. 05,Perdagangan Umum
