nama_hotel,melati,alamat,jumlah_kamar,no_telepon
PUSPA KENCANA,3,Jl. Siliwangi No. 10,20,2502599
PARADISE,3,Jl. Cikapundung Barat Banceuy Permai Lt.4,46,-
RIAU,3,Jl. RE Martadinata No. 191,27,7271468
RINJANI,3,Jl. Banteng No. 120,51,7305339
RINJANI I,3,Jl. Pel. Pejuang 45 No. 92A,35,7305339
RUMAH TERAS,3,Jl. Cigadung Raya Barat No.9A,14,2514406
SAMUDRA,3,Jl. Cihampelas No. 274,15,2035043
SETRA PRIANGAN,3,Jl. Setra Indah Priangan II No. 17,-,-
SAPOTA,3,Jl. Sukamaju,20,-
SELARAS,3,Jl. Taman Cibeunying Selatan No. 45,11,-
SELEKTA PERMAI,3,Jl. Pasirkaliki No. 86,38,4232279
SERENA,3,Jl. Marjuk No. 6,53,4207850
SETIABUDHI GUEST HOUSE,3,Jl. Dr. Setiabudhi No. 191,14,2012716
SETIABUDHI INDAH,3,Jl. Dr. Setiabudhi No. 266,38,2011528
SCARLET,3,Jl. Moch. Mesri No. 11,-,-
SUMMER HILL,3,Jl. Setrasari Atas No. 10,38,2007557
THE KARTIPAH,3,Jl. Ir. H. Juanda No. 319B,7,2504237
THE PALAIS,3,Jl. Ir H. Djuanda No.90,12,2501436
TIDAR,3,Jl. Gatot Subroto No. 44,36,7306933
UTARI,3,Jl. Ir. H. Juanda No 50,22,4206810
VILA DAMAR/PT. DAMAR BAGUS,3,Jl. Damar No. 7,20,-
VILLA SETIABUDHI,3,Jl. Cipaku I No. 4,20,-
WISMA ANUGRAH,3,Jl. Ciburuy No. 8,48,5201746
WISMA DAPENPOS (POSTERS),3,Jl. PHH Mustopa No. 33A,40,7206012
WISMA GALAKSI,3,Jl. Buah Batu No. 74,-,-
WISMA PENDAWA,3,Jl. Kolam No. 4-10 Ciumbuleuit,36,2031437
WISMA TARUNA,3,Jl. Lengkong Besar No. 64,27,4237343
YEHEZKIEL,3,Jl. PHH Mustopa No. 191,51,2502383
PT.BANGUN MITRA MANDIRI,3,Jl. Braga No. 99-101,-,-
PT. TJANDRAPUTRA MANDIRI KENCANA/THE VICTORIA GUEST HOUSE,3,Jl. Sukaresmi No. 4-6,38,-
PT. SERENA SERITI CABANG/ZODIAK CANCER,3,Jl. Asia Afrika No. 34,59,-
PANGLAYUNGAN  HOTEL & RESIDENCE,3,Jl Gegerkalong Hilir No. 25 B,-,-
PT.N KENCANA BATARA TITIA/BATARA,3,Jl. Cihampelas No. 112,20,-
PT.MULTI SARANA UTAMA PROPERTINDO,3,Jl. Cihampelas No. 108,-,-
NICE GUEST HOUSE,3,Jl. Hegarmanah No. 73,14,-
