"nomor_registrasi","alamat_lokasi","nama_kelurahan","nama_kecamatan"
"5195/KRK-DISTARCIP/XII-2016","SETRA DAGO UTARA RAYA NO.3","Antapani Wetan","Antapani"
"5113/KRK-DISTARCIP/XII-2016","SETRA DAGO UTARA III NO. 95","Antapani Wetan","Antapani"
"5112/KRK-DISTARCIP/XII-2016","SETRA DAGO UTARA II NO. 45","Antapani Wetan","Antapani"
"5127/KRK-DISTARCIP/XII-2016","BUMI MAS KENCANA II NO. 26","Antapani Wetan","Antapani"
"5009/KRK-DISTARCIP/XII-2016","SINDANGSARI I","Antapani Wetan","Antapani"
"4960/KRK-DISTARCIP/XII-2016","SINDANGSARI III NO. 9","Antapani Wetan","Antapani"
"4821/KRK-DISTARCIP/XII-2016","TERS JL JAKARTA NO.319","Antapani Wetan","Antapani"
"4553/KRK-DISTARCIP/XI-2016","SETRA DAGO UTARA RAYA","Antapani Wetan","Antapani"
"4552/KRK-DISTARCIP/XI-2016","SETRA DAGO UTARA VI NO.1","Antapani Wetan","Antapani"
"4155/KRK-DISTARCIP/X-2016","BLOK BUNISARI SAWAH","Antapani Wetan","Antapani"
"4093/KRK-DISTARCIP/X-2016","KOMP TANJUNG SARI ASRI RESIDENCE BLOK E NO.62","Antapani Wetan","Antapani"
"4092/KRK-DISTARCIP/X-2016","KOMP.TANJUNG SARI ASRI RESIDEN BLOK D-35","Antapani Wetan","Antapani"
"4091/KRK-DISTARCIP/X-2016","KOMP TANJUNG SARI ASRI RESIDENCE BLOK E NO.58","Antapani Wetan","Antapani"
"4090/KRK-DISTARCIP/X-2016","KOMP TANJUNG SARI ASRI RESIDENCE BLOK D - NO.5","Antapani Wetan","Antapani"
"4089/KRK-DISTARCIP/X-2016","KOMP TANJUNG SARI ASRI RESIDENCE BLOK D - NO.15","Antapani Wetan","Antapani"
"4088/KRK-DISTARCIP/X-2016","KOMP TANJUNG SARI ASRI RESIDENCE BLOK D N0.9","Antapani Wetan","Antapani"
"4087/KRK-DISTARCIP/X-2016","KOMP TANJUNG SARI ASRI RESIDENCE BLOK E NO.54","Antapani Wetan","Antapani"
"4086/KRK-DISTARCIP/X-2016","KOMP TANJUNG SARI ASRI RESIDENCE BLOK D - NO.8","Antapani Wetan","Antapani"
"4085/KRK-DISTARCIP/X-2016","KOMP TANJUNG SARI ASRI RESIDENCE BLOK D - NO.3","Antapani Wetan","Antapani"
"4083/KRK-DISTARCIP/X-2016","KOMP TANJUNG SARI ASRI RESIDENCE BLOK E NO.60","Antapani Wetan","Antapani"
"4039/KRK-DISTARCIP/X-2016","KOMP.TANJUNG SARI ASRI RESIDEN BLOK D-46","Antapani Wetan","Antapani"
"3929/KRK-DISTARCIP/X-2016","TANJUNGSARI ASRI BARAT II 1","Antapani Wetan","Antapani"
"3884/KRK-DISTARCIP/X-2016","MALANGBONG 3 NO. 15","Antapani Wetan","Antapani"
"3566/KRK-DISTARCIP/IX-2016","SETRA DAGO UTARA NO.16","Antapani Wetan","Antapani"
"3621/KRK-DISTARCIP/IX-2016","SETRA DAGO UTARA RAYA NO.27C","Antapani Wetan","Antapani"
"3491/KRK-DISTARCIP/IX-2016","SETRA DAGO UTAMA NO.20","Antapani Wetan","Antapani"
"3490/KRK-DISTARCIP/IX-2016","SETRA DAGO UTARA VI NO.31","Antapani Wetan","Antapani"
"3489/KRK-DISTARCIP/IX-2016","SETRA DAGO UTARA NO 21","Antapani Wetan","Antapani"
"3378/KRK-DISTARCIP/IX-2016","SETRA DAGO UTARA VI NO.17","Antapani Wetan","Antapani"
"3377/KRK-DISTARCIP/IX-2016","SETRA DAGO UTARA VI NO.11","Antapani Wetan","Antapani"
"3364/KRK-DISTARCIP/IX-2016","SETRA DAGO UTARA VI NO.1","Antapani Wetan","Antapani"
"3362/KRK-DISTARCIP/IX-2016","SETRA DAGO UTARA VI NO.15","Antapani Wetan","Antapani"
"3294/KRK-DISTARCIP/IX-2016","SETRA DAGO UTARA RAYA NO.25","Antapani Wetan","Antapani"
"3295/KRK-DISTARCIP/IX-2016","SETRA DAGO UTARA RAYA NO.25 C","Antapani Wetan","Antapani"
"3324/KRK-DISTARCIP/IX-2016","SETRA DAGO UTAMA NO.16","Antapani Wetan","Antapani"
"3323/KRK-DISTARCIP/IX-2016","SETRA DAGO UTAMA NO.12","Antapani Wetan","Antapani"
"3280/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTARA NO.69","Antapani Wetan","Antapani"
"3279/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTARA III NO.94","Antapani Wetan","Antapani"
"3265/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTARA RAYA NO.25A","Antapani Wetan","Antapani"
"3215/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTAMA NO.22","Antapani Wetan","Antapani"
"3214/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTAMA NO.26","Antapani Wetan","Antapani"
"3207/KRK-DISTARCIP/VIII-2016","KOMP. TANJUNG SARI RESIDENCE BLOK D-46","Antapani Wetan","Antapani"
"3206/KRK-DISTARCIP/VIII-2016","KOMP. TANJUNG SARI RESIDENCE BLOK D-35","Antapani Wetan","Antapani"
"3188/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTAMA NO.6A","Antapani Wetan","Antapani"
"3186/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTAMA NO.4A","Antapani Wetan","Antapani"
"3172/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTAMA NO.2A","Antapani Wetan","Antapani"
"3170/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTARA VI NO.29","Antapani Wetan","Antapani"
"3169/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTARA VI NO.25","Antapani Wetan","Antapani"
"3125/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTAMA NO. 27","Antapani Wetan","Antapani"
"3124/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTAMA NO. 25","Antapani Wetan","Antapani"
"3122/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTAMA NO. 23","Antapani Wetan","Antapani"
"3121/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTAMA NO. 21","Antapani Wetan","Antapani"
"3120/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTAMA NO. 18","Antapani Wetan","Antapani"
"3119/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTAMA NO. 17","Antapani Wetan","Antapani"
"3118/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTAMA NO. 14","Antapani Wetan","Antapani"
"3117/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTAMA NO. 8A","Antapani Wetan","Antapani"
"3115/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTAMA NO. 4","Antapani Wetan","Antapani"
"3116/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTAMA NO. 6","Antapani Wetan","Antapani"
"3016/KRK-DISTARCIP/VIII-2016","TANJUNGSARI I NO. 8","Antapani Wetan","Antapani"
"2985/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTARA VI NO.19","Antapani Wetan","Antapani"
"2960/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTARA VI NO.10","Antapani Wetan","Antapani"
"2959/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTARA VI NO.5","Antapani Wetan","Antapani"
"1445/KRK-DISTARCIP/IV-2016","TERUSAN JAKARTA NO.345","Antapani Wetan","Antapani"
"2902/KRK-DISTARCIP/VIII-2016","SETRA DAGO UTARA V NO. 1","Antapani Wetan","Antapani"
"2754/KRK-DISTARCIP/VII-2016","JL. AH NASUTION NO.. 928 KAV O","Antapani Wetan","Antapani"
"2726/KRK-DISTARCIP/VII-2016","SETRA DAGO UTAMA NO. 33","Antapani Wetan","Antapani"
"2579/KRK-DISTARCIP/VII-2016","KOMP TANJUNG SARI RESIDENCE BLK D NO.15 KOTA BANDUNG","Antapani Wetan","Antapani"
"2578/KRK-DISTARCIP/VII-2016","KOMP TANJUNG SARI RESIDENCE BLK D NO.3 KOTA BANDUNG","Antapani Wetan","Antapani"
"2577/KRK-DISTARCIP/VII-2016","KOMP TANJUNG SARI RESIDENCE BLK D -9 KOTA BANDUNG","Antapani Wetan","Antapani"
"2576/KRK-DISTARCIP/VII-2016","KOMP TANJUNG SARI RESIDENCE BL D -8 KOTA BANDUNG","Antapani Wetan","Antapani"
"2572/KRK-DISTARCIP/VII-2016","KOMP TANJUNG SARI RESIDENCE BLOK E N0.62 KOTA BANDUNG","Antapani Wetan","Antapani"
