Nama Sekolah,NPSN,Alamat,Kecamatan,Tingkat 1,Tingkat 2,Tingkat 3,Tingkat 4,Tingkat 5,Tingkat 6,Jumlah
SD NEGERI GURUMINDA,20245585,Jl. Indra Jaya No. 7,Kec. Arcamanik,46,44,53,42,46,41,509
SD NEGERI HALIMUN 1,20245031,Jl. Halimun No. 46,Kec. Lengkong,77,90,52,83,54,68,788
SD NEGERI HANURA,20245586,Jl. Ciwaru,Kec. Cibiru,29,35,21,22,28,15,312
SD NEGERI HARAPAN 1,20245941,Jl. Pak Gatot VI KPAD,Kec. Sukasari,22,11,16,19,20,21,231
SD NEGERI HARAPAN 2,20244874,Jl. Pak Gatot VI KPAD,Kec. Sukasari,19,20,19,18,20,20,237
SD NEGERI HAURPANCUH 1,20245587,Jl. Terusan Teuku Umar No. 87,Kec. Coblong,13,18,17,12,18,18,194
SD NEGERI HAURPANCUH 2,20245588,Jl. Terusan Teuku Umar No. 87,Kec. Coblong,14,17,13,15,16,21,201
SD NEGERI HAURPANCUH 3,20245589,Jl. Terusan Teuku Umar No. 87,Kec. Coblong,11,20,17,13,16,16,185
SD NEGERI HAURPANCUH 4,20245590,Jl. Teuku Umar No.87,Kec. Coblong,15,21,14,9,21,18,174
SD NEGERI ISOLA 1,20244878,Jl. Gegerkalong Girang No. 12,Kec. Sukasari,20,13,17,34,20,36,274
SD NEGERI ISOLA 2,20244879,Jl. Gegerkalong Girang No. 12,Kec. Sukasari,14,34,28,16,21,17,265
SD NEGERI JAKAPURWA 1,20245034,Jl. Jakapurwa No. 40,Kec. Bandung Kidul,25,41,40,25,30,42,365
SD NEGERI JAKAPURWA 2,20245035,Jl. Jakamulya No. 16,Kec. Bandung Kidul,18,42,35,38,41,35,449
SD NEGERI JALAN ANYAR,20245211,Jl. Padasuka No. 99/209 C,Kec. Cibeunying Kidul,21,17,20,20,18,14,222
SD NEGERI JAMIKA 1,20244975,Jl. Pagarsih Gg. Pa Oyon,Kec. Bojong Loa Kaler,82,92,86,53,49,62,772
SD NEGERI JATAYU 1,20245591,Jl. Komud Supadio No. 39 A,Kec. Cicendo,20,17,16,17,13,16,195
SD NEGERI JATAYU 2,20245592,Jl. Komud Supadio No. 39 A,Kec. Cicendo,16,18,12,9,12,18,186
SD NEGERI JATAYU 3,20245593,Jl. Komud Supadio No. 39 A,Kec. Cicendo,15,20,18,17,18,22,195
SD NEGERI JATAYU 4,20245594,Jl. Komud Supadio No. 39 A,Kec. Cicendo,16,17,15,15,19,17,181
SD NEGERI JATAYU 5,20245595,Jl. Komud Supadio No. 39 A,Kec. Cicendo,17,15,19,15,13,24,183
SD NEGERI JATIHANDAP,20245596,Jl. Jatihandap Gg. Masjid,Kec. Mandalajati,32,26,17,35,18,20,278
SD NEGERI JATIHANDAP 2,20245598,Jl. Jatihandap No. 50,Kec. Mandalajati,21,28,26,19,24,21,251
SD NEGERI JATIHANDAP 3,20245599,Jl. Jatihandap No. 50,Kec. Mandalajati,16,18,16,22,18,26,223
SD NEGERI JATIHANDAP 4,20245700,Jl. Jatihandap No. 50,Kec. Mandalajati,23,18,8,13,17,17,189
SD NEGERI KACAPIRING,20244880,Jl. Sukabumi Dalam No. 3,Kec. Batununggal,52,51,52,51,37,40,577
SD NEGERI KARANG MULYA 1,20245212,Jl. Rajawali Sakti No. 266,Kec. Andir,19,16,16,15,24,22,214
SD NEGERI KARANG MULYA 2,20245213,Jl. Rajawali Sakti No. 266,Kec. Andir,19,12,8,16,16,23,189
SD NEGERI KARANG MULYA 3,20245214,Jl. Rajawali Sakti No. 266,Kec. Andir,16,15,9,16,17,18,189
SD NEGERI KARANG SARI,20245217,Jl. Halteu Utara No. 149,Kec. Andir,18,28,25,17,21,20,230
SD NEGERI KARANG TARUNA 1,20245215,Jl. Halteu Utara No. 149,Kec. Andir,17,24,32,23,33,14,264
SD NEGERI KARANG TARUNA 2,20245216,Jl. Halteu Utara No. 149,Kec. Andir,39,23,21,18,17,19,274
SD NEGERI KARANGPAWULANG 1,20245036,Jl. Karawitan No. 81,Kec. Lengkong,34,32,35,41,38,42,477
SD NEGERI KARANGPAWULANG 2,20247279,Jl. Karawitan No. 81,Kec. Lengkong,18,16,19,21,44,41,310
SD NEGERI KARANGPAWULANG 3,20245037,Jl. Karawitan No. 81,Kec. Lengkong,19,29,44,21,43,50,389
SD NEGERI KARANGPAWULANG 4,20245038,Jalan Karawitan No. 81,Kec. Lengkong,16,16,18,23,23,35,273
SD NEGERI KEBON GEDANG 01,20245950,Jl. Kebon Gedang No. 82,Kec. Batununggal,30,30,26,29,30,15,330
SD NEGERI KEBON GEDANG 02,20244887,Jl. Kebon Gedang No. 82,Kec. Batununggal,30,26,22,28,21,37,326
SD NEGERI KEBON GEDANG 05,20244891,Jl. Kebon Gedang No. 82,Kec. Batununggal,20,26,28,35,30,27,344
SD NEGERI KEBON GEDANG 09,20245960,Jl. Kebon Gedang No. 82,Kec. Batununggal,18,12,18,18,33,38,266
SD NEGERI KEBON GEDANG 10,20244883,Jl. Kebon Gedang No. 82,Kec. Batununggal,22,21,19,22,20,12,208
SD NEGERI KEBON GEDANG 13,20245954,Jl. Kebon Gedang No. 82,Kec. Batununggal,17,16,20,20,14,22,210
SD NEGERI KEBON GEDANG 3,20245956,Jl. Gumuruh Belakang No.37,Kec. Batununggal,10,16,7,17,13,12,158
SD NEGERI KIARACONDONG 3,20245701,Jl. Ibrahim Adjie No. 355,Kec. Kiaracondong,28,18,22,29,22,20,289
SD NEGERI KIARACONDONG 5,20245702,Jl. Warung Jambu No. 28,Kec. Kiaracondong,42,36,32,37,28,21,415
SD NEGERI KIARACONDONG 7,20245704,Jl. Ibrahim Adjie No. 355,Kec. Kiaracondong,33,23,22,18,23,35,303
SD NEGERI KOMARA BUDI,20245705,Jl. Gunung Batu No. 30,Kec. Cicendo,38,32,35,33,28,32,385
SD NEGERI KOPO 1,20245039,Jl. Pasirkoja No. 37,Kec. Astananyar,10,18,17,15,16,17,209
SD NEGERI KOPO 2,20245040,Jl. Pasirkoja No. 37,Kec. Astananyar,16,20,17,9,12,14,162
SD NEGERI KOPO 3,20245041,Jl. Pasirkoja No. 37,Kec. Astananyar,15,22,22,19,15,19,198
SD NEGERI KOPO 4,20245042,Jl. Pasirkoja No. 37,Kec. Astananyar,9,15,16,17,17,23,190
SD NEGERI KOPO 5,20245043,Jl. Ibu Inggit Garnasih No.74/21,Kec. Astananyar,10,19,13,16,15,18,200
SD NEGERI KOPO ELOK,20245044,Jl. Buana No. 8,Kec. Babakan Ciparay,34,33,28,22,25,20,310
SD NEGERI KOTA BARU,20245218,Jl. Kota Baru III No.13,Kec. Regol,13,11,13,14,14,14,154
SD NEGERI KRESNA,20245706,Jl. Kresna No. 47,Kec. Cicendo,71,77,50,61,79,85,816
SD NEGERI KRIDAWINAYA 1,20244895,Jl. Gumuruh Blk No.37 Bandung,Kec. Batununggal,11,13,11,12,18,18,152
SD NEGERI KRIDAWINAYA 2,20245962,Jl. Gumuruh Belakang No. 37,Kec. Batununggal,16,14,18,17,17,16,206
SD NEGERI LANGENSARI 1,20245710,Jl. Pasirkaliki Barat,Kec. Coblong,13,18,10,13,20,16,163
SD NEGERI LANGENSARI 5,20245711,Jl. Pasirkaliki Barat,Kec. Coblong,10,16,10,17,16,15,166
SD NEGERI LANUMA HUSEIN SASTRANEGARA 1,20245707,Jl. Lmu Suparmin No. 1,Kec. Cicendo,13,13,16,13,19,12,161
SD NEGERI LANUMA HUSEIN SASTRANEGARA 2,20245708,Jl. Lmu Suparmin No. 1,Kec. Cicendo,14,11,20,16,15,11,163
SD NEGERI LANUMA HUSEIN SASTRANEGARA 3,20245709,Jl. Sukawarna No. 3,Kec. Cicendo,17,19,16,8,14,14,175
SD NEGERI LENGKONG BESAR 105-1,20245219,Jl. Lengkong Besar No.139,Kec. Regol,12,12,11,20,34,33,246
SD NEGERI LENGKONG BESAR 105-5,20245223,Jl. Lengkong Besar No.139,Kec. Regol,15,19,14,8,10,11,170
SD NEGERI LENGKONG BESAR 105-6,20245224,Jl. Lengkong Besar No.139,Kec. Regol,22,13,11,11,8,12,138
SD NEGERI LENGKONG BESAR 1052,20245220,Jl. Lengkong Besar,Kec. Regol,17,14,12,17,22,17,178
SD NEGERI LENGKONG BESAR 85-1,20245225,Jl. Lengkong Besar No.139,Kec. Regol, -   ,12,9,10,14,12,113
SD NEGERI LENGKONG KECIL,20245045,JL. LENGKONGKECIL No.55 KOTA BANDUNG 40261,Kec. Lengkong,17,27,13,36,33,23,305
SD NEGERI LEUWIANYAR 1,20244978,Jl. Leuwianyar,Kec. Bojong Loa Kidul,18,25,21,24,23,22,251
SD NEGERI LEUWIANYAR 2,20244979,"Jl. Leuwianyar, Komp Leuwianyar",Kec. Bojong Loa Kidul,30,16,16,24,25,20,241
SD NEGERI LEUWIPANJANG,20244980,Jl. Muarasari Raya No. 49,Kec. Bojong Loa Kidul,87,103,81,71,73,87,990
SD NEGERI LOKAJAYA 1,20245712,Jl. A.H. Nasution Km. 9 No. 7,Kec. Arcamanik,25,32,37,24,28,23,341
SD NEGERI LOKAJAYA 2,20245713,Jl. A.h. Nasution Km. 9 No. 7,Kec. Arcamanik,29,34,27,47,16,22,386
SD NEGERI LUGINASARI 1,20245963,Jl. Sukagalih Komplek Polri,Kec. Sukajadi,25,28,17,24,29,15,244
SD NEGERI LUGINASARI 2,20245964,Komplek Asrama Polri,Kec. Sukajadi,28,30,18,39,27,21,316
SD NEGERI MARGACINTA 1,20246410,Jl. Marga Indah I,Kec. Buah Batu,17,17,27,24,24,21,272
SD NEGERI MARGACINTA 2,20246411,Jl. Marga Indah I,Kec. Buah Batu,24,23,18,27,22,21,243
SD NEGERI MARGAHAYU RAYA 1,20245226,Jl. Pluto Utara Blok G No. 73,Kec. Buah Batu,21,29,19,23,12,15,232
SD NEGERI MARGAHAYU RAYA 2,20246407,Jl. Pluto Utara Blok G No. 73,Kec. Buah Batu,25,19,18,15,17,19,244
SD NEGERI MARGAHAYU RAYA 3,20245227,Jl. Margahayu Raya Pluto Utara No 73,Kec. Buah Batu,21,26,16,20,20,18,249
SD NEGERI MARGAHAYU RAYA BLOK I/II-01,20246408,Jl. Jupiter No. 92 A,Kec. Buah Batu,30,43,58,53,55,57,602
SD NEGERI MARGAHAYU RAYA BLOK I/II-02,20246409,Jl. Jupiter No. 92 A,Kec. Buah Batu,40,41,36,53,65,60,632
SD NEGERI MARGAHAYU UTARA 1,20245046,Jl. Cibolerang No. 185,Kec. Babakan Ciparay,36,34,39,36,43,30,427
SD NEGERI MARGAHAYU UTARA 2,20245047,Jl. Cibolerang No. 185,Kec. Babakan Ciparay,21,18,20,10,19,21,221
SD NEGERI MARGAHAYU UTARA 3,20245048,Jl. Cibolerang No. 185,Kec. Babakan Ciparay,16,19,17,19,19,19,219
SD NEGERI MARGASARI 1,20246412,Jl. Rancasawo No. 50,Kec. Buah Batu,20,19,19,20,15,17,226
SD NEGERI MARGASARI 2,20245228,Jl. Rancasawo Komplek Pindad,Kec. Buah Batu,12,15,27,30,28,28,310
SD NEGERI MEKARGALIH,20245714,Jl. Sekemala No. 73,Kec. Ujungberung,43,33,34,25,33,27,381
SD NEGERI MEKARJAYA,20245715,Jl. Cisaranten Baru N0. 21,Kec. Arcamanik,38,43,48,39,44,36,456
SD NEGERI MENGGER,20245049,Jl. Terusan Sukaati No. 21,Kec. Bandung Kidul,26,20,29,18,40,28,342
SD NEGERI MENGGER GIRANG 1,20245229,Jl. Mengger Girang Iii No. 4,Kec. Regol,30,27,37,25,16,22,323
SD NEGERI MENGGER GIRANG 2,20245230,Jl. Mengger Girang III No. 4,Kec. Regol,14,11,18,23,21,17,205
SD NEGERI MERDEKA 5-1,20245231,Jl. Merdeka No. 9,Kec. Sumur Bandung,18,23,13,18,18,20,228
SD NEGERI MERDEKA 5-2,20245232,Braga Sumur Bandung,Kec. Sumur Bandung,17,19,15,26,25,27,231
SD NEGERI MERDEKA 5-3,20245233,Jl. Merdeka No. 9,Kec. Sumur Bandung,13,20,19,26,16,22,220
SD NEGERI MERDEKA 5-4,20245235,Jl. Merdeka No. 9,Kec. Sumur Bandung,19,19,20,23,20,24,218
SD NEGERI MERDEKA 5-5,20245236,Jl. Merdeka No. 9,Kec. Sumur Bandung,15,18,15,16,20,18,209
SD NEGERI MERDEKA 5-6,20245716,Jl. Merdeka No. 9,Kec. Sumur Bandung,18,21,15,23,16,28,225
SD NEGERI MOHAMAD TOHA 1,20245238,Jl. Mohamad Toha No. 22,Kec. Regol,12,15,21,17,20,20,214
SD NEGERI MOHAMAD TOHA 2,20245239,Jl. Mohamad Toha No. 22,Kec. Regol,13,20,14,18,17,40,232
SD NEGERI MOHAMAD TOHA 3,20245240,Jl. Mohamad Toha No. 22,Kec. Regol,19,21,16,19,19,21,235
SD NEGERI MOHAMAD TOHA 4,20245241,Jl. Mohamad Toha No. 22,Kec. Regol,10,11,31,14,18,22,229
SD NEGERI MUARARAJEUN 1,20245242,Jl. Muararajeun No. 26,Kec. Cibeunying Kaler,23,17,14,43,15,19,259
SD NEGERI MUARARAJEUN 2,20245243,Jl. Muararajeun No. 26,Kec. Cibeunying Kaler,23,17,21,28,22,22,254
SD NEGERI NEGLASARI 2,20245718,Jl. Raya Sadang Serang,Kec. Coblong,14,17,40,22,23,17,272
SD NEGERI NEGLASARI 3,20245719,Jl. Raya Sadang Serang,Kec. Coblong,13,19,18,23,25,26,235
SD NEGERI NEGLASARI 4,20245720,Jl. Raya Sadang Sari No. 1,Kec. Coblong,28,35,21,20,22,16,298
SD NEGERI NEGLASARI 5,20245721,Jl. Raya Sadang Serang,Kec. Coblong,21,24,17,22,20,26,250
SD NEGERI NEGLASARI I,20245717,Jl. Sadang Serang,Kec. Coblong,13,26,26,13,24,19,226
SD NEGERI NILEM 1,20245050,Jl. Nilem No. 10,Kec. Lengkong,21,22,35,27,42,35,363
SD NEGERI NILEM 3,20245052,Jl. Nilem No. 10,Kec. Lengkong,15,19,27,38,22,32,277
SD NEGERI NUGRAHA,20245722,Jl. Parakan Saat No. 45,Kec. Arcamanik,29,30,41,30,21,13,319
SD NEGERI PABAKI 01,20245054,Jl. Pabaki No. 33,Kec. Astananyar,37,36,41,37,39,41,427
SD NEGERI PABAKI 03,20245057,Jl. Pabaki No. 33,Kec. Astananyar,40,35,31,39,25,37,432
SD NEGERI PABAKI 06,20245060,Jl. Pabaki No. 33,Kec. Astananyar,39,35,37,37,41,32,430
SD NEGERI PABAKI 08,20245062,Jl. Pabaki No. 33,Kec. Astananyar,39,35,37,42,38,28,427
SD NEGERI PADASUKA 1,20245247,Jl. Padasuka No. 90 Bandung,Kec. Cibeunying Kidul,17,18,11,13,18,16,208
SD NEGERI PADASUKA 2,20245248,Jl. Padasuka No. 90,Kec. Cibeunying Kidul,15,19,16,14,16,18,213
SD NEGERI PADASUKA 3,20245249,Jl. Padasuka No. 90,Kec. Cibeunying Kidul,17,19,13,22,25,22,217
SD NEGERI PADASUKA 4,20245250,Jl.padasuka No.90,Kec. Cibeunying Kidul,17,19,14,16,20,17,204
SD NEGERI PADASUKA 5,20245251,Jl. Padasuka No. 90,Kec. Cibeunying Kidul,11,20,12,22,13,17,196
SD NEGERI PADASUKA 6,20245252,Jl. Padasuka No. 90,Kec. Cibeunying Kidul,16,11,13,18,16,12,191
SD NEGERI PADASUKA 7,20245253,Jl. Padasuka No. 90,Kec. Cibeunying Kidul,17,12,14,12,24,16,192
SD NEGERI PAGARSIH 1,20245064,Jl. Pagarsih No. 77,Kec. Astananyar,19,18,21,25,24,21,243
SD NEGERI PAGARSIH 2,20244986,Jl. Pagarsih No. 77,Kec. Astananyar,18,13,18,17,22,16,219
SD NEGERI PAGARSIH 5,20245066,Jl. Pagarsih No. 77,Kec. Astananyar,14,19,10,21,15,11,179
SD NEGERI PAGARSIH 6,20245067,Jl. Pagarsih No. 77,Kec. Astananyar,15,19,22,16,17,15,201
SD NEGERI PAJAGALAN 31,20247280,Jl. Pajagalan No. 43,Kec. Astananyar,23,39,32,22,38,32,417
SD NEGERI PAJAGALAN 47-1,20245068,Jl.pasirkoja No.37,Kec. Astananyar,18,14,15,16,11,13,204
SD NEGERI PAJAGALAN 47-2,20245069,Jl. Pasirkoja No. 37,Kec. Astananyar,15,19,28,15,17,22,221
SD NEGERI PAJAGALAN 47-3,20245070,Jl. Pasirkoja No. 37,Kec. Astananyar,16,22,22,20,15,17,211
SD NEGERI PAJAJARAN,20245727,Jl. Pajajaran No. 58,Kec. Cicendo,36,35,23,31,12,32,325
SD NEGERI PALEDANG,20245729,JLN. NAGROG III RT. 04 RW. 09,Kec. Ujungberung,67,52,60,49,54,56,615
SD NEGERI PAMOYANAN,20245254,Jl. Moch. Toha Belakang No. 325,Kec. Regol,45,38,45,46,35,40,521
SD NEGERI PANGGUNGSARI 1,20245731,Jl. Cikoang,Kec. Ujungberung,40,37,32,42,38,52,439
SD NEGERI PANGGUNGSARI 2,20245732,Jl. Cikoang,Kec. Ujungberung,29,34,33,21,18,23,301
SD NEGERI PANGHEGAR,20245723,Jl. Pamekar Barat No. 5,Kec. Panyileukan,40,49,38,41,27,35,427
SD NEGERI PANORAMA 1,20245244,Jl. Hegarmanah No. 152,Kec. Cidadap,18,18,19,15,20,23,194
SD NEGERI PANORAMA 2,20245245,Jl. Hegarmanah No. 152,Kec. Cidadap,7,29,20,21,16,27,213
SD NEGERI PANORAMA 3,20245246,Jl. Hegarmanah No. 152,Kec. Cidadap,13,11,15,8,20,20,158
SD NEGERI PANYILEUKAN 1,20245724,Komp. Bumi Panyileukan F.1,Kec. Panyileukan,47,29,40,45,45,53,483
SD NEGERI PANYILEUKAN 2,20245725,Komp. Bumi Panyileukan F.1,Kec. Panyileukan,37,33,43,47,39,55,485
SD NEGERI PANYILEUKAN 3,20245726,Komp. Bumi Panyileukan G.15 No. 23,Kec. Panyileukan,40,58,54,55,54,57,630
SD NEGERI PARAKANWAAS,20245072,Jl. Waas Ii No. 94 B,Kec. Bandung Kidul,16,17,21,18,12,18,175
SD NEGERI PASAWAHAN 1,20245073,Jl. Mochamad Toha No. 383,Kec. Bandung Kidul,19,24,24,19,17,20,233
SD NEGERI PASAWAHAN 3,20245074,Jl. Muhamad Toha No. 383,Kec. Bandung Kidul,19,25,16,18,22,17,224
SD NEGERI PASAWAHAN 4,20245075,Jl. Muhamad Toha No. 383,Kec. Bandung Kidul,20,13,17,19,19,17,230
SD NEGERI PASAWAHAN 6,20245076,Jl. Mochamad Toha No. 383,Kec. Bandung Kidul,23,19,20,14,18,19,226
SD NEGERI PASIR IMPUN 1,20245733,Jl. Pasir Impun No. 23,Kec. Mandalajati,33,38,28,35,38,35,432
SD NEGERI PASIR IMPUN 2,20245734,Jl. Pasir Impun No. 23,Kec. Mandalajati,21,23,19,17,15,13,212
SD NEGERI PASIRKALIKI 139-1,20245740,Jl. Pasirkaliki Belakang No. 179,Kec. Cicendo,20,15,16,20,15,15,198
SD NEGERI PASIRKALIKI 139-2,20245741,Jl. Pasirkaliki Belakang No. 179,Kec. Cicendo,20,14,18,21,20,17,201
SD NEGERI PASIRKALIKI 2,20245735,Jl. Karya I No. 18,Kec. Cicendo,27,33,34,25,26,37,369
SD NEGERI PASIRKALIKI 4,20245736,Jl. Gunung Batu No. 30 A,Kec. Cicendo,16,22,23,14,21,28,234
SD NEGERI PASIRKALIKI 7,20245737,Jl. Babakan Cianjur No. 81,Kec. Cicendo,39,41,41,38,48,40,484
SD NEGERI PASIRKALIKI 96-1,20245742,Jl. Hos Cokroaminoto No. 110,Kec. Cicendo,17,10,21,23,23,20,202
SD NEGERI PASIRKALIKI 96-2,20245743,Jl. Hos Cokroaminoto No. 110,Kec. Cicendo,17,13,15,17,23,21,204
SD NEGERI PASIRKALIKI 96-3,20245744,Jl. Hos Cokroaminoto No. 110,Kec. Cicendo,12,14,17,21,20,19,208
SD NEGERI PASIRLUYU 1,20245255,Jl. Pasirluyu No.164 / 205 A,Kec. Regol, -   , -   , -   , -   ,12,17,52
SD NEGERI PASIRLUYU 2,20246459,Jl. Pasirluyu No.164 / 205 A,Kec. Regol,41,31,39,30,17,11,312
SD NEGERI PASIRLUYU 3,20245256,Jl. Pasirluyu No.164 / 205 A,Kec. Regol, -   , -   , -   , -   ,12,16,67
SD NEGERI PASIRPOGOR,20246413,Jl. Pasir Suci No. 8,Kec. Rancasari,80,88,71,88,93,96,"1,048"
SD NEGERI PATRAKOMALA,20245745,Jl. Patrakomala No.63,Kec. Sumur Bandung,35,33,41,44,39,44,432
SD NEGERI PELESIRAN,20245749,Jl. Pelesiran No. 36,Kec. Coblong,31,36,30,36,39,32,391
SD NEGERI PELITA,20245257,Jl. Rajamantri Kidul No. 4,Kec. Lengkong,77,71,59,87,63,73,821
SD NEGERI PELITA 1,20245747,Jl. Desa Cipadung,Kec. Cibiru,17,32,35,49,28,27,336
SD NEGERI PELITA 2,20245748,Jl. Desa Cipadung,Kec. Cibiru,40,30,23,26,28,31,313
SD NEGERI PERUMNAS CIJERAH 1,20244899,Jl. Cijerah Barat No. 04,Kec. Bandung Kulon,25,26,36,26,26,30,331
SD NEGERI PERUMNAS CIJERAH 2,20244900,Jl. Cijerah No. 232,Kec. Bandung Kulon,50,47,37,57,44,38,505
SD NEGERI PERUMNAS CIJERAH 3,20244901,Jl. Cijerah Barat No. 04,Kec. Bandung Kulon,27,16,33,24,37,29,353
SD NEGERI PINDAD 1,20245751,Jl. Papanggungan No. 01,Kec. Kiaracondong,15,22,18,19,17,24,212
SD NEGERI PINDAD 2,20245752,Jl. Papanggungan No. 01,Kec. Kiaracondong,14,22,21,17,22,18,224
SD NEGERI PINDAD 3,20245753,Jl. Papanggungan No. 01,Kec. Kiaracondong,14,17,16,25,23,17,224
SD NEGERI PRAKARSA 1,20245754,Jl. Parakan Saat No. 45,Kec. Arcamanik,37,24,20,30,25,21,301
SD NEGERI PRAKARSA 2,20245755,Jl. Parakan Saat No. 45,Kec. Arcamanik,20,31,34,25,22,22,289
SD NEGERI PUTRACO INDAH,20245077,Jl. Rajamantri Kaler No. 25,Kec. Lengkong,12,11,18,21,17,21,151
SD NEGERI RANCABOLANG 1,20246414,Jl. Rancabolang Indah No. 1,Kec. Rancasari,19,22,20,20,20,17,228
SD NEGERI RANCABOLANG 2,20246415,Jl. Rancabolang Indah No. 1,Kec. Rancasari,22,17,12,18,24,22,240
SD NEGERI RANCABOLANG 3,20246416,Jl. Rancabolang Indah No. 1,Kec. Rancasari,22,20,16,24,22,21,235
SD NEGERI RANCABOLANG 4,20245258,Jl. Rancabolang Indah No. 1,Kec. Rancasari,21,25,16,19,12,23,232
SD NEGERI RANCALOA,20245756,Jl. Cipamokolan No. 62,Kec. Rancasari,154,128,158,133,117,142,"1,604"
SD NEGERI RANCASAGATAN,20245759,Jl. Rancasagatan 1,Kec. Gedebage,12,23,22,17,21,16,220
SD NEGERI RANCASAWO 1,20246417,Jl. Rancasawo No. 50,Kec. Buah Batu,16,18,25,20,26,20,243
SD NEGERI RANCASAWO 2,20246418,Jl. Rancasawo No. 50,Kec. Buah Batu,19,18,14,22,17,23,224
SD NEGERI RANCASAWO 3,20245259,Jl. Rancasawo No. 50,Kec. Buah Batu,18,10,21,19,12,31,240
SD NEGERI RAYA BARAT 1,20245078,Jl. Jendral Sudirman No. 587,Kec. Babakan Ciparay,55,62,64,55,60,55,682
SD NEGERI RAYA BARAT 2,20245079,Jl. Jendral Sudirman No. 587,Kec. Babakan Ciparay,51,61,44,38,42,52,548
SD NEGERI SALUYU 1,20245262,Jl. Cimuncang Dalam No. 52,Kec. Cibeunying Kidul,15,22,14,24,17,18,232
SD NEGERI SALUYU 2,20245263,Jl. Cimuncang Dalam No. 52,Kec. Cibeunying Kidul,23,19,19,17,18,25,226
SD NEGERI SALUYU 3,20245264,Jl. Cimuncang Dalam No. 52,Kec. Cibeunying Kidul,18,24,19,20,10,23,224
SD NEGERI SARIJADI 03,20244903,Jl. Sarimanis Blok 17,Kec. Sukasari,13,21,26,15,17,13,191
SD NEGERI SARIJADI 04,20245970,Jl. Sarimanis Blok 17,Kec. Sukasari,18,21,24,18,22,26,270
SD NEGERI SARIJADI 05,20245971,Komp. Perum Sarijadi Blok 4 No. 100,Kec. Sukasari,14,6,5,8,22,11,129
SD NEGERI SARIJADI 07,20244907,Komp. Perum Sarijadi Blok 8 No. 11,Kec. Sukasari,40,25,39,33,18,27,344
SD NEGERI SARIJADI SELATAN 1,20245260,"Jl. Sarimadu Bawah, Sarijadi Blok 26",Kec. Sukajadi,16,15,19,22,15,28,232
SD NEGERI SARIJADI SELATAN 2,20245261,"Jl. Sarimadu Bawah, Sarijadi Blok 26",Kec. Sukajadi,24,14,19,21,19,30,268
SD NEGERI SAYURAN 1,20244909,Kp. Sayuran No. 74,Kec. Bandung Kulon,24,24,25,21,17,19,268
SD NEGERI SAYURAN 2,20244910,Jl. Sindangsari Kp. Sayuran No. 36,Kec. Bandung Kulon,17,20,14,17,13,18,206
SD NEGERI SAYURAN 3,20244911,Jl. Sindangsari Kp. Sayuran No. 36,Kec. Bandung Kulon,16,18,18,21,26,19,220
SD NEGERI SAYURAN 4,20244912,Jl. Kp. Sayuran No. 74,Kec. Bandung Kulon,24,26,24,22,21,18,274
SD NEGERI SAYURAN 5,20244913,Kp. Sayuran No. 74,Kec. Bandung Kulon,18,24,19,20,21,23,250
SD NEGERI SEJAHTERA 1,20245980,Jl. Sejahtera No. 12,Kec. Sukajadi,46,42,52,43,46,57,568
SD NEGERI SEJAHTERA 4,20245982,Jl. Sejahtera No. 12,Kec. Sukajadi,54,66,70,69,63,74,789
SD NEGERI SEKEJATI 1,20245760,Jl. Cidurian Utara No. 18,Kec. Kiaracondong,13,13,20,17,24,15,190
SD NEGERI SEKEJATI 2,20245761,Jl. Cidurian Selatan No. 18,Kec. Kiaracondong,15,19,24,10,12,12,175
SD NEGERI SEKEJATI 3,20245762,Jl. Cidurian Utara No. 22,Kec. Kiaracondong,19,18,21,24,28,23,246
SD NEGERI SEKEJATI 4,20245763,Jl. Cidurian Utara No. 22,Kec. Kiaracondong,21,23,26,27,20,15,241
SD NEGERI SEKEJATI 6,20245764,Jl. Cidurian Utara No. 22,Kec. Kiaracondong,23,22,25,16,27,15,223
SD NEGERI SEKELIMUS 1,20245084,Jl. Ters. Buahbatu Gg. Anyelir,Kec. Bandung Kidul,29,27,29,28,27,17,304
SD NEGERI SEKELIMUS 2,20245085,Jl. Ters. Buahbatu Gg. Anyelir,Kec. Bandung Kidul,12,4,11,11,11,18,127
SD NEGERI SEKELOA 1,20245765,Jl. Sekeloa Utara No. 30 A,Kec. Coblong,21,19,16,13,23,19,236
SD NEGERI SEKELOA 2,20245766,Jl. Sekeloa Utara No. 30 A,Kec. Coblong,19,21,21,17,15,22,215
SD NEGERI SENANGGALIH,20245767,Kp. Pasirkaliki Barat,Kec. Coblong,14,14,15,14,14,12,167
SD NEGERI SINDANGLAYA 1,20245768,Jl. Arcamanik No. 28,Kec. Mandalajati,28,34,25,21,18,18,312
SD NEGERI SINDANGLAYA 2,20245769,Jl. A.h. Nasution Km.9 No. 15,Kec. Mandalajati,10,21,22,18,13,17,198
SD NEGERI SINDANGLAYA 4,20245771,Jl. A.h. Nasution Km.9 No. 15,Kec. Mandalajati,20,22,18,19,22,21,234
SD NEGERI SINDANGLAYA 5,20245772,Jl. A. H. Nasution KM. 9 No. 15,Kec. Mandalajati,16,17,17,17,31,18,214
SD NEGERI SINDANGLAYA 6,20245773,Jl. A.H. Nasution Km.9 No. 15,Kec. Mandalajati,9,16,14,16,22,21,197
SD NEGERI SINDANGLAYA 8,20245774,Jl. Arcamanik No. 28,Kec. Mandalajati,21,21,20,22,16,24,244
