npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan_nama,Column,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20245700,SD NEGERI JATIHANDAP 4,SD,SD / sederajat,Jl. Jatihandap  No. 50,3,4,,Jatihandap,Kec. Mandalajati,-6.8996,107.6576,Tidak ada,Aktif,Pemerintah Pusat
20219578,SD ISTIQAMAH,SD,SD / sederajat,Jl. Taman Citarum,0,0,,Citarum,Kec. Bandung Wetan,-6.9047,107.6212,Tidak ada,Tidak Aktif,Yayasan
20245818,SD NEGERI TIKUKUR 2,SD,SD / sederajat,Jl. Titimplik No. 1,4,7,,Sadang Serang,Kec. Coblong,-6.8971,107.6217,Tidak ada,Aktif,Pemerintah Daerah
20245010,SD NEGERI BABAKAN CIPARAY 21,SD,SD / sederajat,Jl. Kopo No. 440,6,1,,Babakan Ciparay,Kec. Babakan Ciparay,-6.949,107.5873,Tidak ada,Aktif,Pemerintah Daerah
20245197,SD NEGERI GARUDA 2,SD,SD / sederajat,Jl. Dadali No. 5 Kota Bandung,6,2,Jl. Dadali No. 5 Bandung,Garuda,Kec. Andir,-6.9093,107.5854,Tidak ada,Aktif,Pemerintah Daerah
20219601,SD CEMARA,SD,SD / sederajat,Jl. Cemara Selatan No. 358 / 181,0,0,,Pasteur,Kec. Sukajadi,-6.8853,107.5989,Tidak ada,Tidak Aktif,Yayasan
20219536,SD BPI,SD,SD / sederajat,Jl. HALIMUN NO. 40 RT.02 RW.05,2,9,Lingkar Selatan,Lingkar Selatan,Kec. Lengkong,-6.926,107.6213,"C1, D",Tidak Aktif,Yayasan
20245116,SD NEGERI BHAKTI WINAYA 4,SD,SD / sederajat,Jl. Pasirjaya Vi No. 1,3,5,Pasir Luyu,Pasirluyu,Kec. Regol,-6.9411,107.6212,Tidak ada,Aktif,Lainnya
20244949,SD NEGERI BANDUNGKULON 1,SD,SD / sederajat,Jln Cibadak Gg Ibu Aisah No. 16/9a Bandung,2,3,,Cibadak,Kec. Astanaanyar,-6.9216,107.5925,Tidak ada,Aktif,Pemerintah Pusat
20245741,SD NEGERI PASIRKALIKI 139-2,SD,SD / sederajat,Jl. Pasirkaliki Belakang No. 179,2,6,,Pamoyanan,Kec. Cicendo,-6.9017,107.5967,Tidak ada,Aktif,Lainnya
20244848,SD NEGERI CIJEROKASO 1,SD,SD / sederajat,Jl. Sarijadi Raya No.73,4,1,Cijerokaso,Sarijadi,Kec. Sukasari,-6.8711,107.5809,Tidak ada,Aktif,Lainnya
20219606,SD DIAN KENCANA,SD,SD / sederajat,Jl. BKR No. 167,3,9,Cigereleng,Cigereleng,Kec. Regol,-6.9375,107.6084,Tidak ada,Tidak Aktif,Yayasan
20245579,SD NEGERI GRIYA BUMI ANTAPANI 23,SD,SD / sederajat,Jl. Banjarsari IV No. 1,5,19,,Antapani Tengah,Kec. Antapani,-6.918,107.6655,Tidak ada,Aktif,Pemerintah Daerah
20245788,SD NEGERI SUKAPURA 02,SD,SD / sederajat,Jl. Manglayang I No. I,2,6,,Palasari,Kec. Cibiru,-6.9071,107.7305,Tidak ada,Aktif,Pemerintah Daerah
20245822,SD NEGERI TILIL 1,SD,SD / sederajat,Jl. Puyuh No. 2,0,0,,Sadang Serang,Kec. Coblong,-6.8982,107.6232,Tidak ada,Aktif,Pemerintah Daerah
20244943,SD NEGERI BABAKAN TAROGONG 1,SD,SD / sederajat,Jl. Kopo No.256,2,1,,Suka Asih,Kec. Bojong Loa Kaler,-6.9385,107.5937,Tidak ada,Aktif,Pemerintah Pusat
20245477,SD NEGERI BANJARSARI 3,SD,SD / sederajat,Jl. Merdeka No. 22,2,6,,Babakan Ciamis,Kec. Sumur Bandung,-6.9133,107.6106,Tidak ada,Aktif,Pemerintah Pusat
20245761,SD NEGERI SEKEJATI 2,SD,SD / sederajat,Jl. Cidurian Utara No. 18,2,10,,Sukapura,Kec. Kiaracondong,-6.9402,107.6533,Tidak ada,Aktif,Lainnya
20245544,SD NEGERI CITEPUS 4,SD,SD / sederajat,Jl. Astana Eyang,9,6,,Pajajaran,Kec. Cicendo,-6.9022,107.5886,Tidak ada,Aktif,Pemerintah Daerah
20245982,SD NEGERI SEJAHTERA 4,SD,SD / sederajat,Jl. Sejahtera No. 12,4,9,,Pasteur,Kec. Sukajadi,-6.8931,107.6009,Tidak ada,Aktif,Pemerintah Daerah
20247257,SDK TRIMULIA HITS,SD,SD / sederajat,Jl. Dr. Djunjunan No. 105,2,3,Pajajaran,Pajajaran,Kec. Cicendo,-6.8953,107.5899,Tidak ada,Tidak Aktif,Yayasan
20245513,SD NEGERI CICAHEUM 2,SD,SD / sederajat,Jl. Antapani No. 44,2,3,Cicaheum,Cicaheum,Kec. Kiaracondong,-6.9186,107.6616,Tidak ada,Aktif,Pemerintah Daerah
20245038,SD NEGERI KARANGPAWULANG 4,SD,SD / sederajat,Jalan Karawitan No. 81,0,0,,Turangga,Kec. Lengkong,-6.9001,107.6337,Tidak ada,Aktif,Pemerintah Daerah
20245542,SD NEGERI CITEPUS 2,SD,SD / sederajat,Jl. Astana Eyang,9,6,,Pajajaran,Kec. Cicendo,-6.9022,107.5887,Tidak ada,Aktif,Pemerintah Daerah
20245710,SD NEGERI LANGENSARI 1,SD,SD / sederajat,Jl. Pasirkaliki Barat,10,15,,Sadang Serang,Kec. Coblong,-6.8967,107.6304,Tidak ada,Aktif,Pemerintah Daerah
20219846,SD MALEBER BARAT,SD,SD / sederajat,Jl. Maleber Barat Gg. Wibawa V No. 7,5,6,,Maleber,Kec. Andir,-6.9106,107.5765,Tidak ada,Tidak Aktif,Yayasan
