NO,TANGGAL,TAHUN,TEMPAT,LEVEL,KATEGORI,PENGHARGAAN,PEMBERI,PENERIMA,PEMILIK PRESTASI
58,5/25/2014,2015,SURABAYA,NASIONAL,BADAN,JUARA 3 PADA PAMERAN INVESMENT INDUSTRY & TRADE CREATIVE EXPO,PT. VISI SINERGI ANTARNUSA,BAPPEDA,BAPPEDA
59,,2015,,NASIONAL,BADAN,JUARA 3 KOTA CERDAS INDONESIA,"KOMPAS, ITB, PT. TELKOM, KEMENINFO, PT. PGN",BAPPEDA,KOTA BANDUNG
60,4/21/2015,2015,JAKARTA,NASIONAL,PD,PERPAMSI AWARD,PERPAMSI (MENPUPERA),PDAM TIRTAWENING,PDAM TIRTAWENING
61,6/5/2015,2015,BOGOR,NASIONAL,PD,PELAKU LINGKUNGAN DALAM HARI LINGKUNGAN HIDUP DI ISTANA BOGOR,PRESIDEN RI,PD KEBERSIHAN,PETUGAS PENYAPU JALAN
62,7/12/2015,2015,KUPANG,NASIONAL,PD,TOKOH KUKM,KEMENTRIAN KUKM,PD KEBERSIHAN,KETUA KOPERASI PD KEBERSIHAN
63,,2015,BOGOR,NASIONAL,PD,INDONESIA PLATINUM AWARD AS THE FIRST FAVOURITE BPR,YAYASAN EMAS INDONESIA,PD BPR,PD BPR
64,,2015,JAKARTA,NASIONAL,PD,THE ADMIRED BANKING SATISFACTION TO CUSTOMER,PUSAT REKOR INDONESIA,PD BPR,PD BPR
65,5/8/2015,2015,BANDUNG,NASIONAL,PD,THE MOST RELIABLE BANKING & QUALITY SERVICE TO CUSTOMER OF THE YEAR,PENGHARGAAN REKOR INDONESIA,PD BPR,PD BPR
66,,2015,SEMARANG,NASIONAL,PD,THE BEST INDONESIAN LEADER AWARD,FORUM KOMUNIKASI WARTAWAN INDONESIA (FKWI),PD BPR,PD BPR
67,,2015,BANDUNG,NASIONAL,PD,THE BEST BANKING & FINANCE SERVICE EXCELLENT OF THE YEAR 2014,WORLD ACHIEVEMENT ASSOCIATION,PD BPR,PD BPR
68,1/16/2015,2015,JAKARTA,NASIONAL,PD,THE MOST OPTIMISTIC CEO,MAJALAH ECONOMIC REVIEW,PD BPR,PD BPR
69,1/16/2015,2015,JAKARTA,NASIONAL,PD,PERINGKAT 1 BIDANG FINANCE PROFIT,MAJALAH ECONOMIC REVIEW,PD BPR,PD BPR
70,,2015,,NASIONAL,DINAS,SATYA LENCANA WIRA KARYA,PRESIDEN RI,DINAS KUKM INDAG,KETUA KOPERASI KARYAWAN PEGAWAI KOTA BANDUNG
71,,2015,,NASIONAL,DINAS,SATYA LENCANA WIRA KARYA,PRESIDEN RI,DINAS KUKM INDAG,"KETUA KOPERASI KARYAWAN PT. BCA, Tbk ""MITRA SEJAHTERA"", BANDUNG"
72,,2015,,NASIONAL,DINAS,KOPERASI BERPRESTASI TINGKAT NASIONAL,,DINAS KUKM INDAG,PRIMKOP KARTIKA DHARMAGATI SILIWANGI
73,,2015,,NASIONAL,DINAS,KOPERASI BERPRESTASI TINGKAT NASIONAL,,DINAS KUKM INDAG,KOPMA STIE EKUITAS
74,,2015,,NASIONAL,DINAS,KOPERASI BERPRESTASI TINGKAT NASIONAL,,DINAS KUKM INDAG,KOPKAR RS MUHAMMADIYAH AL BAROKAH
75,,2015,,NASIONAL,DINAS,KOPERASI BERPRESTASI TINGKAT NASIONAL,,DINAS KUKM INDAG,KOPKAR PT. BANK JABAR BANTEN ZIEBAR
76,,2015,,NASIONAL,DINAS,KOPERASI AWARD TINGKAT NASIONAL,,DINAS KUKM INDAG,KOPKAR PT. BANK JABAR BANTEN ZIEBAR
77,,2015,GARUT,NASIONAL,DINAS,JUARA 2 STAND TERBAIK,PAMERAN INDUSTRI KREATIF PARAHYANGAN CILINARY FESTIVAL,DINAS KUKM INDAG,DINAS KUKM INDAG
78,,2015,,NASIONAL,DINAS,JUARA FAVORIT LOMBA KREASI CIPTA MENU OLAHAN PANGAN KATEGORI TP PKK,INA CRAFT,DINAS KUKM INDAG,DINAS KUKM INDAG
79,,2015,,NASIONAL,DINAS,JUARA 1 BEST PRODUCT STONE,INA CRAFT,DINAS KUKM INDAG,DINAS KUKM INDAG
80,5/15/2015,2015,BANDUNG,NASIONAL,DINAS,APRESIASI ATAS INOVASI PENGGUNAAN MEDIA ONLINE SABILULUNGAN.GO.ID UNTUK TRANSPARANSI DAN AKUNTABILITAS PENYALURAN DANA HIBAH DAN BANTUAN SOSIAL DI PEMKOT BANDUNG,KEMENTRIAN PAN-RB,DPKAD,DPKAD
81,8/13/2015,2015,JAKARTA,NASIONAL,PIMPINAN,PERINGKAT KE-3 INDEKS KOTA CERDAS INDONESIA,"KOMPAS, ITB & PGN",WALIKOTA,PEMKOT
82,8/13/2015,2015,JAKARTA,NASIONAL,PIMPINAN,DIASPORA PUBLIC SERVICE OF EXCELLENCE AWARD 2015,DIASPORA INDONESIA,WALIKOTA,PEMKOT
83,7/31/2015,2015,JAKARTA,NASIONAL,PIMPINAN,KEPALA DAERAH INOVATIF 2015,MEDIA NUSANTARA CITRA (MNC),WALIKOTA,WALIKOTA
84,6/12/2015,2015,JAKARTA,NASIONAL,PIMPINAN,"INDONESIA ATTRACTIVENESS AWARD (KOTA TERBAIK KATEGORI INFRASTRUKTUR, KOTA TERBAIK KATEGORI PARIWISATA, 4 BESAR KOTA DEGAN PENILAIAN KESELURUHAN TERBAIK)",TEMPO MEDIA GROUP,WALIKOTA,PEMKOT
85,5/6/2015,2015,JAKARTA,NASIONAL,PIMPINAN,MERIT AWARD OF E-BLUSUKAN,INDONESIA DIGITAL SOCIETY (IDSA),KADISKOMINFO,PEMKOT
86,5/26/2015,2015,JAKARTA,NASIONAL,PIMPINAN,MARKETEER OF THE YEAR 2015,MARKPLUS,WALIKOTA,RIDWAN KAMIL
87,4/21/2015,2015,JAKARTA,NASIONAL,PIMPINAN,PERPAMSI AWARD,PERPAMSI (MENPUPERA),WAKIL WALIKOTA,PDAM TIRTAWENING
88,3/19/2015,2015,JAKARTA,NASIONAL,PIMPINAN,GOVERNMENT AWARD,SINDO WEEKLY,WALIKOTA,PEMKOT
89,3/19/2015,2015,JAKARTA,NASIONAL,PIMPINAN,OBSESSION AWARD (BEST REGIONAL ACHIEVER),OBSESSION NEWS GROUP,WALIKOTA,PEMKOT
90,2015,2015,,INTERNASIONAL,PIMPINAN,KOTA DESIGN DUNIA (CITY OF DESIGN) ,UNESCO,WALIKOTA,BANDUNG
91,2015,2015,,INTERNASIONAL,PIMPINAN,FINALIS SMART CITY (SPAIN),,,
92,6/13/2015,2015,BANDUNG,INTERNASIONAL,PIMPINAN,"PENGHARGAAN DARI FOREIGN POLICY COMMUNITY OF INDONESIA (FPCI) ANNUAL CONFERENCE 2015 DINILAI TELAH BERHASIL MENERAPKAN KEPEMIMPINAN YANG INOVATIF, JUGA ATAS VISINYA MEMBAWA INDONESIA KHUSUSNYA KOTA BANDUNG LEBIH DIKENAL DI MATA INTERNASIONAL",FOREIGN POLICY COMMUNITY OF INDONESIA,WALIKOTA,PEMKOT
93,,2015,,INTERNASIONAL,DINAS,PENGHARGAAN ASIAN AFRICAN CARNIVAL SEBAGAI ANGKLUNG OF THE WORLD ,GUINESS BOOK OF WORLD RECORD,DISBUDPAR,DISBUDPAR
94,,2014,BANDUNG,PROPINSI,BADAN,JUARA 1 LOMBA KESRAK PKK KB KES,GUBERNUR JAWA BARAT,BKBPM,BKBPM
95,,2014,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 2 LOMBA CIPTA MENU B2SA TINGKAT PROPINSI JABAR,PROPINSI JAWA BARAT,KECAMATAN RANCASARI,KECAMATAN RANCASARI
96,,2014,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 1 LOMBA B2SA PROPINSI JABAR KATEGORI MENU OLAHAN IKAN,PROPINSI JAWA BARAT,KECAMATAN RANCASARI,KECAMATAN RANCASARI
97,12/23/2014,2014,BANDUNG,PROPINSI,PIMPINAN,PENGHARGAAN JAMINAN SOSIAL AWARD 2014,BPJS,WALIKOTA,PEMKOT
98,11/17/2014,2014,BANDUNG,PROPINSI,PIMPINAN,PENGHARGAAN DARI TNI AD KB-KES TERPADU KODAM III/SILIWANGI,KODAM III/ SILIWANGI,WALIKOTA,PEMKOT
99,10/17/2014,2014,BANDUNG,PROPINSI,PIMPINAN,"RASKIN AWARD 2014
TINGKAT PROPINSI JAWA BARAT",GUBERNUR JABAR,WAKIL WALIKOTA,PEMKOT
100,8/19/2014,2014,BANDUNG,PROPINSI,PIMPINAN,PENGHARGAAN GUBERNUR JAWA BARAT SEBAGAI PEMENANG PELAYANAN TERPADU SATU PINTU (PTSP) KATEGORI BAIK KABUPATEN/KOTA SE-JAWA BARAT.,PROPINSI JAWA BARAT,WAKIL WALIKOTA,PEMKOT
101,3/30/2014,2014,KUNINGAN,PROPINSI,PIMPINAN,JUARA UMUM MTQ JAWA BARAT KE-33,PROPINSI JAWA BARAT,WALIKOTA,PEMKOT
102,,2014,,PROPINSI,DINAS,JUARA KE 1 SEPAK BOLA  LIGA NGABUBURIT,PROPINSI JAWA BARAT,DISYANJAK,DISYANJAK
103,11/17/2014,2014,BANDUNG,PROPINSI,KEWILAYAHAN,PEMENANG LOMBA DESA/ KELURAHAN SADAR HUKUM TAHUN 2014,PROPINSI JAWA BARAT,KECAMATAN CIBEUNYING KALER,KECAMATAN CIBEUNYING KALER
104,11/17/2014,2014,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA HARAPAN LOMBA KELURAHAN TINGKAT PROPINSI JAWA BARAT TAHUN 2014,PROPINSI JAWA BARAT,KECAMATAN CIBEUNYING KALER,KECAMATAN CIBEUNYING KALER
105,,2014,,PROPINSI,KEWILAYAHAN,JUARA 1 LOMBA  UKS,PEMKOT BANDUNG,KECAMATAN LENGKONG,KECAMATAN LENGKONG
106,,2014,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 3 LOMBA  ECO OFFICE,PEMKOT BANDUNG,KECAMATAN BUAHBATU,KECAMATAN BUAHBATU
107,,2014,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 1 LOMBA PADUAN SUARA,PROPINSI JAWA BARAT,KECAMATAN BUAHBATU,TP PKK KECAMATAN BUAHBATU
108,,2014,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 1 JUARA PKBM DIWAKILI PKBM NUSA BANGSA,PRIANGAN,KECAMATAN BUAHBATU,CIJAWURA
109,,2014,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 3 LOMBA HASTA KARYA,,SMPN 34 BANDUNG,SMPN 34 BANDUNG
110,,2014,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 3 LOMBA KARAOKE LAGU PMR,,SMPN 34 BANDUNG,SMPN 34 BANDUNG
111,,2014,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 2 LOMBA KARAOKE LAGU PMR,,SMPN 34 BANDUNG,SMPN 34 BANDUNG
112,,2014,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 1 LOMBA KARAOKE LAGU PMR,,SMPN 34 BANDUNG,SMPN 34 BANDUNG
113,,2014,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 1 LOMBA POSTER DORAS,,SMPN 34 BANDUNG,SMPN 34 BANDUNG
114,,2014,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 1 LOMBA KEPEMIMPINAN,,SMPN 34 BANDUNG,SMPN 34 BANDUNG
115,,2014,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 1 LOMBA PERAWATAN KELUARGA,,SMPN 34 BANDUNG,SMPN 34 BANDUNG
116,,2014,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA UMUM BERGILIR TRAVELLING,,SMPN 34 BANDUNG,SMPN 34 BANDUNG
117,,2014,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 1 DONGENG SUNDA,,SMPN 34 BANDUNG,SMPN 34 BANDUNG
118,,2014,BANDUNG,PROPINSI,BADAN,"JUARA 3 KATEGORI KABUPATEN/ KOTA PENYELENGGARA MANAJEMEN KEPEGAWAIAN YANG BERMUTU, AKUNTABEL, INOVATIF DAN KREATIF (BAIK) KLASTER 1 TINGKAT JAWA BARAT",GUBERNUR JAWA BARAT,BKD,BKD
119,,2014,,PROPINSI,DINAS,"PASANGGIRI MUSIK, TARI DAN TEATER TINGKAT JAWA BARAT ZONA PRIANGAN II JAWA BARAT",,DISBUDPAR,EGA ROBOT PERCUSSION
120,,2014,,PROPINSI,DINAS,"PASANGGIRI MUSIK, TARI DAN TEATER TINGKAT JAWA BARAT GRAND FINAL",,DISBUDPAR,SARAH WARADIANTI
121,,2014,,PROPINSI,DINAS,JUARA HARAPAN I FESTIVAL MUSIK ETNIS KOLABORASI GARUT,,DISBUDPAR,
122,,2014,,PROPINSI,DINAS,JUARA HARAPAN 2 HELARAN HUT KOTA SUKABUMI,,DISBUDPAR,
123,,2014,,PROPINSI,DINAS,BINOJAKRAMA PADALANGAN WAYANG PURWA SE - JAWA  BARAT,,DISBUDPAR,
124,,2014,,PROPINSI,DINAS,"JAJAKA JUARA PINILIH  I DAN HARAPAN II MOJANG, MOJANG JAJAKA JAWA BARAT",,DISBUDPAR,RIZKI RAMADHAN DAN VIKA ANDINA
125,,2014,,PROPINSI,DINAS,PENGHARGAAN SASTRA RANCAGE (YAYASAN RANCAGAGE),,DISBUDPAR,ABDULLAH MUSTAPPA DAN MAJALAH MANGLE
126,,2014,,PROPINSI,DINAS,ANUGERAH INOVATIF BIDANG KEBUDAYAAN,,DISBUDPAR,YUS WIRADIREDJA
127,,2014,,PROPINSI,DINAS,PENGHARGAAN BUDAYA JAWA BARAT,PROPINSI JAWA BARAT,DISBUDPAR,DR. NINA HERLINA LUBIS DAN SAYUDI (ALM)
128,,2014,,PROPINSI,DINAS,PENGHARGAAN BPJS AWARD TK. PROPINSI JUARA 1,BPJS,DISNAKER,PT. PINDAD
129,8/8/2014,2014,BANDUNG,PROPINSI,KEWILAYAHAN,KEPALA SEKOLAH BERPRESTASI TINGKAT SMP,GUBERNUR JABAR,KEPALA SMKN 13,SMKN 13
130,12/26/2014,2014,JAKARTA,NASIONAL,BADAN,JUARA 1 LOMBA GRAND PRIX MARCHING BAND,PRESIDEN RI,BKBPM,BKBPM
131,12/25/2014,2014,JAKARTA,NASIONAL,BADAN,JUARA 2 LOMBA MARCHING BAND CHAMPIONSHIP,PRESIDEN RI,BKBPM,BKBPM
132,,2014,BANDUNG,NASIONAL,BADAN,JUARA 1 LOMBA KESRAK PKK KB KES,WAKIL PRESIDEN RI,BKBPM,BKBPM
133,11/7/2014,2014,PALEMBANG,NASIONAL,PIMPINAN,PERSIB JUARA LIGA SUPER,PSSI,WALIKOTA,PERSIB
134,11/10/2014,2014,BANDUNG,NASIONAL,PIMPINAN,PENGHARGAAN DARI RMOL,KANTOR BERITA RMOL,WALIKOTA,PEMKOT
135,10/20/2014,2014,BANDUNG,NASIONAL,PIMPINAN,PENGHARGAAN RESIDENCE INDONESIA AWARD SEBAGAI INSPIRING PERSON 2014,MAJALAH RESIDENCE INDONESIA ,WALIKOTA,RIDWAN KAMIL
136,12/9/2014,2014,BANDUNG,NASIONAL,PIMPINAN,PENGHARGAAN PEMERINTAH DAERAH DENGAN  UNIT PENGENDALIAN GRATIFIKASI (UPG) TERBAIK 2014.,KPK,WALIKOTA,PEMKOT
137,12/9/2014,2014,BANDUNG,NASIONAL,PIMPINAN,PENGHARGAAN PEMERINTAH DAERAH DGN JUMLAH LAPORAN GRATIFIKASI TERBANYAK DAN 100 PERSEN TEPAT WAKTU 2014,KPK,WALIKOTA,PEMKOT
138,12/9/2014,2014,BANDUNG,NASIONAL,PIMPINAN,PENGHARGAAN PENGGERAK KOPERASI 2014,MENTERI KOPERASI DAN UKM,WALIKOTA,PEMKOT
139,10/23/2014,2014,BANDUNG,NASIONAL,PIMPINAN,SINDO TRIJAYA AWARD 2014 KATEGORI KEPALA DAERAH INOVATIF ,SINDO TRIJAYA ,WALIKOTA,PEMKOT
140,9/10/2014,2014,JAKARTA,NASIONAL,PIMPINAN,WAHANA TATA NUGRAHA BIDANG ANGKUTAN DAN LALU LINTAS KATEGORI KOTA METROPOLITAN,MENTERI PERHUBUNGAN,WALIKOTA,PEMKOT
141,6/12/2014,2014,SURABAYA,NASIONAL,PIMPINAN,PENGHARGAAN PAKARTI MADYA III TINGKAT NASIONAL,KETUA UMUM TIM PENGGERAK PKK PUSAT ,IBU WALIKOTA,TP PKK
