id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
8311175,"Belanja Modal Pengadaan Laptop",20000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Pengadaan Perlengkapan Peralatan Aparatur",Barang/jasa,Barang,2,"Kelurahan Sukapada","Tersedianya Laptop pada Kelurahan Sukapada",APBD," 20000000",1.20.1.20.18.06.02.12.5.2.3.29.02,"Pengadaan Langsung",25-11-2016,30-11-2016,30-11-2016,30-12-2016
8420059,"Pembuatan Gapura Jl. Citamiang RW 07",10050000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,"1 Kegiatan","Kelurahan Sukamaju","Tersedianya gapuran pada bahan baku bangunan",APBD," 10050000",1.22.1.20.18.05.22.01,"Pengadaan Langsung",05-12-2016,31-12-2016,31-12-2016,31-12-2016
7128119,"Penerangan Jalan/gang RW.06",4400000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Cikutra","Tersedianya Penerangan Jalan/Gang RW 06",APBD," 4400000",1.20.1.20.18.03.22.01.5.2.2.02.01,"Pengadaan Langsung",01-02-2016,29-02-2016,01-03-2016,01-11-2016,"Belanja Penerangan Jalan/Gang rw 06 (6912938) "
7144952,"Belanja Alat Tulis Kantor",1240000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitas Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Sukamaju","Tersedianya Alat Tulis Kantor RW 05 pada Belanja alat tulis kantor",APBD," 1240000",1.20.1.20.18.05.22.01.5.2.2.01.01,"Pengadaan Langsung",01-01-2016,31-12-2016,01-01-2016,31-12-2016,"Belanja Alat Tulis Kantor RW 05 (6969856) "
7128488,"Perbaikan Jalan/Gang & Gorong-Gorong",40250000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Cicadas","Tersedianya Perbaikan jalan/Gang & Gorong-gorong RW 14 pada Belanja Bahan Baku Bangunan",APBD," 40250000",1.20.1.20.18.04.22.01.5.2.2.02.01,"Pengadaan Langsung",01-01-2016,31-12-2016,01-01-2016,31-12-2016,"Belanja Perbaikan Jalan/Gang & Gorong-gorong RW 14 (6901692) "
7133917,"	
Papan Pengumunan Lingkup PKK PIPPK",8000000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Penyediaan Peralatan dan Perlengkapan Kantor",Barang/jasa,Barang,"2 Unit","Kelurahan Padasuka","Tersedianya Plang Nama (Lingkup PKK/PIPPK pada Belanja Modal dan Peralatan Mesin-Pengadaan Alat Kantor Lainnya",APBD," 8000000",1.20.1.20.18.02.01.13.5.2.3.27.05,E-Purchasing,01-01-2016,31-12-2016,01-04-2016,31-12-2016,"Belanja Plang Nama (Lingkup PKK/PIPPK) (6879004) "
7129271,"Perbaikan Jalan/Pengaspalan/Hotmix",58835000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Modal,Barang,1,"kelurahan Sukamaju","Tersedianya perbaikan Jalan/pengaspalan/hotmix/cikaso barat rw 04 pada belanja bahan baku bangunan",APBD," 58835000",1.20.1.20.18.05.22.01.5.2.2.02.01,"Pengadaan Langsung",01-01-2016,31-12-2016,01-01-2016,31-12-2016,"Belanja Perbaikan Jalan /Pengaspalan/Hotmix Cikaso Barat RW 04 (6956248) "
7128227,"Rehab Balai Serba Guna RW",40000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Sukapada","Tersedianya Gedung Serba Guna",APBD," 40000000",1.20.1.20.18.06.22.01.5.2.2.02.01,"Pengadaan Langsung",01-01-2016,31-12-2016,01-01-2016,31-12-2016
7326592,"Pembuatan Taman(Vertical Garden)",5000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Cicadas","Tersedianya Pembuatan Taman (Vertical Garden) RW 02 pada Belanja Bahan Baku Bangunan",APBD," 5000000",1.20.1.20.18.04.22.01.5.2.2.02.01,"Pengadaan Langsung",01-01-2016,31-12-2016,01-01-2016,31-12-2016,"Pembuatan Taman(Vertical Garden) (7128414) "
7128130,"Perbaikan Gang",35830000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Sukapada","Tersedianya gang",APBD," 35830000",1.20.1.20.18.06.22.01.5.2.2.02.01,"Pengadaan Langsung",01-01-2016,31-12-2016,01-01-2016,31-12-2016
7133780,"	
Proyektor + Attachment Lingkup RW PIPPK (RW 01, 03, 04, 05, 06, 09, 10, 14)",48000000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Penyediaan Peralatan dan Perlengkapan Kantor",Barang/jasa,Barang,"8 Unit","Kelurahan Padasuka","Tersedianya Proyektor pada Belanja Modal peralatan dan Mesin Pengadaan Peralatan Studio Virtual",APBD," 48000000",1.20.1.20.18.02.01.13.5.2.3.31.01,E-Purchasing,01-01-2016,31-12-2016,01-05-2016,31-12-2016,"Belanja Modal Pengadaan Proyektor (Lingkup RW PIPPK) RW 01,03,04,05,06,09,10,14 (6886844) "
