npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan,desa_kelurahan_nama,,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20219459,SMP GEMA PANCASILA,SMP,SMP / sederajat,Sekemala ,2,11,Sekemala,Pasanggrahan,,Kec. Ujungberung,-6.9048,107.7234,Tidak ada,Tidak Aktif,Yayasan
20219353,SMP YPKKP,SMP,SMP / sederajat,Jl.Cijerah No. 230,5,5,,CIJERAH,Cijerah,Kec. Bandung Kulon,-6.9598,107.6351,Tidak ada,Tidak Aktif,Yayasan
20219340,SMP NEGERI 14,SMP,SMP / sederajat,Jl. Lapangan Supratman No.8,5,6,,Cihapit,Cihapit,Kec. Bandung Wetan,-6.9079,107.6303,Tidak ada,Aktif,Pemerintah Daerah
20219374,SMP YAMI,SMP,SMP / sederajat,Jl.karasak Baru No.16,3,2,,KARASAK,Karasak,Kec. Astanaanyar,-6.95,107.6094,Tidak ada,Tidak Aktif,Yayasan
69935557,SMP TEMASEK INDEPENDENT SCHOOL,SMP,SMP / sederajat,Jl. Sindang Sirna No. 8,3,5,,Gegerkalong,,Kec. Sukasari,,,Tidak ada,Tidak Aktif,Yayasan
20219337,SMP NEGERI 1,SMP,SMP / sederajat,Jl.Ksatriaan No.12,3,6,,Arjuna,Arjuna,Kec. Cicendo,-6.911764,107.596702,Tidak ada,Aktif,Pemerintah Daerah
20219450,SMP KARTIKA XIX-1,SMP,SMP / sederajat,Jl. Bangka No. 3,4,1,,Merdeka,Merdeka,Kec. Sumur Bandung,-6.912951,107.618535,Tidak ada,Tidak Aktif,Yayasan
20219401,SMP NEGERI 40,SMP,SMP / sederajat,Jl. Wastukencana No. 75 A,5,18,Nangkasuni,Taman Sari,Taman Sari,Kec. Bandung Wetan,-6.9056,107.6068,Tidak ada,Aktif,Pemerintah Daerah
20219448,SMP KARTIKA X-1,SMP,SMP / sederajat,Jljend.gatot Subroto,6,8,,LINGKAR SELATAN,Lingkar Selatan,Kec. Lengkong,-6.9291,107.6343,Tidak ada,Tidak Aktif,Yayasan
20219378,SMP NEGERI 50,SMP,SMP / sederajat,Jl. Pasirjati No. 12,2,10,,Cigending,Cigending,Kec. Ujungberung,-6.907434,107.697285,Tidak ada,Aktif,Pemerintah Pusat
20219487,SMP PUTRA PAJAJARAN,SMP,SMP / sederajat,Jl. Pajajaran Blk No.37,4,4,,PASIRKALIKI,Pasirkaliki,Kec. Cicendo,-6.906,107.593,Tidak ada,Tidak Aktif,Yayasan
20219366,SMP WARINGIN,SMP,SMP / sederajat,Jl. Kebonjati No. 209,1,13,,CIROYOM,Ciroyom,Kec. Andir,-6.915,107.5995,Tidak ada,Tidak Aktif,Yayasan
20219328,SMP NEGERI 23,SMP,SMP / sederajat,Jl.arjuna No.20-22,3,1,,CIROYOM,Ciroyom,Kec. Andir,-6.915,107.5893,Tidak ada,Aktif,Lainnya
20219190,SMPI AL WASLIYAH,SMP,SMP / sederajat,Jl Kawaluyaan,5,6,,jatisari,Jati Sari,Kec. Buahbatu,-6.9537,107.6685,Tidak ada,Tidak Aktif,Lainnya
20219426,SMP LPPN,SMP,SMP / sederajat,Kota Bandung,1,7,,CIROYOM,Ciroyom,Kec. Andir,-6.9157,107.5855,Tidak ada,Tidak Aktif,Yayasan
20219368,SMP YOS SUDARSO,SMP,SMP / sederajat,Jln.Mohamad Toha,0,0,,PUNGKUR,Pungkur,Kec. Regol,-6.9289,107.6063,Tidak ada,Tidak Aktif,Yayasan
20219199,SMP COKROAMINOTO,SMP,SMP / sederajat,Jl. Leuwipanjang Gg. Kebon Lega II,9,1,KEBON LEGA II,KEBON LEGA,Kebon Lega,Kec. Bojong Loa Kidul,-6.9425,107.5981,"C1, D",Tidak Aktif,Yayasan
20219195,SMP BPI 1,SMP,SMP / sederajat,Jl. Burangrang No.8 Bandung,2,4,,Burangrang,Burangrang,Kec. Lengkong,-6.9238,107.6201,Tidak ada,Tidak Aktif,Yayasan
