nama_aplikasi,pemilik,tautan,status,jenis_platform,kepemillikan
Mobile USSI,PD BPR,,dioperasikan,mobile,sendiri
Modul Penerimaan Pajak Daerah,Disyanjak,,dioperasikan,web,sendiri
Monitoring AMR,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Monitoring anggaran dan kegiatan,Disdik,,diujicoba,web,sendiri
Monitoring Persediaan Meter,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Muhadi,K/L Pusat,,tidak operasional,desktop,dari pusat
Multimedia Promosi Sentra Industri,DInas KUKM Indag,,dioperasikan,web,sendiri
Musrenbang RKPD Online,Bappeda,,dioperasikan,web,sendiri
Online Pengujian Kendaraan Bermotor,DISHUB,,diujicoba,web,sendiri
Overbooking Information System,PDAM Tirtawening,,dioperasikan,desktop,sendiri
P-Care,K/L Pusat,,dioperasikan,web,dari pusat
Pajak PPH21,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Payment Gateway Pembayaran Pajak,Disyanjak,,dioperasikan,web,sendiri
PBB Go Public,Disyanjak,,dibangun,web,sendiri
Pelayanan & Pengelolaan SOR GOR,DISPORA,,dibangun,web,sendiri
Pembatalan Transaksi Pembayaran Rekening Via PT Pos,PDAM Tirtawening,,dioperasikan,multiplatform,sendiri
Pendaftaran Yayasan Online,Dinsos,,direncanakan,web,sendiri
Penerima Pendapatan Retribusi Daerah,DISPORA,,dibangun,web,sendiri
penerimaan peserta didik baru online,Disdik,,dioperasikan,web,sendiri
Pengaduan Distribusi,PDAM Tirtawening,,dioperasikan,desktop,sendiri
"Pengawasan & Pengendalian SOR,GOR & GT",DISPORA,,dibangun,web,sendiri
Perbendaharaan (SP2D),DPKAD,,direncanakan,web,sendiri
Persediaan Barang,K/L Pusat,,dioperasikan,web,dari pusat
Persuratan,Disdik,,diujicoba,web,sendiri
PIP - Kementerian Pertanian RI,K/L Pusat,http://m.pip.kementan.org/,dioperasikan,web,dari pusat
Portal Kota Bandung,Diskominfo,https://portal.bandung.go.id/,dioperasikan,multiplatform,sendiri
Prodeskel PMD (Sistem Infromasi Desa dan Kelurahan),BKBPPM,,dioperasikan,web,sendiri
Program Rekon Harian Otomatis PDAM dengan Pos dan Mitracomm,PDAM Tirtawening,,dioperasikan,desktop,sendiri
Program Unggulan Disdik,Disdik,,dioperasikan,web,sendiri
Pxp,Kapusarda,,tidak operasional,web,sendiri
Rapot Sekolah,Disdik,,dioperasikan,web,sendiri
