nama_dewan,partai_politik,dapil,kecamatan_dapil,tahun,usulan_reses,skpd,program,kegiatan,volume,lokasi,anggaran_skpd,status
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Pengerukan dan Normalisasi Saluran Kali Ciliwus Ii Yang Ada Di Tpa Pasar Burung,Dinas Bina Marga dan Pengairan,-,-,-,"TPA PASAR SUKAHAJI, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Revitalisasi Taman,Dinas Pemakaman dan Pertamanan,-,-,-,"JL SUMBER SARI INDAH RT 03 RW 10 KEL BABAKAN KEC BACIP SAMPING GERIA SUMBER SARI INDAH, KEL., KEC.",0,Belum Diproses
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Perbaikan Saluran Air Kotor,Dinas Bina Marga dan Pengairan,-,-,-,"RT 01, 02, 03, 04, 05, 06 DAN 07 RW 06 KELURAHAN BABAKAN KECAMATAN BACIP, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Perbaikan Saluran Air Kotor,Dinas Bina Marga dan Pengairan,-,-,-,"RT 01, 02, 03, 04, 05, 06 DAN 07 RW 06 KELURAHAN BABAKAN KECAMATAN BACIP, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Kirmir dan Perbaikan Dasar Air Limbah,Dinas Bina Marga dan Pengairan,-,-,-,"RT 01, 02, 03, 04, 05, 06 DAN 07 RW 06 KELURAHAN BABAKAN KECAMATAN BACIP, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Perbaikan Jalan,Dinas Bina Marga dan Pengairan,-,-,-,"DILINGKUNGAN RW.01 RW. 03 KEL.MARGASUKA KEC. BACIP, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Kebutuhan Air Bersih,Dinas Tata Ruang dan Cipta Karya,Program Lingkungan Sehat Perumahan,Kegiatan Penyediaan Sarana Air Bersih dan Sanitasi Dasar Terutama bagi Masyaraka Miskin,-,"RT 06 RW 03 KEL MARGASUKA KEC BABAKAN CIPARAY, KEL., KEC.",30000000,Diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Kebutuhan Air Bersih,Dinas Tata Ruang dan Cipta Karya,Program Lingkungan Sehat Perumahan,Kegiatan Penyuluhan dan Pengawasan Kualitas Lingkungan Sehat Perumahan,-,"ERUSAN HOLIS RT05 RW 09 KEL. MARGAHAYU UTARA KEC. BABAKAN CIPARAY, KEL., KEC.",30000000,Diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Rutilahu,Dinas Tata Ruang dan Cipta Karya,Program Pengembangan Perumahan,Kegiatan Fasilitasi dan Stimulasi Pembangunan Perumahan Masyarakat Kurang Mampu,-,"KP PASIRKOJA RT03/03 KELURAHAN PASIRKOJA KECAMATAN BABAKAN CIPARAY, KEL., KEC.",20000000,Diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Pengaspalan Jalan,Dinas Bina Marga dan Pengairan,-,-,-,"PERUMAHAN PRATISTA TAMAN SAKURA JL SAKURA INDAH , SAKURA HEGAR, SAKURA UTAMA , SAKURA ELOK, SAKURA PER, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Pengerukan Solokan,Dinas Bina Marga dan Pengairan,-,-,-,"RT.05 RW.05 GG .ELOS KEC. BABAKAN CIPARAY, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Pengerukan Solokan,Dinas Bina Marga dan Pengairan,-,-,-,"RT.05 RW.05 GG .ELOS KEC. BABAKAN CIPARAY, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Perbaikan Saluran Air Kotor,Dinas Bina Marga dan Pengairan,-,-,-,"RT 01, 02, 03, 04, 05, 06 DAN 07 RW 06 KELURAHAN BABAKAN KECAMATAN BACIP, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Pembangunan Kirmir,Dinas Bina Marga dan Pengairan,-,-,-,"RT.05 RW.05 GG .ELOS KEC. BABAKAN CIPARAY, KEL., KEC.",0,Tidak diakomodir
"FOLMER SISWANTO M. SILALAHI,  S.T",PDI Perjuangan,Kota Bandung 6,"Babakan Ciparay, Bojongloa Kaler, Astana Anyar, Bandung Kulon, Bojongloa Kidul",2015,Saluran Air,Dinas Bina Marga dan Pengairan,-,-,-,"RT.04, 05, 07 RW. 05 KEC. BABAKAN CIPARAY, KEL., KEC.",0,Tidak diakomodir
