Nama Lembaga,Jenis Satuan,No. NPSN/NILEK/  NILEM,Status,Alamat,Kelurahan,Kecamatan,PTK_LakiLaki,PTK_Perempuan,Siswa_LakiLaki,Siswa_Perempuan
KUNTUM MEKAR,TK,20255102,Swasta,CITAMIANG N0. 43,Cicadas,Cibeunying Kidul,0,2,7,4
KARTIKA X-I,TK,20255106,Swasta,JL PRAMUKA 2 PPI BANDUNG ,Cicadas,Cibeunying Kidul,0,0,30,40
AL FAJAR,TK,20255109,Swasta,JL. ASEP BERLIAN NO 21,Cicadas,Cibeunying Kidul,0,6,28,32
PG-SANTO YUSUP,TK,20255113,Swasta,JALAN CIKUTRA NO 5,Cikutra,Cibeunying Kidul,0,8,6,10
FALAASIFAH,TK,20255116,Swasta,JALAN SEKEPANJANG 1 NO.60,Cikutra,Cibeunying Kidul,0,4,11,12
AISYIYAH 9,TK,20255110,Swasta,JL. ASEP BERLIAN NO 32,Cikutra,Cibeunying Kidul,0,19,27,30
BINA INSAN MULIA,TK,,Swasta,jl. Sukasenang VI NO. 27,Cikutra,Cibeunying Kidul,0,7,18,26
ANGLIA,TK,20255115,Swasta,PHH MUSTAFA NO 82,Cikutra,Cibeunying Kidul,0,6,15,22
AISYIYAH 14,TK,20255117,Swasta,JL.BBK..H. TAMIM NO 15,Padasuka,Cibeunying Kidul,0,1,12,7
HIKMAT,TK,20255092,Swasta,BABAKAN CIHAPIT NO 19 RT 06 RW 06,Pasir Layung,Cibeunying Kidul,0,4,7,8
ANNUR,TK,20255095,Swasta,JALAN PADASUKA NO.178,Pasir Layung,Cibeunying Kidul,0,4,5,11
SEJAHTERA,TK,20255090,Swasta,JATIHANDAP,Pasir Layung,Cibeunying Kidul,0,4,26,20
AL MUNAWWAROH,TK,20255091,Swasta,JL. PASASUKA NO. 7 RT. 02/07,Pasir Layung,Cibeunying Kidul,0,4,26,24
LAYUNG SARI,TK,20255096,Swasta,PASIRLAYUNG,Pasir Layung,Cibeunying Kidul,0,5,14,11
AZ- ZAHRA,TK,20255094,Swasta,PASIRLAYUNG UTARA VI NO 1,Pasir Layung,Cibeunying Kidul,0,8,38,29
AULIA MIFTAHUL JANNAH,TK,20255093,Swasta,Sirnagalih No. 8-4,Pasir Layung,Cibeunying Kidul,0,2,10,16
MUTIARA,TK,20255099,Swasta,Jl. CIBUNAR NO. 4,Sukamaju,Cibeunying Kidul,0,5,16,18
AZIZAH,TK,20255107,Swasta,JL.JEND AKHMAD YANI,Sukamaju,Cibeunying Kidul,0,2,5,7
ADINDA,TK,20255103,Swasta,SUKAMAJU,Sukamaju,Cibeunying Kidul,0,2,5,8
NURUL AMAL,TK,20255097,Swasta,BABAKAN BARU NO 11 RT 04 RW 07,Sukapada,Cibeunying Kidul,0,4,11,16
LITTLE MOSLEM,TK,20255101,Swasta,CIKUTRA NO.206 ,Sukapada,Cibeunying Kidul,0,7,24,16
AR-ROHIIMIYAH,TK,20255098,Swasta,CIMUNCANG DALAM,Sukapada,Cibeunying Kidul,0,0,23,22
LUTFIA,TK,20255105,Swasta,JL.SEKEMERAK NO.2 RT 08 RW 11,Sukapada,Cibeunying Kidul,0,3,3,7
SHAFIRA,TK,20255108,Swasta,TERUSAN CIMUNCANG N0. 13,Sukapada,Cibeunying Kidul,0,4,10,18
AISYIYAH 16,TK,20255104,Swasta,VILLA ASRI RAYA BUMI ASRI,Sukapada,Cibeunying Kidul,0,3,22,16
BANI HASAN,TK,20255194,Swasta,AH. NASUTION NO 83 A / 479,Cipadung,Cibiru,0,2,6,5
PLUS ANNUR HADZIQ,TK,,Swasta,DESA CIPADUNG RT 06 RW 02,Cipadung,Cibiru,0,3,12,14
PLUS TUNAS BANGSA,TK,20255187,Swasta,JL. TERUSAN PERMAI 5 NO. 33 A ,Cipadung,Cibiru,0,7,20,23
JUWITA,TK,20255186,Swasta,JLN. DESA CIPADUNG N0. 137,Cipadung,Cibiru,0,5,25,21
PRAVITASARI,TK,20255193,Swasta,KUSUMA WANGI NO. 10,Cipadung,Cibiru,0,3,7,7
IBUNDA,TK,20255185,Swasta,JL. CILENGKRANG II NO.153,Palasari,Cibiru,1,7,24,32
BANDUNG INSTITUT,TK,20255190,Swasta,JL. MANGLAYANG I NO 7,Palasari,Cibiru,0,6,9,9
AL - AZIIZ,TK,20255191,Swasta,JL.CILENGKRANG II RT.01 RW.07 ,Palasari,Cibiru,1,3,14,11
PATAL CIPADUNG,TK,20255189,Swasta,Komp. Cilengkrang 2 Jl. Manglayang IV KSB A No. 36,Palasari,Cibiru,3,5,18,17
ANANDA,TK,20255184,Swasta,KOPEDI NO 79,Palasari,Cibiru,1,3,8,12
Terpadu Tunas Krida Nusantara,TK,20255183,Swasta,DESA CIPADUNG,Pasir Biru,Cibiru,1,9,29,21
ISLAM YAHYA,TK,20255047,Swasta,Jalan udawa no.12,Arjuna,Cicendo,0,4,4,7
TKK BINA BAKTI,TK,20255046,Swasta,JL. BIMA 9,Arjuna,Cicendo,0,28,152,161
HEMAN BPPK,TK,20255036,Swasta,JL. PAJAJARAN NO. 91,Arjuna,Cicendo,0,2,5,6
TADIKA PURI,TK,20255034,Swasta,KRESNA,Arjuna,Cicendo,0,5,9,11
SAMIAJI,TK,20255031,Swasta,SEMAR DALAM NO 76/66,Arjuna,Cicendo,0,7,10,10
DHARMA KITRI,TK,20255049,Swasta,JL. ABDURRAHMAN SALEH BLK NO.49 ,Husein Sastranegara,Cicendo,0,12,39,28
PELANGI,TK,20255051,Swasta,KOMUD SUPADIO ( JATAYU ) RW 12,Husein Sastranegara,Cicendo,0,5,47,53
TK.PELITA,TK,20255048,Swasta,Komud Supadio Gg. Hanura Rt. 01/05 Jatayu 1,Husein Sastranegara,Cicendo,0,4,8,12
KASIH BUNDA,TK,20255043,Swasta,BALADEWA,Pajajaran,Cicendo,0,1,,
TRIMULIA,TK,20255042,Swasta,Dr. DJUNJUNAN NO. 105,Pajajaran,Cicendo,0,8,44,36
ANGKASA 1,TK,20255037,Swasta,JL PADJAJARAN NO 148,Pajajaran,Cicendo,0,7,35,30
YAQIN,TK,20255041,Swasta,JL. DR. JUNJUNAN DALAM NO.1,Pajajaran,Cicendo,1,5,27,32
PANDU,TK,20255035,Swasta,JALAN PANDU NO 6 BANDUNG,Pamoyanan,Cicendo,0,8,62,39
KENARI,TK,20255032,Swasta,H.MOH. MESRI 93/6B RT 07 RW 06,Pasirkaliki,Cicendo,0,8,9,16
KRISTEN PAULUS,TK,20255033,Swasta,JL. DR. RAJIMAN NO. 11,Pasirkaliki,Cicendo,1,3,14,15
BINA MANDIRI,TK,20255040,Swasta,BUDI 70,Sukaraja,Cicendo,0,5,6,11
ANGKASA 3,TK,20255017,Swasta,DAKOTA NO 27 SUKARAJA II,Sukaraja,Cicendo,1,1,18,16
ISLAM AL IKHLAS,TK,20255038,Swasta,GUNUNG BATU NO. 125,Sukaraja,Cicendo,2,5,20,23
NURHIDAYAH,TK,20255044,Swasta,GUNUNG BATU NO.2,Sukaraja,Cicendo,0,6,26,32
AISYIYAH 25,TK,20255792,Swasta,JL. RAYA CILEMBER GG. BUNI SUGIH,Sukaraja,Cicendo,0,2,18,12
FAMILY FEST,TK,20255770,Swasta,KOMPLEK DAKOTA RESIDENCE NO.D1 ,Sukaraja,Cicendo,2,5,36,15
KASIH SAYANG IBU,TK,20255060,Swasta,GG. BUKIT SASTRA NO 95/166A CIUMBULEUIT,Ciumbuleuit,Cidadap,0,4,3,3
KRISTEN HIDUP BARU,TK,20255061,Swasta,JL. CIUMBULEUIT 160,Ciumbuleuit,Cidadap,,,9,12
AL QOLAM,TK,20255057,Swasta,JL.KOLAM NO.3 ,Ciumbuleuit,Cidadap,0,4,22,16
ADZKIA,TK,20255054,Swasta,JL.PANUMBANG JAYA DALAM NO.38F,Ciumbuleuit,Cidadap,0,5,10,10
SEJAHTERA,TK,20255296,Swasta,KIPUTIH BAWAH NO. 23 RT. 03,Ciumbuleuit,Cidadap,0,3,5,9
AL-HUSAINIYYAH,TK,20255058,Swasta,JL. BUKIT JARIAN NO 29/165D,Hegarmanah,Cidadap,0,1,6,2
TK GELINCAH,TK,20255062,Swasta,JL. BUKIT RESIK NO.24,Hegarmanah,Cidadap,0,3,3,15
KARTIKA XVI-I,TK,20255052,Swasta,JL.HEGARMANAH NO 152,Hegarmanah,Cidadap,0,5,30,25
AL-FITROH SURUUR,TK,20255053,Swasta,JL.HEGARMANAH TENGAH NO 1 A,Hegarmanah,Cidadap,0,3,15,10
KUNTUM CEMERLANG,TK,20255056,Swasta,JL. CIPAKU INDAH XI NO.2,Ledeng,Cidadap,0,8,26,30
KUNCUP MELATI,TK,20255055,Swasta,JL. DR. SETIABUDHI KM.10 N0.5,Ledeng,Cidadap,0,2,7,4
ANANDA SMART ART & FUN,TK,,Swasta,JL. PINUS IV NO. 25,Babakan Penghulu,Cinambo,2,4,10,7
KARTIKA IX-21,TK,20255163,Swasta,JL. AH. NASUTION KM. 10,Pakemitan,Cinambo,0,7,33,38
PERMATA BUNDA,TK,20255165,Swasta,"JL. RUMAH SAKIT GG. H, WAHAB ",Pakemitan,Cinambo,1,3,16,18
AMALINA,TK,20255162,Swasta,RUMAH SAKIT NO. 10 UJUNGBERUNG RT 004/003,Pakemitan,Cinambo,0,6,35,42
AISYIYAH BUSTANUL ATHFAL 19,TK,20255161,Swasta,SANDANG NO. 25 CIRENGOT,Sukamulya,Cinambo,0,10,38,28
CENDIKIA,TK,20255164,Swasta,SUKAMULYA IV NO.29 RT 04/04,Sukamulya,Cinambo,0,5,12,8
KUNTUM,TK,20255070,Swasta,CIPAGANTI NO. 144,Cipaganti,Coblong,0,3,8,7
BINTANG PURI WIDYA,TK,69759468,Swasta,BANGBAYANG NO 11,Dago,Coblong,0,3,7,4
TUNAS HARAPAN,TK,20255077,Swasta,CISITU,Dago,Coblong,0,8,22,28
AULIA BUNDA,TK,20255076,Swasta,DAGO ASRI IV NO 4,Dago,Coblong,0,4,36,34
Aisyiyah 5,TK,20255075,Swasta,Dago Barat RT 08 RW 05,Dago,Coblong,0,3,13,15
MONTESSORI,TK,20255073,Swasta,JALAN DAGO ASRI NO. 24,Dago,Coblong,0,3,20,25
DARUL HIKAM,TK,20255071,Swasta,JALAN IR. H. JUANDA NO. 285,Dago,Coblong,3,18,10,4
AR-RAHMAN DARUL ILMI,TK,,Swasta,JL IR.H.JUANDA BLK.NO 423 ,Dago,Coblong,0,0,40,30
BUKIT DAGO,TK,20255072,Swasta,JL. BUKIT DAGO SELATAN G 5,Dago,Coblong,0,5,29,19
ALAM BANDUNG,TK,20255080,Swasta,JL. Cikalapa II No. 4 Tanggulan Dago Pojok,Dago,Coblong,2,4,8,8
ALIMAN SHOLIHAN,TK,20255074,Swasta,JL. IR. H. JUANDA NO 319,Dago,Coblong,0,3,18,15
PASUNDAN ISTRI,TK,20255089,Swasta,KEBON KEMBANG NO. 17,Dago,Coblong,0,2,4,6
AL-MIRAJ,TK,20255088,Swasta,SANGKURIANG NO. 20/160 A,Dago,Coblong,0,3,11,3
SINAR NYATA,TK,20255064,Swasta,JL H WASID NO 33,Lebak Gede,Coblong,0,1,9,6
RADEN PATAH,TK,69756421,Swasta,JL. RADEN PATAH NO. 28 A,Lebak Gede,Coblong,0,3,8,7
SEKELOA,TK,20255066,Swasta,JL. SEKELOA GG. LOA II NO. 11,Lebak Gede,Coblong,0,4,30,32
TITIAN HARAPAN,TK,20255068,Swasta,JLN. BAGUS RANGIN NO 12/ 50 RT 01 RW 07,Lebak Gede,Coblong,0,8,12,22
TKIT AL-IKHLASH,TK,20255067,Swasta,SEKELOA SELATAN II NO. 19,Lebak Gede,Coblong,0,5,10,12
ANDIKA,TK,20255069,Swasta,TEUKU ANGKASA NO.42,Lebak Gede,Coblong,0,2,10,8
SALMAN AL FARISI,TK,20255084,Swasta,JL. Tubagus Ismail VIII,Sekeloa,Coblong,3,19,47,23
PROF. DR. MOESTOPO,TK,20255086,Swasta,JL.TUBAGUS ISMAIL III/3,Sekeloa,Coblong,4,8,8,8
AISYIYAH 18,TK,20255082,Swasta,CIBEUNYING KOLOT 3 NO. 16,Sadang Serang,Coblong,0,3,5,5
QURROTA A'YUN,TK,20255087,Swasta,GELATIK DALAM,Sadang Serang,Coblong,0,5,18,14
TAMAN KANAK-KANAK KANCIL,TK,20255065,Swasta,JL. HAURPANCUH NO 87,Sadang Serang,Coblong,0,4,8,18
AISYIYAH 4,TK,20255063,Swasta,JL. PIIT NO. 8,Sadang Serang,Coblong,0,8,31,30
PERTIWI IV,TK,20255083,Swasta,JL. RAYA PERUMNAS,Sadang Serang,Coblong,0,5,40,26
AN-NUR,TK,20255085,Swasta,MESJID AN-NUR PASIRKOJA,Sadang Serang,Coblong,0,3,7,13
TKN PEMBINA,TK,20255081,Negeri,SADANG SERANG NO. 11,Sadang Serang,Coblong,2,12,10,10
PERMATA BUNDA,TK,20255395,Swasta,GRIYA CEMPAKA ARUM D9 NO 100-101,Cimencrang,Gedebage,0,3,8,9
INSANI,TK,20234793,Swasta,JL RIUNG HEGAR RAYA NO 22 RIUNG BANDUNG,Cisaranten Kidul,Gedebage,0,7,17,19
ANANDA,TK,20254788,Swasta,JL. RIUNG PURNA RAYA NO. 114,Cisaranten Kidul,Gedebage,0,3,14,19
ATIKAN,TK,20254791,Swasta,JL. RIUNG WULAN NO. 6,Cisaranten Kidul,Gedebage,0,3,13,14
GUNA TRIA PUTRA,TK,20254792,Swasta,RIUNG BAGJA II NO. 11,Cisaranten Kidul,Gedebage,0,5,24,26
ISLAM ALHAMBRA,TK,20254790,Swasta,RIUNG HEGAR 2 NO. 4,Cisaranten Kidul,Gedebage,2,8,17,16
TUNAS UNGGULAN,TK,20254798,Swasta,BUMI ADIPURA JL CEMARA E1,Rancabolang,Gedebage,0,6,29,31
TIARA PUTRI,TK,20254795,Swasta,Jl. Umar Bin Khattab Vlok Cendikia A4 No. 2 Komp. Griya Cempaka Arum,Rancanumpang,Gedebage,1,9,40,34
CEMPAKA ARUM,TK,20254796,Swasta,KOMPLEK GRIYA CEMPAKA ARUM,Rancanumpang,Gedebage,0,3,11,15
AN NISSA,TK,20254799,Swasta,SALMAN AL FA RIZI,Rancanumpang,Gedebage,0,1,,
KARYA PUTRA I,TK,20254711,Swasta,BABAKAN SARI I NO. 159,Babakan Sari,Kiaracondong,0,3,16,4
GLOBAL CENDEKIA SCHOOL,TK,20254715,Swasta,JALAN KAMPUS I NO.39,Babakan Sari,Kiaracondong,1,11,20,18
ISLAM SITI KHADIJAH IV,TK,20280987,Swasta,JALAN MEKAR SARI NO 92 ,Babakan Sari,Kiaracondong,0,4,22,13
PRAVITASARI 3,TK,20254726,Swasta,Jl. Mekar sari dalam 2 no.10,Babakan Sari,Kiaracondong,1,1,6,12
AZ-ZAHRA BEHESYTI,TK,20254709,Swasta,KAMPUS II NO. 4,Babakan Sari,Kiaracondong,0,5,7,13
LITTLE SMART,TK,20255201,Swasta,ATLAS V NO. 34D,Babakan Surabaya,Kiaracondong,0,10,,
BHAYANGKARI 40,TK,20255197,Swasta,JALAN ACHMAD YANI NO 590,Babakan Surabaya,Kiaracondong,0,4,20,17
RIYADHUL JANNAH,TK,20255195,Swasta,A YANI NO 1057,Cicaheum,Kiaracondong,0,4,7,8
MUTIARA BUNDA PLAYSCHOOL,TK,20255209,Swasta,Jl. PSM No 35 KIARACONDONG,Kebon Jayanti,Kiaracondong,0,11,9,9
Ignatius Slamet Riyadi,TK,20255207,Swasta,Jl. Ibrahim Adjie Gg. Kebon Kangkung X Bandung,Kebon Kangkung,Kiaracondong,0,7,37,33
HARAPAN BUNDA,TK,20255206,Swasta,GATOT SUBROTO NO 517,Sukapura,Kiaracondong,0,7,44,25
PGRI HARAPAN BANGSA 2,TK,20255203,Swasta,JALAN CIDURIAN UTARA NO 191,Sukapura,Kiaracondong,1,2,,
PGRI HARAPAN BANGSA 1,TK,20255202,Swasta,JALAN TERUSAN PSM NO.1A,Sukapura,Kiaracondong,0,3,1,5
DARUSSALAM,TK,20255204,Swasta,JL.KIARA ASRI BARAT NO.2,Sukapura,Kiaracondong,0,10,26,32
TUNAS HARAPAN PINDAD,TK,20255205,Swasta,Jl. Papanggungan Komp. Pindad Selatan,Sukapura,Kiaracondong,0,5,17,19
BUDI ISTRI,TK,20255005,Swasta,JALAN SANCANG NO. 4,Burangrang,Lengkong,,,,
PG-Islam Terpadu Mujahidin,TK,20255225,Swasta,Sancang No 6,Burangrang,Lengkong,0,5,14,9
SANDHY PUTRA,TK,20255211,Swasta,BKR No.11,Cijagra,Lengkong,0,9,14,11
ALMUHAJIRIN,TK,20255215,Swasta,JL SURYALAYA BARU NO 15 ,Cijagra,Lengkong,3,18,49,50
YAYASAN BERIBU,TK,20255214,Swasta,JL. BKR NO. 1 BANDUNG 40265,Cijagra,Lengkong,0,3,22,9
TADIKA PURI,TK,20255007,Swasta,JL. SITU PATENGGANG NO. 12,Cijagra,Lengkong,4,10,8,17
PERTIWI I,TK,20255210,Swasta,SITU LEMBANG RT. 04 RT. 03,Cijagra,Lengkong,,,,
BPI,TK,20254998,Swasta,HALIMUN NO.23,Lingkar Selatan,Lengkong,0,10,64,46
KARTIKA X-2,TK,20255220,Swasta,JL GATOT SUBROTO,Lingkar Selatan,Lengkong,0,3,18,12
MUSLIMIN,TK,20255002,Swasta,JL PATUHA NO 36,Lingkar Selatan,Lengkong,1,2,7,3
KARTIKA XI-1 SESKOAD,TK,20255221,Swasta,JL. GATSU NO. 96,Lingkar Selatan,Lengkong,1,6,,
Al Hidayah,TK,20255003,Swasta,Jl. Saledri No. 2 RT 1 RW 1,Lingkar Selatan,Lengkong,0,5,13,16
BPK PENABUR,TK,20255004,Swasta,JL. GUNTUR 1950,Malabar,Lengkong,0,3,76,99
KEMALA BHAYANGKARI 36,TK,20255006,Swasta,JLN. PALASARI NO 44,Malabar,Lengkong,0,6,23,22
GAGAS CERIA,TK,20255216,Swasta,MALABAR 80 - 82,Malabar,Lengkong,1,21,,
HIMATUL ALIYAH,TK,69759454,Swasta,JL. WANGSAREJA NO.5,Paledang,Lengkong,,,27,22
AISYIYAH 1,TK,20255001,Swasta,JL. BANTENG DALAM NO.6,Turangga,Lengkong,0,4,13,6
NURUL HUDA,TK,20255226,Swasta,KLININGAN NO.29,Turangga,Lengkong,1,5,15,18
NURUL FALAAH,TK,20255213,Swasta,RAJAMANTRI KIDUL NO 6,Turangga,Lengkong,0,10,39,34
AL-HASAN,TK,20255218,Swasta,TAMAN KILININGAN II NO. 5,Turangga,Lengkong,0,7,7,7
PASI HARAPAN BANGSA,TK,20255223,Swasta,WIRANGRONG NO.2,Turangga,Lengkong,0,4,10,17
HIKMATUL IHSAN,TK,20255297,Swasta,JL. H. SAODAH RT02/RW08,Jati Handap,Mandalajati,0,4,18,19
ISLAM BAITUSSALAM,TK,20255138,Swasta,JL.SUKAASIH ATAS III RT 03/RW 06,Jati Handap,Mandalajati,0,3,7,9
TUNAS MANDALA,TK,20255133,Swasta,MANDALA VII NO.137 RT.04 RW.11,Jati Handap,Mandalajati,0,5,17,13
AL HADI,TK,20255132,Swasta,A.H NASUTION NO 25,Karang Pamulang,Mandalajati,0,6,18,17
AL-IRHAAM GLOBAL,TK,20255141,Swasta,AH. NASUTION NO. 133,Karang Pamulang,Mandalajati,0,3,7,8
Zaidan Alam Mandiri,TK,,Swasta,Jl. Pasir Impun No. 3 A ,Karang Pamulang,Mandalajati,2,5,12,8
DEVIANA GIRI MANDE,TK,20255131,Swasta,KOMPLEK GIRI MANDE B 6 NO 8,Karang Pamulang,Mandalajati,0,7,24,20
PANCADARMA,TK,20255134,Swasta,LEDENG NO. 1 PASIR IMPUN,Karang Pamulang,Mandalajati,0,4,10,15
ANDINI,TK,20255135,Swasta,JL PASIRIMPUN NO 85,Pasir Impun,Mandalajati,0,3,16,13
TUNAS UNGGUL,TK,20255142,Swasta,JL. PASIR IMPUN NO.94,Pasir Impun,Mandalajati,0,14,31,39
AL-IKHLAS,TK,20255136,Swasta,PASIR IMPUN NO 42 RT 01 RW 03,Pasir Impun,Mandalajati,0,2,9,9
KASIH BUNDA,TK,20255139,Swasta,JALAN SUKA ASIH IV KOMPLEK SUKA ASIH ,Sindang Jaya,Mandalajati,1,5,19,19
PUTRA PERTIWI SINDANGLAYA,TK,20255140,Swasta,JL ARCAMANIK NO 36,Sindang Jaya,Mandalajati,0,3,8,20
Abatatsa,TK,20255137,Swasta,Komplek Taman sari Bukit Bandung Blok IE No. 4,Sindang Jaya,Mandalajati,1,5,19,20
NURUL ULMI,TK,20255298,Swasta,SEKEPEER NO.44 RT.02 RW.03 ,Sindang Jaya,Mandalajati,2,6,22,18
AL-BIRUNI,TK,20254802,Swasta,JL. RAYA PANTILEUKAN NO.8,Cipadung Kidul,Panyileukan,0,15,38,27
NURKUSUMA,TK,20254806,Swasta,KOMP BUMI PANYILEUKAN,Cipadung Kidul,Panyileukan,0,4,40,17
RIUNG PUTRA,TK,20254805,Swasta,KOMPLEK PANYILEUKAN BLOK F9,Cipadung Kidul,Panyileukan,0,5,13,6
BANI SALEH,TK,20254803,Swasta,PANYILEUKAN BLOK B,Cipadung Kidul,Panyileukan,0,3,12,17
DWI LESTARI,TK,20254804,Swasta,PANYILEUKAN C.2 NO.9,Cipadung Kidul,Panyileukan,0,3,12,6
SEJAHTERA,TK,20254814,Swasta,JL. PAKUAN IV NO.6,Cipadung Kulon,Panyileukan,0,3,11,9
AL-AMIN,TK,20254813,Swasta,JL. PAMITRAN I NO.36,Cipadung Kulon,Panyileukan,0,3,6,16
NURLAELA,TK,20254816,Swasta,JL. PAMITRAN IV NO.16 PANGHEGAR IX,Cipadung Kulon,Panyileukan,0,2,7,0
ASSIRAJ,TK,20254807,Swasta,AH NASUTION NO. 274,Cipadung Wetan,Panyileukan,0,3,11,9
BUNGA BANGSA,TK,20254809,Swasta,GEMPOL,Cipadung Wetan,Panyileukan,1,5,10,12
DAARUS SHOLIHIN,TK,20254808,Swasta,PANGARITAN NO.09,Cipadung Wetan,Panyileukan,0,3,12,8
VALDA,TK,20254810,Swasta,JL PAMEKAR TIMUR II NO.35,Mekar Mulya,Panyileukan,0,4,14,16
KB/ALBIRUNI,TK,69759455,Swasta,"JL, PANYILEUKAN",Mekar Mulya,Panyileukan,0,3,44,45
PUTRA KARYA,TK,20254812,Swasta,JL. PAMEKAR RAYA NO.93,Mekar Mulya,Panyileukan,1,5,16,24
BEYNA CERIA,TK,69759456,Swasta,JL. PAMEKAR TIMUR 3 NO. 12,Mekar Mulya,Panyileukan,,,,
ALBIRUNI ARIA GRAHA,TK,20255398,Swasta,ARIA UTAMA NO. 35,Cipamokolan,Rancasari,0,10,49,52
KARYA SANTOSA,TK,20254782,Swasta,JL SANTOSA ASIH IV BLOK N2 NO 16 ,Cipamokolan,Rancasari,0,5,32,21
ASHFIYA,TK,20254784,Swasta,JL. BATU KARANG NO 2-4,Cipamokolan,Rancasari,0,6,27,20
TK.LESTARI,TK,20254854,Swasta,JLN. SALUYU 12 A NO 38-40 RIUNG BANDUNG,Cipamokolan,Rancasari,0,8,35,35
NUANSA,TK,20254786,Swasta,NUANSA MAS ESTATE BLOK C6-7,Cipamokolan,Rancasari,0,8,29,19
REMBULAN,TK,20254785,Swasta,SALUYU XI A NO. 5 RIUNG BANDUNG,Cipamokolan,Rancasari,0,1,1,7
PLUS HAMIDAH,TK,,Swasta,JL. DERWATI GG.HJ.HAMIDAH RT.01/RW.05,Derwati,Rancasari,0,6,13,15
ASSAKINAH,TK,20254783,Swasta,PERUM,Derwati,Rancasari,0,4,6,4
TKIT ALFITRAH,TK,20255397,Swasta,JL. MERKURI TIMUR NO.1 MARGAHAYU RAYA RT.01/RW.04,Manjahlega,Rancasari,0,13,22,15
PLUS LESTARI,TK,20254772,Swasta,JL. TERUSAN MARS UTARA III NO.13,Manjahlega,Rancasari,1,12,28,42
PAUD VISIHATI,TK,,Swasta,JLN. MERKURI TENGAH NO 19 ,Manjahlega,Rancasari,0,5,7,9
PLUS AL WAHAB,TK,20254770,Swasta,JLN.STURNUS UTARA BLOK O RW X MARGAHAYU RAYA,Manjahlega,Rancasari,0,4,24,28
AT TAUFIQ,TK,20254774,Swasta,MANJALEGA,Manjahlega,Rancasari,0,3,21,19
DEWI KANIA,TK,20254780,Swasta,MARS SELATAN NO 35,Manjahlega,Rancasari,0,4,8,12
INSAN KAMIL,TK,20254771,Swasta,MARS TENGAH 2 NO 7 BLOK V,Manjahlega,Rancasari,0,4,13,24
GROWING STAR,TK,,Swasta,MARS UTARA NO. 25,Manjahlega,Rancasari,1,8,36,24
ARYANDINI 1,TK,20255399,Swasta,SATURNUS TIMUR NO. 20,Manjahlega,Rancasari,0,3,8,12
AMALIAH,TK,20254769,Swasta,SATURNUS UTARA NO. 8 BLOK R,Manjahlega,Rancasari,0,0,27,32
ARYADINI 2,TK,20254775,Swasta,VENUS RAYA NO. 28,Manjahlega,Rancasari,0,5,13,12
ADAM PRATAMA,TK,20254778,Swasta,Jalan Terusan Derwati No. 34,Mekar Jaya,Rancasari,0,3,16,15
FAJAR,TK,20254776,Swasta,KOMPLEK PASIR POGOR INDAH BLOK DD NO. 1,Mekar Jaya,Rancasari,0,0,35,31
AL-KAHFI,TK,20254779,Swasta,KOMPLEK. BANDUNG INDAH RAYA BLOK C 13 NO 22,Mekar Jaya,Rancasari,0,12,28,18
SEJAHTERA,TK,20254987,Swasta,JALAN SRIWULAN NO.17,Ancol,Regol,0,2,10,11
KARTIKA,TK,20254985,Swasta,JL PASUNDAN NO 47,Balong Gede,Regol,0,3,16,16
ASSALAAM,TK,20254982,Swasta,SASAKGANTUNG NO. 11,Balong Gede,Regol,1,19,72,116
ELEKTRINA,TK,20254996,Swasta,JALAN IBU INGGIT GARNASIH KOMP. PLN GG 1 NO. 7,Ciateul,Regol,0,6,29,30
SANTA LUCIA,TK,20254989,Swasta,JALAN SINDANG PALAY 20,Ciateul,Regol,0,4,14,6
RIA,TK,20254988,Swasta,MURNI I NO. 20,Ciateul,Regol,0,3,15,17
AL JANNAH,TK,20254993,Swasta,DENKI SELATAN V NO. 38 MOH. TOHA,Ciseureuh,Regol,0,15,57,59
AL-FATWA,TK,20254992,Swasta,JALAN CIGERELENG NO. 21,Ciseureuh,Regol,0,3,18,19
MELATI MEKAR,TK,20254991,Swasta,JALAN DENKI NO.36,Ciseureuh,Regol,0,4,15,17
NUGRAHA,TK,20254995,Swasta,PLN DALAM NO. 4-6 MOCH. TOHA ,Ciseureuh,Regol,1,2,21,24
PELANGI,TK,20254994,Swasta,SRIWIJAYA GG BBK PRIANGAN IIII,Ciseureuh,Regol,0,3,30,37
MEGA INDAH,TK,20254990,Swasta,JL. MENGGER GIRANG II No. 2,Pasirluyu,Regol,0,1,4,5
TAMAN GEMBIRA,TK,20254986,Swasta,JALAN RADEN DEWI SARTIKA GG. JAKSA NO. 21,Pungkur,Regol,0,4,29,30
TUNAS MANDIRI,TK,20255023,Swasta,KARANG TINEUNG DALAM NO. 32,Cipedes,Sukajadi,0,3,10,15
INDRI,TK,20255028,Swasta,KARANG TINEUNG NO. 9,Cipedes,Sukajadi,0,3,12,11
SAIFULLAH,TK,,Swasta,KARANG TINGGAL NO. 1,Cipedes,Sukajadi,0,3,8,7
TUNAS HARAPAN,TK,20255021,Swasta,SUKAGALIH GG. H. GOJALI RT 02/07,Cipedes,Sukajadi,0,7,34,26
KEMALA BHAYANGKARI 41,TK,20255019,Swasta,SUKAGALIH NO. 21,Cipedes,Sukajadi,0,5,,
AL FITHROH,TK,20255027,Swasta,JL. CIPAGANTI NO. 85,Pasteur,Sukajadi,0,7,42,28
