RUAS JALAN,KELURAHAN,KECAMATAN,WILAYAH,JUMLAH
Jl. Amir Mahmud,Campaka,Andir,Bojonagara,15
Jl. Cilember,Campaka,Andir,Bojonagara,14
Jl. Katalina,Campaka,Andir,Bojonagara,24
Jl. tamanmediteraan,Campaka,Andir,Bojonagara,20
Jl. Arjuna,Ciroyom,Andir,Bojonagara,9
Jl. Ciroyom,Ciroyom,Andir,Bojonagara,24
Jl. Kebon Jati,Ciroyom,Andir,Bojonagara,25
Jl. Kelenteng,Ciroyom,Andir,Bojonagara,7
Jl. Pasar Ciroyom,Ciroyom,Andir,Bojonagara,6
Jl. Pasirkaliki,Ciroyom,Andir,Bojonagara,2
Jl. Rajawali Timur,Ciroyom,Andir,Bojonagara,30
Jl. Waringin,Ciroyom,Andir,Bojonagara,8
Jl. kakap,Ciroyom,Andir,Bojonagara,1
Jl. klenteng,Ciroyom,Andir,Bojonagara,1
Jl. pasarandir,Ciroyom,Andir,Bojonagara,12
Komp. Srigunting,Ciroyom,Andir,Bojonagara,20
Jl. Andir,Dungus Cariang,Andir,Bojonagara,4
Jl. Nurtanio,Dungus Cariang,Andir,Bojonagara,24
Jl. halteu utara,Dungus Cariang,Andir,Bojonagara,1
Jl. suparmin,Dungus Cariang,Andir,Bojonagara,11
Jl. Dadali,Garuda,Andir,Bojonagara,6
Jl. Elang,Garuda,Andir,Bojonagara,9
Jl. Elang II,Garuda,Andir,Bojonagara,14
Jl. Flaminggo,Garuda,Andir,Bojonagara,2
Jl. H Alpi,Garuda,Andir,Bojonagara,2
Jl. Maleber Utara,Garuda,Andir,Bojonagara,3
Jl. Penguin,Garuda,Andir,Bojonagara,4
Jl. Rajawali Barat,Garuda,Andir,Bojonagara,27
Jl. Sudirman,Garuda,Andir,Bojonagara,37
Jl. bangau,Garuda,Andir,Bojonagara,1
Jl. hasanali,Garuda,Andir,Bojonagara,1
Jl. kaswari,Garuda,Andir,Bojonagara,3
Jl. pelikan,Garuda,Andir,Bojonagara,6
Jl. pinqquin,Garuda,Andir,Bojonagara,4
Jl. setra murnitengah2,Garuda,Andir,Bojonagara,1
Jl. tirta sari,Garuda,Andir,Bojonagara,11
Jl. trselangraya,Garuda,Andir,Bojonagara,3
Jl. walet,Garuda,Andir,Bojonagara,1
Jl. Babatan,Kebon Jeruk,Andir,Bojonagara,5
Jl. Belakang Pasar,Kebon Jeruk,Andir,Bojonagara,2
Jl. Dulatip,Kebon Jeruk,Andir,Bojonagara,13
Jl. Gardujati,Kebon Jeruk,Andir,Bojonagara,7
Jl. Kebon Tangkil,Kebon Jeruk,Andir,Bojonagara,7
Jl. Oto Iskandardinata,Kebon Jeruk,Andir,Bojonagara,2
Jl. Pasar Baru Barat,Kebon Jeruk,Andir,Bojonagara,11
Jl. Pasar Selatan,Kebon Jeruk,Andir,Bojonagara,5
Jl. Pasar Utara,Kebon Jeruk,Andir,Bojonagara,5
Jl. Saritem,Kebon Jeruk,Andir,Bojonagara,7
Jl. Statsiun Barat,Kebon Jeruk,Andir,Bojonagara,12
Jl. Suniaraja,Kebon Jeruk,Andir,Bojonagara,3
Jl. kiwi,Maleber,Andir,Bojonagara,1
Jl. sri gunting,Maleber,Andir,Bojonagara,1
Jl. sri gunting timur,Maleber,Andir,Bojonagara,2
Jl. Agave,Antapani,Antapani,Ujung Berung,13
Jl. Anyelir,Antapani,Antapani,Ujung Berung,3
Jl. Asoka,Antapani,Antapani,Ujung Berung,5
Jl. Flamboyan,Antapani,Antapani,Ujung Berung,8
Jl. Kalathea,Antapani,Antapani,Ujung Berung,3
Jl. Kaliandra,Antapani,Antapani,Ujung Berung,3
Jl. Kalijati,Antapani,Antapani,Ujung Berung,7
Jl. Kalijati Indah,Antapani,Antapani,Ujung Berung,14
Jl. Lantana Ungu,Antapani,Antapani,Ujung Berung,3
Jl. Malangbong,Antapani,Antapani,Ujung Berung,20
Jl. Pelangi I,Antapani,Antapani,Ujung Berung,7
Jl. Pelangi II,Antapani,Antapani,Ujung Berung,15
Jl. Pelangi antapani,Antapani,Antapani,Ujung Berung,5
Jl. Raflesia,Antapani,Antapani,Ujung Berung,11
Jl. Ros,Antapani,Antapani,Ujung Berung,7
Jl. Senam indah R,Antapani,Antapani,Ujung Berung,2
Jl. Sindang Sari 3,Antapani,Antapani,Ujung Berung,3
Jl. Tanjung Sari,Antapani,Antapani,Ujung Berung,23
Jl. Tanjung Sari Asri Tengah,Antapani,Antapani,Ujung Berung,32
Jl. Tanjung Sari Raya,Antapani,Antapani,Ujung Berung,35
Jl. Terusan Jakarta,Antapani,Antapani,Ujung Berung,29
Jl. Amlapura,Antapani Kidul,Antapani,Ujung Berung,2
Jl. Antapanimas I,Antapani Kidul,Antapani,Ujung Berung,17
Jl. Antapanimas raya,Antapani Kidul,Antapani,Ujung Berung,18
Jl. Atambua,Antapani Kidul,Antapani,Ujung Berung,1
Jl. Balikpapan,Antapani Kidul,Antapani,Ujung Berung,3
Jl. Bangkalan,Antapani Kidul,Antapani,Ujung Berung,1
Jl. Banyumas,Antapani Kidul,Antapani,Ujung Berung,4
Jl. Banyuwangi,Antapani Kidul,Antapani,Ujung Berung,2
Jl. Biak,Antapani Kidul,Antapani,Ujung Berung,1
Jl. Blitar,Antapani Kidul,Antapani,Ujung Berung,3
Jl. Casa de Esta,Antapani Kidul,Antapani,Ujung Berung,5
Jl. Cibodas Raya,Antapani Kidul,Antapani,Ujung Berung,17
Jl. Cicalengka Raya,Antapani Kidul,Antapani,Ujung Berung,9
Jl. Demak,Antapani Kidul,Antapani,Ujung Berung,2
Jl. Denpasar,Antapani Kidul,Antapani,Ujung Berung,3
Jl. Dilli,Antapani Kidul,Antapani,Ujung Berung,2
Jl. Ende,Antapani Kidul,Antapani,Ujung Berung,1
Jl. Gianyar,Antapani Kidul,Antapani,Ujung Berung,2
Jl. Gresik,Antapani Kidul,Antapani,Ujung Berung,2
Jl. Indramayu,Antapani Kidul,Antapani,Ujung Berung,15
Jl. Jayapura,Antapani Kidul,Antapani,Ujung Berung,2
Jl. Kadipaten,Antapani Kidul,Antapani,Ujung Berung,5
Jl. Karang asem,Antapani Kidul,Antapani,Ujung Berung,2
Jl. Kudus,Antapani Kidul,Antapani,Ujung Berung,4
Jl. Lamongan,Antapani Kidul,Antapani,Ujung Berung,1
Jl. Malang,Antapani Kidul,Antapani,Ujung Berung,3
Jl. Manokwari,Antapani Kidul,Antapani,Ujung Berung,4
Jl. Merauke,Antapani Kidul,Antapani,Ujung Berung,4
Jl. Palangkaraya,Antapani Kidul,Antapani,Ujung Berung,2
Jl. Pamekasan,Antapani Kidul,Antapani,Ujung Berung,1
Jl. Pemalang,Antapani Kidul,Antapani,Ujung Berung,2
Jl. Pratista,Antapani Kidul,Antapani,Ujung Berung,5
Jl. Pratista antapani,Antapani Kidul,Antapani,Ujung Berung,8
Jl. Pratista barat IX,Antapani Kidul,Antapani,Ujung Berung,7
Jl. Pratista barat V,Antapani Kidul,Antapani,Ujung Berung,10
Jl. Pratista barat VII,Antapani Kidul,Antapani,Ujung Berung,12
Jl. Pratista barat VIII,Antapani Kidul,Antapani,Ujung Berung,13
Jl. Pratista barat X,Antapani Kidul,Antapani,Ujung Berung,8
Jl. Pratista raya,Antapani Kidul,Antapani,Ujung Berung,18
Jl. Pratista timur II,Antapani Kidul,Antapani,Ujung Berung,8
Jl. Pratista timur III,Antapani Kidul,Antapani,Ujung Berung,10
Jl. Pratista timur IV,Antapani Kidul,Antapani,Ujung Berung,8
Jl. Pratista timur VI,Antapani Kidul,Antapani,Ujung Berung,6
Jl. Pratista utara I,Antapani Kidul,Antapani,Ujung Berung,7
Jl. Pratista utara II,Antapani Kidul,Antapani,Ujung Berung,10
Jl. Pratista utara IV,Antapani Kidul,Antapani,Ujung Berung,9
Jl. Probolinggo,Antapani Kidul,Antapani,Ujung Berung,2
Jl. Samarinda,Antapani Kidul,Antapani,Ujung Berung,3
Jl. Sampit,Antapani Kidul,Antapani,Ujung Berung,1
Jl. Semarang,Antapani Kidul,Antapani,Ujung Berung,8
Jl. Singaraja,Antapani Kidul,Antapani,Ujung Berung,5
Jl. Solo,Antapani Kidul,Antapani,Ujung Berung,1
Jl. Sumenep,Antapani Kidul,Antapani,Ujung Berung,2
Jl. Tabanan,Antapani Kidul,Antapani,Ujung Berung,3
Jl. kalianget,Antapani Kidul,Antapani,Ujung Berung,3
Jl. komplek bogenvile,Antapani Kidul,Antapani,Ujung Berung,17
Jl. pratista II,Antapani Kidul,Antapani,Ujung Berung,30
Jl. Alam melati,Antapani Tengah,Antapani,Ujung Berung,3
Jl. Antapani city,Antapani Tengah,Antapani,Ujung Berung,27
Jl. Cibatu,Antapani Tengah,Antapani,Ujung Berung,21
Jl. Cikajang V,Antapani Tengah,Antapani,Ujung Berung,4
Jl. Cingised,Antapani Tengah,Antapani,Ujung Berung,9
Jl. Golf Barat,Antapani Tengah,Antapani,Ujung Berung,1
Jl. Jatiwangi Raya,Antapani Tengah,Antapani,Ujung Berung,6
Jl. Kawali Raya,Antapani Tengah,Antapani,Ujung Berung,2
Jl. Kuningan,Antapani Tengah,Antapani,Ujung Berung,5
Jl. PLered I,Antapani Tengah,Antapani,Ujung Berung,2
Jl. Parakan mas I,Antapani Tengah,Antapani,Ujung Berung,2
Jl. Parakan mas II,Antapani Tengah,Antapani,Ujung Berung,5
Jl. Parakan mas III,Antapani Tengah,Antapani,Ujung Berung,7
Jl. Parakan mas IV,Antapani Tengah,Antapani,Ujung Berung,5
Jl. Parakan mas V,Antapani Tengah,Antapani,Ujung Berung,4
Jl. Parakan mas VI,Antapani Tengah,Antapani,Ujung Berung,8
Jl. Parakan mas barat,Antapani Tengah,Antapani,Ujung Berung,9
Jl. Parakan mas indah,Antapani Tengah,Antapani,Ujung Berung,5
Jl. Parakan mas indah I,Antapani Tengah,Antapani,Ujung Berung,7
Jl. Parakan mas indah II,Antapani Tengah,Antapani,Ujung Berung,8
Jl. Parakan mas raya,Antapani Tengah,Antapani,Ujung Berung,4
Jl. Parakan mas timur,Antapani Tengah,Antapani,Ujung Berung,4
Jl. Parakan mas timur I,Antapani Tengah,Antapani,Ujung Berung,6
Jl. Plered II,Antapani Tengah,Antapani,Ujung Berung,5
Jl. Prakan mas VII,Antapani Tengah,Antapani,Ujung Berung,2
Jl. Puri dago,Antapani Tengah,Antapani,Ujung Berung,7
Jl. Rengas Dengklok,Antapani Tengah,Antapani,Ujung Berung,2
Jl. Subang,Antapani Tengah,Antapani,Ujung Berung,5
Jl. antapaniasri,Antapani Tengah,Antapani,Ujung Berung,19
Jl. cikampek  raya,Antapani Tengah,Antapani,Ujung Berung,1
Jl. cikampek 10,Antapani Tengah,Antapani,Ujung Berung,2
Jl. cikampek 6,Antapani Tengah,Antapani,Ujung Berung,1
Jl. depok 4,Antapani Tengah,Antapani,Ujung Berung,1
Jl. depok raya,Antapani Tengah,Antapani,Ujung Berung,3
Jl. plared 9,Antapani Tengah,Antapani,Ujung Berung,2
Jl. plared XII,Antapani Tengah,Antapani,Ujung Berung,1
Jl. plered VI,Antapani Tengah,Antapani,Ujung Berung,3
Jl. plered raya,Antapani Tengah,Antapani,Ujung Berung,4
Jl. purwakarta 1,Antapani Tengah,Antapani,Ujung Berung,28
Jl. purwakata 2,Antapani Tengah,Antapani,Ujung Berung,1
Jl. purwakata 6,Antapani Tengah,Antapani,Ujung Berung,1
Jl. subang 10,Antapani Tengah,Antapani,Ujung Berung,6
Jl. subang 14,Antapani Tengah,Antapani,Ujung Berung,8
Jl. subang 3,Antapani Tengah,Antapani,Ujung Berung,8
Jl. subang 5,Antapani Tengah,Antapani,Ujung Berung,7
Jl. Cicukang,Cisaranteun Bina Harapan,Arcamanik,Ujung Berung,24
Jl. Golf Selatan,Cisaranteun Bina Harapan,Arcamanik,Ujung Berung,20
Jl. golf rayaa,Cisaranteun Bina Harapan,Arcamanik,Ujung Berung,1
Cisaranten Kulon,Cisaranteun Kulon,Arcamanik,Ujung Berung,5
Jl. Aeromodeling,Cisaranteun Kulon,Arcamanik,Ujung Berung,64
Jl. Aeromodeling I,Cisaranteun Kulon,Arcamanik,Ujung Berung,65
Jl. Aeromodeling III,Cisaranteun Kulon,Arcamanik,Ujung Berung,66
Jl. Antakasumba,Cisaranteun Kulon,Arcamanik,Ujung Berung,3
"Jl. Antariksa, Jl. Perluasan Arcamanik",Cisaranteun Kulon,Arcamanik,Ujung Berung,47
Jl. Bumi Parakan Asli,Cisaranteun Kulon,Arcamanik,Ujung Berung,10
Jl. Cisaranten Kulon II,Cisaranteun Kulon,Arcamanik,Ujung Berung,70
Jl. Cisaranten Kulon III,Cisaranteun Kulon,Arcamanik,Ujung Berung,76
Jl. De la rose,Cisaranteun Kulon,Arcamanik,Ujung Berung,9
Jl. Griya Caraka,Cisaranteun Kulon,Arcamanik,Ujung Berung,10
Jl. Griya Caraka Blok B-B,Cisaranteun Kulon,Arcamanik,Ujung Berung,15
Jl. Griya Caraka Blok CDE,Cisaranteun Kulon,Arcamanik,Ujung Berung,15
Jl. Griya Caraka Blok F,Cisaranteun Kulon,Arcamanik,Ujung Berung,14
Jl. Guruminda,Cisaranteun Kulon,Arcamanik,Ujung Berung,8
Jl. Nirwana Residen,Cisaranteun Kulon,Arcamanik,Ujung Berung,9
Jl. Pesantren,Cisaranteun Kulon,Arcamanik,Ujung Berung,8
Jl. Purba endah,Cisaranteun Kulon,Arcamanik,Ujung Berung,6
Jl. Purbasari,Cisaranteun Kulon,Arcamanik,Ujung Berung,12
Jl. Terbang layang,Cisaranteun Kulon,Arcamanik,Ujung Berung,3
Jl. Arcamanik,Pasir Endah,Arcamanik,Ujung Berung,9
Jl. Arcamanik (Sindang Jaya),Pasir Endah,Arcamanik,Ujung Berung,16
Jl. Suka Asih,Pasir Endah,Arcamanik,Ujung Berung,1
Jl. Tamansari Bukit Bandung,Pasir Endah,Arcamanik,Ujung Berung,11
Jl. Tamansari Bukit Bandung_b,Pasir Endah,Arcamanik,Ujung Berung,37
Jl. perumahan taman sari,Pasir Endah,Arcamanik,Ujung Berung,36
Jl. Arcamanik Endah,Sukamiskin,Arcamanik,Ujung Berung,28
Jl. Atletik,Sukamiskin,Arcamanik,Ujung Berung,1
Jl. Atletik II,Sukamiskin,Arcamanik,Ujung Berung,3
Jl. Atletik dan Jl. Golf Barat,Sukamiskin,Arcamanik,Ujung Berung,48
Jl. Dayung,Sukamiskin,Arcamanik,Ujung Berung,1
Jl. Golf Timur IV,Sukamiskin,Arcamanik,Ujung Berung,3
Jl. Golf brt XI,Sukamiskin,Arcamanik,Ujung Berung,2
Jl. Golf brt XII,Sukamiskin,Arcamanik,Ujung Berung,4
Jl. Golf brt XIII,Sukamiskin,Arcamanik,Ujung Berung,6
Jl. Golf brt XIV,Sukamiskin,Arcamanik,Ujung Berung,3
Jl. Golf brt XIX,Sukamiskin,Arcamanik,Ujung Berung,3
Jl. Golf brt XVII,Sukamiskin,Arcamanik,Ujung Berung,1
Jl. Hockey,Sukamiskin,Arcamanik,Ujung Berung,1
Jl. Komplek Arcamanik Endah,Sukamiskin,Arcamanik,Ujung Berung,15
Jl. Pacuan Kuda,Sukamiskin,Arcamanik,Ujung Berung,14
Jl. Panorama,Sukamiskin,Arcamanik,Ujung Berung,16
Jl. Panorama I,Sukamiskin,Arcamanik,Ujung Berung,22
Jl. Pencaksilat,Sukamiskin,Arcamanik,Ujung Berung,1
Jl. Perumahan sarimas,Sukamiskin,Arcamanik,Ujung Berung,3
Jl. Sarimanis Raya,Sukamiskin,Arcamanik,Ujung Berung,4
Jl. Senam I,Sukamiskin,Arcamanik,Ujung Berung,4
Jl. Senam II,Sukamiskin,Arcamanik,Ujung Berung,7
Jl. Senam III,Sukamiskin,Arcamanik,Ujung Berung,9
Jl. Senam IV,Sukamiskin,Arcamanik,Ujung Berung,7
Jl. Senam V,Sukamiskin,Arcamanik,Ujung Berung,3
Jl. Senam VI,Sukamiskin,Arcamanik,Ujung Berung,6
Jl. Senam VII,Sukamiskin,Arcamanik,Ujung Berung,9
Jl. Senam VIII,Sukamiskin,Arcamanik,Ujung Berung,10
Jl. Senam indah I,Sukamiskin,Arcamanik,Ujung Berung,6
Jl. Senam indah II,Sukamiskin,Arcamanik,Ujung Berung,7
Jl. Senam indah III,Sukamiskin,Arcamanik,Ujung Berung,8
Jl. Senam indah IV,Sukamiskin,Arcamanik,Ujung Berung,7
Jl. Senam indah V,Sukamiskin,Arcamanik,Ujung Berung,7
Jl. Senam indah VI,Sukamiskin,Arcamanik,Ujung Berung,10
Jl. Ski Air,Sukamiskin,Arcamanik,Ujung Berung,5
Jl. Taekwondo,Sukamiskin,Arcamanik,Ujung Berung,2
Jl. Tenis meja,Sukamiskin,Arcamanik,Ujung Berung,1
Jl. Terjun tandom,Sukamiskin,Arcamanik,Ujung Berung,1
Jl. Voly Pantai (AEBC),Sukamiskin,Arcamanik,Ujung Berung,21
Jl. pesantren sukamiskin,Sukamiskin,Arcamanik,Ujung Berung,10
Gg. Irsyad,Cibadak,Astana Anyar,Tegallega,3
Jl. Astana Anyar,Cibadak,Astana Anyar,Tegallega,33
Jl. Cibadak,Cibadak,Astana Anyar,Tegallega,33
Jl. H Safari,Cibadak,Astana Anyar,Tegallega,2
Jl. Pagarsih,Cibadak,Astana Anyar,Tegallega,10
Jl. Pasirkoja,Cibadak,Astana Anyar,Tegallega,25
Jl. citepus,Cibadak,Astana Anyar,Tegallega,5
Jl. h natawijaya,Cibadak,Astana Anyar,Tegallega,2
Jl. h sapari,Cibadak,Astana Anyar,Tegallega,2
Jl. mastabir,Cibadak,Astana Anyar,Tegallega,4
Jl. sereh,Cibadak,Astana Anyar,Tegallega,1
Jl. tunas,Cibadak,Astana Anyar,Tegallega,1
Jl. wangsa,Cibadak,Astana Anyar,Tegallega,1
Gg. Pamarset,Karang Anyar,Astana Anyar,Tegallega,12
Gg. Tamim,Karang Anyar,Astana Anyar,Tegallega,5
Jl. H. Hamawi,Karang Anyar,Astana Anyar,Tegallega,6
Jl. Kalipahapo,Karang Anyar,Astana Anyar,Tegallega,7
Jl. Karang Anyar,Karang Anyar,Astana Anyar,Tegallega,14
Jl. Kebon Manggu,Karang Anyar,Astana Anyar,Tegallega,15
Jl. Kristelek,Karang Anyar,Astana Anyar,Tegallega,9
Jl. Pajagalan,Karang Anyar,Astana Anyar,Tegallega,11
Jl. Siti Munigar,Karang Anyar,Astana Anyar,Tegallega,8
Jl. inggi,Karang Anyar,Astana Anyar,Tegallega,1
Jl. kamjan,Karang Anyar,Astana Anyar,Tegallega,1
Jl. kote,Karang Anyar,Astana Anyar,Tegallega,2
Jl. sutor,Karang Anyar,Astana Anyar,Tegallega,2
Jl. H. Somantri Komplek Perumahan Mekarw,Karasak,Astana Anyar,Tegallega,1
Jl. Karasak,Karasak,Astana Anyar,Tegallega,6
Jl. Soekarno-Hatta,Karasak,Astana Anyar,Tegallega,12
Jl. Inggit Ganarsih,Nyengseret,Astana Anyar,Tegallega,2
Jl. Nyengseret,Nyengseret,Astana Anyar,Tegallega,7
Jl. Panjunan,Nyengseret,Astana Anyar,Tegallega,8
Jl. kartawiria,Nyengseret,Astana Anyar,Tegallega,2
Jl. pelana,Nyengseret,Astana Anyar,Tegallega,1
Jl. suhaya,Nyengseret,Astana Anyar,Tegallega,1
Jl. H. Kurdi,Palindung Hewan,Astana Anyar,Tegallega,15
Jl. Inhoftank,Palindung Hewan,Astana Anyar,Tegallega,16
Jl. Jati Permai,Palindung Hewan,Astana Anyar,Tegallega,6
Jl. Kurdi Selatan,Palindung Hewan,Astana Anyar,Tegallega,10
Jl. Kurdi Selatan I,Palindung Hewan,Astana Anyar,Tegallega,12
Jl. Kurdi Selatan II,Palindung Hewan,Astana Anyar,Tegallega,14
Jl. Kurdi Timur,Palindung Hewan,Astana Anyar,Tegallega,4
Jl. Kurdi Timur I,Palindung Hewan,Astana Anyar,Tegallega,12
Jl. Kurdi Timur III,Palindung Hewan,Astana Anyar,Tegallega,21
Jl. Kurdi Timur IV,Palindung Hewan,Astana Anyar,Tegallega,15
Jl. Muara,Palindung Hewan,Astana Anyar,Tegallega,6
Jl. Muara Selatan,Palindung Hewan,Astana Anyar,Tegallega,7
Jl. Muara Selatan I,Palindung Hewan,Astana Anyar,Tegallega,8
Jl. Muara Timur,Palindung Hewan,Astana Anyar,Tegallega,12
Jl. Muara Timur I,Palindung Hewan,Astana Anyar,Tegallega,13
Jl. Muara Utara,Palindung Hewan,Astana Anyar,Tegallega,8
Jl. Muara Utara I,Palindung Hewan,Astana Anyar,Tegallega,10
Jl. Pelindung Hewan,Palindung Hewan,Astana Anyar,Tegallega,16
Jl. Peta,Palindung Hewan,Astana Anyar,Tegallega,7
Jl. Sadang Asri Raya,Palindung Hewan,Astana Anyar,Tegallega,3
Jl. muarabarat,Palindung Hewan,Astana Anyar,Tegallega,7
Jl. muaraselatan,Palindung Hewan,Astana Anyar,Tegallega,8
Jl. muaraselatan2,Palindung Hewan,Astana Anyar,Tegallega,9
Jl. musieum sribaduga-tg,Palindung Hewan,Astana Anyar,Tegallega,6
Jl. Bojongloa,Panjunan,Astana Anyar,Tegallega,13
Jl. Kopo,Panjunan,Astana Anyar,Tegallega,11
Jl. maksudi,Panjunan,Astana Anyar,Tegallega,3
Jl. pabaki,Panjunan,Astana Anyar,Tegallega,4
Jl. taufik,Panjunan,Astana Anyar,Tegallega,1
Jl. Akipadma Selatan,Babakan,Babakan Ciparay,Tegallega,1
Jl. Caringin,Babakan,Babakan Ciparay,Tegallega,33
Jl. Dian Elok Raya,Babakan,Babakan Ciparay,Tegallega,3
Jl. Dian Permai,Babakan,Babakan Ciparay,Tegallega,16
Jl. Pasir Koja,Babakan,Babakan Ciparay,Tegallega,1
Jl. Raya Caringin,Babakan,Babakan Ciparay,Tegallega,10
Jl. Sakura Hegar,Babakan,Babakan Ciparay,Tegallega,9
Jl. Sumber Asih,Babakan,Babakan Ciparay,Tegallega,3
Jl. Sumber Resik,Babakan,Babakan Ciparay,Tegallega,7
Jl. Sumber Sari,Babakan,Babakan Ciparay,Tegallega,1
Jl. SumberMukti,Babakan,Babakan Ciparay,Tegallega,3
Jl. Suryani,Babakan,Babakan Ciparay,Tegallega,12
Jl. Taman Angsana,Babakan,Babakan Ciparay,Tegallega,6
Jl. Terusan Holis,Babakan,Babakan Ciparay,Tegallega,7
Jl. Terusan Suryani,Babakan,Babakan Ciparay,Tegallega,8
Jl. aki padma,Babakan,Babakan Ciparay,Tegallega,1
Jl. flamboyan skr,Babakan,Babakan Ciparay,Tegallega,10
Jl. liligardenia skr,Babakan,Babakan Ciparay,Tegallega,6
Jl. mimosa skr,Babakan,Babakan Ciparay,Tegallega,8
Jl. palm skr,Babakan,Babakan Ciparay,Tegallega,6
Jl. permata ayu,Babakan,Babakan Ciparay,Tegallega,6
Jl. pinus skr,Babakan,Babakan Ciparay,Tegallega,5
Jl. regencyholis,Babakan,Babakan Ciparay,Tegallega,5
Jl. su bersugih,Babakan,Babakan Ciparay,Tegallega,5
Jl. sumberasih,Babakan,Babakan Ciparay,Tegallega,1
Jl. sumberhegar1,Babakan,Babakan Ciparay,Tegallega,3
Jl. tamansakuraindah,Babakan,Babakan Ciparay,Tegallega,21
Jl. ter holis,Babakan,Babakan Ciparay,Tegallega,3
Jl. Babakan Ciparay,Babakan Ciparay,Babakan Ciparay,Tegallega,41
Jl. Cibolerang,Babakan Ciparay,Babakan Ciparay,Tegallega,40
Jl. Lapangan Tenis Caringin,Babakan Ciparay,Babakan Ciparay,Tegallega,6
Jl. Sumber Sugih,Babakan Ciparay,Babakan Ciparay,Tegallega,2
Jl. caringin dlm,Babakan Ciparay,Babakan Ciparay,Tegallega,34
Jl. kayumanis skr,Babakan Ciparay,Babakan Ciparay,Tegallega,5
Jl. kembarsari,Babakan Ciparay,Babakan Ciparay,Tegallega,1
Jl. kom psr caringin,Babakan Ciparay,Babakan Ciparay,Tegallega,41
Jl. mkm caringin,Babakan Ciparay,Babakan Ciparay,Tegallega,8
Jl. su bernanjung1,Babakan Ciparay,Babakan Ciparay,Tegallega,1
Jl. sumberhurip,Babakan Ciparay,Babakan Ciparay,Tegallega,6
Jl. sumbermakmur,Babakan Ciparay,Babakan Ciparay,Tegallega,2
Jl. sumbermulya,Babakan Ciparay,Babakan Ciparay,Tegallega,2
Jl. sumbernanjung,Babakan Ciparay,Babakan Ciparay,Tegallega,6
Jl. sumbernanjung2,Babakan Ciparay,Babakan Ciparay,Tegallega,7
Jl. sumbernanjung3,Babakan Ciparay,Babakan Ciparay,Tegallega,7
Jl. sumbernanjung4,Babakan Ciparay,Babakan Ciparay,Tegallega,8
Jl. taman surya,Babakan Ciparay,Babakan Ciparay,Tegallega,1
Jl. tmn pasadena fesidentt,Babakan Ciparay,Babakan Ciparay,Tegallega,10
Jl. tmn surya indah,Babakan Ciparay,Babakan Ciparay,Tegallega,8
Jl. tmn surya indah1,Babakan Ciparay,Babakan Ciparay,Tegallega,12
Jl. tmn surya indah2,Babakan Ciparay,Babakan Ciparay,Tegallega,13
Jl. tmn surya indah3,Babakan Ciparay,Babakan Ciparay,Tegallega,10
Jl. bintang kpelok,Cirangrang,Babakan Ciparay,Tegallega,4
Jl. buana kp elk,Cirangrang,Babakan Ciparay,Tegallega,2
Jl. cakrawala kp elk,Cirangrang,Babakan Ciparay,Tegallega,5
Jl. embun kp elk,Cirangrang,Babakan Ciparay,Tegallega,2
Jl. fatamorgana kp elk,Cirangrang,Babakan Ciparay,Tegallega,7
Jl. gerhana kp elk,Cirangrang,Babakan Ciparay,Tegallega,2
Jl. gerimis kp elk,Cirangrang,Babakan Ciparay,Tegallega,2
Jl. khatulistiwa kp elk,Cirangrang,Babakan Ciparay,Tegallega,4
Jl. komp cirangrang,Cirangrang,Babakan Ciparay,Tegallega,11
Jl. komp kopo sari,Cirangrang,Babakan Ciparay,Tegallega,11
Jl. komp miko mall,Cirangrang,Babakan Ciparay,Tegallega,11
Jl. koposari1,Cirangrang,Babakan Ciparay,Tegallega,45
Jl. koposari2,Cirangrang,Babakan Ciparay,Tegallega,45
Jl. koposari3,Cirangrang,Babakan Ciparay,Tegallega,50
Jl. lembayung kp elok,Cirangrang,Babakan Ciparay,Tegallega,8
Jl. mayapada kpelk,Cirangrang,Babakan Ciparay,Tegallega,2
Jl. mega kp elk,Cirangrang,Babakan Ciparay,Tegallega,1
Jl. mentari kp elk,Cirangrang,Babakan Ciparay,Tegallega,2
Jl. pelangi kp elk,Cirangrang,Babakan Ciparay,Tegallega,9
Jl. purnama kp elk,Cirangrang,Babakan Ciparay,Tegallega,1
Jl. rembulan kp elk,Cirangrang,Babakan Ciparay,Tegallega,2
Jl. senja kp elk,Cirangrang,Babakan Ciparay,Tegallega,3
Jl. taman kopo melati,Cirangrang,Babakan Ciparay,Tegallega,26
Jl. Karya Bhakti,Margahayu Utara,Babakan Ciparay,Tegallega,4
Jl. Komp Satria Raya,Margahayu Utara,Babakan Ciparay,Tegallega,7
Jl. Komp Satria Raya-1,Margahayu Utara,Babakan Ciparay,Tegallega,27
Jl. Komp Satria Raya-2,Margahayu Utara,Babakan Ciparay,Tegallega,10
Jl. Satria Raya,Margahayu Utara,Babakan Ciparay,Tegallega,16
Jl. akasia 0sdn,Margahayu Utara,Babakan Ciparay,Tegallega,1
Jl. flamboyan psdn,Margahayu Utara,Babakan Ciparay,Tegallega,12
Jl. kastuba,Margahayu Utara,Babakan Ciparay,Tegallega,6
Jl. komp satriaraya,Margahayu Utara,Babakan Ciparay,Tegallega,17
Jl. lapang tenis crng,Margahayu Utara,Babakan Ciparay,Tegallega,1
Jl. mawar,Margahayu Utara,Babakan Ciparay,Tegallega,11
